識別號,台語音標,國際音標,白話字,台羅音標,閩拼方案,方音符號,十五音,十五音序,舒促聲,十五音識別碼
44,iap,iap̚,iap,iap,iap,ㄧㄚㆴ,兼,22,促聲,兼促
45,au,au,au,au,ao,ㄠ,交,23,舒聲,交舒
46,auh,au?,auh,auh,aoh,ㄠㆷ,交,23,促聲,交促
47,ia,ia,ia,ia,ia,ㄧㄚ,迦,24,舒聲,迦舒
48,iah,ia?,iah,iah,iah,ㄧㄚㆷ,迦,24,促聲,迦促
49,ue,ue,oe,ue,ue,ㄨㆤ,檜,25,舒聲,檜舒
50,ueh,ue?,oeh,ueh,ueh,ㄨㆤㆷ,檜,25,促聲,檜促
51,ann,ã,aⁿ,ann,na,ㆩ,監,26,舒聲,監舒
52,ahnn,ã?,aⁿh,annh,nah,ㆩㆷ,監,26,促聲,監促
53,u,u,u,u,u,ㄨ,艍,27,舒聲,艍舒
54,uh,u?,uh,uh,uh,ㄨㆷ,艍,27,促聲,艍促
55,a,a,a,a,a,ㄚ,膠,28,舒聲,膠舒
56,ah,a?,ah,ah,ah,ㄚㆷ,膠,28,促聲,膠促
57,i,i,i,i,i,ㄧ,居,29,舒聲,居舒
58,ih,i?,ih,ih,ih,ㄧㆷ,居,29,促聲,居促
59,iu,iu,iu,iu,iu,ㄧㄨ,丩,30,舒聲,丩舒
60,,,,,,,丩,30,促聲,丩促
61,enn,ẽ,eⁿ,enn,ne,ㆥ,更,31,舒聲,更舒
62,ehnn,ẽ?,eⁿh,ennh,neh,ㆥㆷ,更,31,促聲,更促
63,uinn,uĩ,uiⁿ,uinn,nui,ㄨㆪ,褌,32,舒聲,褌舒
64,,,,,,,褌,32,促聲,褌促
65,io,iə,io,io,io,ㄧㄜ,茄,33,舒聲,茄舒
66,ioh,iə?,ioh,ioh,ioh,ㄧㄜㆷ,茄,33,促聲,茄促
67,inn,ĩ,iⁿ,inn,ni,ㆪ,梔,34,舒聲,梔舒
68,ihnn,ĩ?,iⁿh,innh,nih,ㆪㆷ,梔,34,促聲,梔促
69,ionn,ĩɔ̃,ioⁿ,ionn,nioo,ㄧㆧ,薑,35,舒聲,薑舒
70,,,,,,,薑,35,促聲,薑促
71,iann,iã,iaⁿ,iannh,nia,ㄧㆩ,驚,36,舒聲,驚舒
72,,,,,,,驚,36,促聲,驚促
73,uann,ũã,oaⁿ,uann,nua,ㄨㆩ,官,37,舒聲,官舒
74,,,,,,,官,37,促聲,官促
75,ng,ŋ̍,ng,ng,ng,ㆭ,鋼,38,舒聲,鋼舒
76,,,,,,,鋼,38,促聲,鋼促
77,e,e,e,e,e,ㆤ,伽,39,舒聲,伽舒
78,eh,e?,eh,eh,eh,ㆤㆷ,伽,39,促聲,伽促
79,ainn,ãĩ,aiⁿ,ainn,nai,ㆮ,閒,40,舒聲,閒舒
80,,,,,,,閒,40,促聲,閒促
81,oonn,ɔ̃ũ,oⁿ,onn,noo,ㆧ,姑,41,舒聲,姑舒
82,,,,,,,姑,41,促聲,姑促
83,m,m̩,m,m,m,ㆬ,姆,42,舒聲,姆舒
84,,,,,,,姆,42,促聲,姆促
85,uang,uaŋ,oang,uang,uang,ㄨㄤ,光,43,舒聲,光舒
86,uak,uak̚,oak,uak,uak,ㄨㄚㆻ,光,43,促聲,光促
87,uainn,uãĩ,oaiⁿ,uainn,nuai,ㄨㆮ,閂,44,舒聲,閂舒
