識別號,漢字,漢字標音,常用度,切音,字韻,聲調,舒促聲,聲,韻,調,雅俗通標音,十五音標音,聲母號,韻母號,
62,𤁩,zun1,0.45 ,曾,君,上平,舒聲,z,un,1,君上平聲曾,君一曾,8,1,
63,孫,sun1,0.45 ,時,君,上平,舒聲,s,un,1,君上平聲時,君一時,10,1,
64,蓀,sun1,0.45 ,時,君,上平,舒聲,s,un,1,君上平聲時,君一時,10,1,
65,猻,sun1,0.45 ,時,君,上平,舒聲,s,un,1,君上平聲時,君一時,10,1,
66,飧,sun1,0.45 ,時,君,上平,舒聲,s,un,1,君上平聲時,君一時,10,1,
67,飱,sun1,0.45 ,時,君,上平,舒聲,s,un,1,君上平聲時,君一時,10,1,
68,槂,sun1,0.45 ,時,君,上平,舒聲,s,un,1,君上平聲時,君一時,10,1,
69,温,qun1,0.45 ,英,君,上平,舒聲,q,un,1,君上平聲英,君一英,11,1,
70,溫,qun1,0.45 ,英,君,上平,舒聲,q,un,1,君上平聲英,君一英,11,1,
71,氳,qun1,0.45 ,英,君,上平,舒聲,q,un,1,君上平聲英,君一英,11,1,
72,熅,qun1,0.45 ,英,君,上平,舒聲,q,un,1,君上平聲英,君一英,11,1,
73,瘟,qun1,0.45 ,英,君,上平,舒聲,q,un,1,君上平聲英,君一英,11,1,
74,薀,qun1,0.45 ,英,君,上平,舒聲,q,un,1,君上平聲英,君一英,11,1,
75,馧,qun1,0.45 ,英,君,上平,舒聲,q,un,1,君上平聲英,君一英,11,1,
76,豱,qun1,0.45 ,英,君,上平,舒聲,q,un,1,君上平聲英,君一英,11,1,
77,鰮,qun1,0.45 ,英,君,上平,舒聲,q,un,1,君上平聲英,君一英,11,1,
78,蒕,qun1,0.45 ,英,君,上平,舒聲,q,un,1,君上平聲英,君一英,11,1,
79,㬈,qun1,0.45 ,英,君,上平,舒聲,q,un,1,君上平聲英,君一英,11,1,
80,春,cun1,0.45 ,出,君,上平,舒聲,c,un,1,君上平聲出,君一出,14,1,
81,村,cun1,0.45 ,出,君,上平,舒聲,c,un,1,君上平聲出,君一出,14,1,
82,邨,cun1,0.45 ,出,君,上平,舒聲,c,un,1,君上平聲出,君一出,14,1,
83,萅,cun1,0.45 ,出,君,上平,舒聲,c,un,1,君上平聲出,君一出,14,1,
84,𣈤,cun1,0.45 ,出,君,上平,舒聲,c,un,1,君上平聲出,君一出,14,1,
85,分,hun1,0.45 ,喜,君,上平,舒聲,h,un,1,君上平聲喜,君一喜,15,1,
86,昏,hun1,0.45 ,喜,君,上平,舒聲,h,un,1,君上平聲喜,君一喜,15,1,
87,昬,hun1,0.45 ,喜,君,上平,舒聲,h,un,1,君上平聲喜,君一喜,15,1,
88,婚,hun1,0.45 ,喜,君,上平,舒聲,h,un,1,君上平聲喜,君一喜,15,1,
89,惛,hun1,0.45 ,喜,君,上平,舒聲,h,un,1,君上平聲喜,君一喜,15,1,
90,惽,hun1,0.45 ,喜,君,上平,舒聲,h,un,1,君上平聲喜,君一喜,15,1,
91,閽,hun1,0.45 ,喜,君,上平,舒聲,h,un,1,君上平聲喜,君一喜,15,1,
92,熏,hun1,0.45 ,喜,君,上平,舒聲,h,un,1,君上平聲喜,君一喜,15,1,
93,薰,hun1,0.45 ,喜,君,上平,舒聲,h,un,1,君上平聲喜,君一喜,15,1,
94,燻,hun1,0.45 ,喜,君,上平,舒聲,h,un,1,君上平聲喜,君一喜,15,1,
95,曛,hun1,0.45 ,喜,君,上平,舒聲,h,un,1,君上平聲喜,君一喜,15,1,
96,矄,hun1,0.45 ,喜,君,上平,舒聲,h,un,1,君上平聲喜,君一喜,15,1,
97,醺,hun1,0.45 ,喜,君,上平,舒聲,h,un,1,君上平聲喜,君一喜,15,1,
98,獯,hun1,0.45 ,喜,君,上平,舒聲,h,un,1,君上平聲喜,君一喜,15,1,
99,臐,hun1,0.45 ,喜,君,上平,舒聲,h,un,1,君上平聲喜,君一喜,15,1,
100,塤,hun1,0.45 ,喜,君,上平,舒聲,h,un,1,君上平聲喜,君一喜,15,1,
101,壎,hun1,0.45 ,喜,君,上平,舒聲,h,un,1,君上平聲喜,君一喜,15,1,
102,勳,hun1,0.45 ,喜,君,上平,舒聲,h,un,1,君上平聲喜,君一喜,15,1,
103,勛,hun1,0.45 ,喜,君,上平,舒聲,h,un,1,君上平聲喜,君一喜,15,1,
104,葷,hun1,0.45 ,喜,君,上平,舒聲,h,un,1,君上平聲喜,君一喜,15,1,
105,煇,hun1,0.45 ,喜,君,上平,舒聲,h,un,1,君上平聲喜,君一喜,15,1,
106,焄,hun1,0.45 ,喜,君,上平,舒聲,h,un,1,君上平聲喜,君一喜,15,1,
107,芬,hun1,0.45 ,喜,君,上平,舒聲,h,un,1,君上平聲喜,君一喜,15,1,
108,氛,hun1,0.45 ,喜,君,上平,舒聲,h,un,1,君上平聲喜,君一喜,15,1,
109,棼,hun1,0.45 ,喜,君,上平,舒聲,h,un,1,君上平聲喜,君一喜,15,1,
110,雰,hun1,0.45 ,喜,君,上平,舒聲,h,un,1,君上平聲喜,君一喜,15,1,
111,紛,hun1,0.45 ,喜,君,上平,舒聲,h,un,1,君上平聲喜,君一喜,15,1,
112,梤,hun1,0.45 ,喜,君,上平,舒聲,h,un,1,君上平聲喜,君一喜,15,1,
113,殙,hun1,0.45 ,喜,君,上平,舒聲,h,un,1,君上平聲喜,君一喜,15,1,
114,㱪,hun1,0.45 ,喜,君,上平,舒聲,h,un,1,君上平聲喜,君一喜,15,1,
115,馚,hun1,0.45 ,喜,君,上平,舒聲,h,un,1,君上平聲喜,君一喜,15,1,
116,緍,hun1,0.45 ,喜,君,上平,舒聲,h,un,1,君上平聲喜,君一喜,15,1,
117,痻,hun1,0.45 ,喜,君,上平,舒聲,h,un,1,君上平聲喜,君一喜,15,1,
118,烟,hun1,0.45 ,喜,君,上平,舒聲,h,un,1,君上平聲喜,君一喜,15,1,
119,纁,hun1,0.45 ,喜,君,上平,舒聲,h,un,1,君上平聲喜,君一喜,15,1,
120,𠉣,hun1,0.45 ,喜,君,上平,舒聲,h,un,1,君上平聲喜,君一喜,15,1,
121,汾,hun1,0.45 ,喜,君,上平,舒聲,h,un,1,君上平聲喜,君一喜,15,1,
122,㤻,lun2,0.45 ,柳,君,上上,舒聲,l,un,2,君上上聲柳,君二柳,1,1,
123,稐,lun2,0.45 ,柳,君,上上,舒聲,l,un,2,君上上聲柳,君二柳,1,1,
124,耣,lun2,0.45 ,柳,君,上上,舒聲,l,un,2,君上上聲柳,君二柳,1,1,
125,忍,lun2,0.45 ,柳,君,上上,舒聲,l,un,2,君上上聲柳,君二柳,1,1,
126,碖,lun2,0.45 ,柳,君,上上,舒聲,l,un,2,君上上聲柳,君二柳,1,1,
127,輑,lun2,0.45 ,柳,君,上上,舒聲,l,un,2,君上上聲柳,君二柳,1,1,
128,本,pun2,0.45 ,邊,君,上上,舒聲,p,un,2,君上上聲邊,君二邊,2,1,
129,𤲙,pun2,0.45 ,邊,君,上上,舒聲,p,un,2,君上上聲邊,君二邊,2,1,
130,畚,pun2,0.45 ,邊,君,上上,舒聲,p,un,2,君上上聲邊,君二邊,2,1,
131,滾,kun2,0.45 ,求,君,上上,舒聲,k,un,2,君上上聲求,君二求,3,1,
132,袞,kun2,0.45 ,求,君,上上,舒聲,k,un,2,君上上聲求,君二求,3,1,
133,㨰,kun2,0.45 ,求,君,上上,舒聲,k,un,2,君上上聲求,君二求,3,1,
134,䜇,kun2,0.45 ,求,君,上上,舒聲,k,un,2,君上上聲求,君二求,3,1,
135,緄,kun2,0.45 ,求,君,上上,舒聲,k,un,2,君上上聲求,君二求,3,1,
136,呁,kun2,0.45 ,求,君,上上,舒聲,k,un,2,君上上聲求,君二求,3,1,
137,鯀,kun2,0.45 ,求,君,上上,舒聲,k,un,2,君上上聲求,君二求,3,1,
138,𦓼,kun2,0.45 ,求,君,上上,舒聲,k,un,2,君上上聲求,君二求,3,1,
139,侰,kun2,0.45 ,求,君,上上,舒聲,k,un,2,君上上聲求,君二求,3,1,
140,僒,kun2,0.45 ,求,君,上上,舒聲,k,un,2,君上上聲求,君二求,3,1,
141,𨎊,kun2,0.45 ,求,君,上上,舒聲,k,un,2,君上上聲求,君二求,3,1,
142,捆,khun2,0.45 ,去,君,上上,舒聲,kh,un,2,君上上聲去,君二去,4,1,
143,丨,khun2,0.45 ,去,君,上上,舒聲,kh,un,2,君上上聲去,君二去,4,1,
144,窘,khun2,0.45 ,去,君,上上,舒聲,kh,un,2,君上上聲去,君二去,4,1,
145,捃,khun2,0.45 ,去,君,上上,舒聲,kh,un,2,君上上聲去,君二去,4,1,
146,悃,khun2,0.45 ,去,君,上上,舒聲,kh,un,2,君上上聲去,君二去,4,1,
147,懇,khun2,0.45 ,去,君,上上,舒聲,kh,un,2,君上上聲去,君二去,4,1,
148,𢡆,khun2,0.45 ,去,君,上上,舒聲,kh,un,2,君上上聲去,君二去,4,1,
149,豤,khun2,0.45 ,去,君,上上,舒聲,kh,un,2,君上上聲去,君二去,4,1,
150,綑,khun2,0.45 ,去,君,上上,舒聲,kh,un,2,君上上聲去,君二去,4,1,
151,稇,khun2,0.45 ,去,君,上上,舒聲,kh,un,2,君上上聲去,君二去,4,1,
152,裍,khun2,0.45 ,去,君,上上,舒聲,kh,un,2,君上上聲去,君二去,4,1,
153,墾,khun2,0.45 ,去,君,上上,舒聲,kh,un,2,君上上聲去,君二去,4,1,
154,梱,khun2,0.45 ,去,君,上上,舒聲,kh,un,2,君上上聲去,君二去,4,1,
155,閫,khun2,0.45 ,去,君,上上,舒聲,kh,un,2,君上上聲去,君二去,4,1,
156,壼,khun2,0.45 ,去,君,上上,舒聲,kh,un,2,君上上聲去,君二去,4,1,
157,𦓾,khun2,0.45 ,去,君,上上,舒聲,kh,un,2,君上上聲去,君二去,4,1,
158,僒,khun2,0.45 ,去,君,上上,舒聲,kh,un,2,君上上聲去,君二去,4,1,
159,盾,tun2,0.45 ,地,君,上上,舒聲,t,un,2,君上上聲地,君二地,5,1,
160,伅,tun2,0.45 ,地,君,上上,舒聲,t,un,2,君上上聲地,君二地,5,1,
161,楯,tun2,0.45 ,地,君,上上,舒聲,t,un,2,君上上聲地,君二地,5,1,
162,䃦,tun2,0.45 ,地,君,上上,舒聲,t,un,2,君上上聲地,君二地,5,1,
163,𦯁,tun2,0.45 ,地,君,上上,舒聲,t,un,2,君上上聲地,君二地,5,1,
164,撪,phun2,0.45 ,頗,君,上上,舒聲,ph,un,2,君上上聲頗,君二頗,6,1,
165,翸,phun2,0.45 ,頗,君,上上,舒聲,ph,un,2,君上上聲頗,君二頗,6,1,
166,栩,phun2,0.45 ,頗,君,上上,舒聲,ph,un,2,君上上聲頗,君二頗,6,1,
167,呠,phun2,0.45 ,頗,君,上上,舒聲,ph,un,2,君上上聲頗,君二頗,6,1,
168,𠱥,phun2,0.45 ,頗,君,上上,舒聲,ph,un,2,君上上聲頗,君二頗,6,1,
169,氽,thun2,0.45 ,他,君,上上,舒聲,th,un,2,君上上聲他,君二他,7,1,
170,𢚺,thun2,0.45 ,他,君,上上,舒聲,th,un,2,君上上聲他,君二他,7,1,
171,黗,thun2,0.45 ,他,君,上上,舒聲,th,un,2,君上上聲他,君二他,7,1,
172,腯,thun2,0.45 ,他,君,上上,舒聲,th,un,2,君上上聲他,君二他,7,1,
173,𦝬,thun2,0.45 ,他,君,上上,舒聲,th,un,2,君上上聲他,君二他,7,1,
174,准,zun2,0.45 ,曾,君,上上,舒聲,z,un,2,君上上聲曾,君二曾,8,1,
175,凖,zun2,0.45 ,曾,君,上上,舒聲,z,un,2,君上上聲曾,君二曾,8,1,
176,𠟃,zun2,0.45 ,曾,君,上上,舒聲,z,un,2,君上上聲曾,君二曾,8,1,
177,撙,zun2,0.45 ,曾,君,上上,舒聲,z,un,2,君上上聲曾,君二曾,8,1,
178,僔,zun2,0.45 ,曾,君,上上,舒聲,z,un,2,君上上聲曾,君二曾,8,1,
179,準,zun2,0.45 ,曾,君,上上,舒聲,z,un,2,君上上聲曾,君二曾,8,1,
180,隼,zun2,0.45 ,曾,君,上上,舒聲,z,un,2,君上上聲曾,君二曾,8,1,
181,鶽,zun2,0.45 ,曾,君,上上,舒聲,z,un,2,君上上聲曾,君二曾,8,1,
182,鱒,zun2,0.45 ,曾,君,上上,舒聲,z,un,2,君上上聲曾,君二曾,8,1,
183,噂,zun2,0.45 ,曾,君,上上,舒聲,z,un,2,君上上聲曾,君二曾,8,1,
184,繜,zun2,0.45 ,曾,君,上上,舒聲,z,un,2,君上上聲曾,君二曾,8,1,
185,損,sun2,0.45 ,時,君,上上,舒聲,s,un,2,君上上聲時,君二時,10,1,
186,榫,sun2,0.45 ,時,君,上上,舒聲,s,un,2,君上上聲時,君二時,10,1,
187,筍,sun2,0.45 ,時,君,上上,舒聲,s,un,2,君上上聲時,君二時,10,1,
188,笋,sun2,0.45 ,時,君,上上,舒聲,s,un,2,君上上聲時,君二時,10,1,
189,簨,sun2,0.45 ,時,君,上上,舒聲,s,un,2,君上上聲時,君二時,10,1,
190,允,qun2,0.45 ,英,君,上上,舒聲,q,un,2,君上上聲英,君二英,11,1,
191,𠃔,qun2,0.45 ,英,君,上上,舒聲,q,un,2,君上上聲英,君二英,11,1,
192,狁,qun2,0.45 ,英,君,上上,舒聲,q,un,2,君上上聲英,君二英,11,1,
193,吮,qun2,0.45 ,英,君,上上,舒聲,q,un,2,君上上聲英,君二英,11,1,
194,隕,qun2,0.45 ,英,君,上上,舒聲,q,un,2,君上上聲英,君二英,11,1,
195,殞,qun2,0.45 ,英,君,上上,舒聲,q,un,2,君上上聲英,君二英,11,1,
196,傊,qun2,0.45 ,英,君,上上,舒聲,q,un,2,君上上聲英,君二英,11,1,
197,穩,qun2,0.45 ,英,君,上上,舒聲,q,un,2,君上上聲英,君二英,11,1,
198,賱,qun2,0.45 ,英,君,上上,舒聲,q,un,2,君上上聲英,君二英,11,1,
199,䪳,qun2,0.45 ,英,君,上上,舒聲,q,un,2,君上上聲英,君二英,11,1,
200,愪,qun2,0.45 ,英,君,上上,舒聲,q,un,2,君上上聲英,君二英,11,1,
201,磒,qun2,0.45 ,英,君,上上,舒聲,q,un,2,君上上聲英,君二英,11,1,
202,刎,bun2,0.45 ,門,君,上上,舒聲,b,un,2,君上上聲門,君二門,12,1,
203,吻,bun2,0.45 ,門,君,上上,舒聲,b,un,2,君上上聲門,君二門,12,1,
204,蚊,bun2,0.45 ,門,君,上上,舒聲,b,un,2,君上上聲門,君二門,12,1,
205,蚉,bun2,0.45 ,門,君,上上,舒聲,b,un,2,君上上聲門,君二門,12,1,
206,瞞,bun2,0.45 ,門,君,上上,舒聲,b,un,2,君上上聲門,君二門,12,1,
207,伆,bun2,0.45 ,門,君,上上,舒聲,b,un,2,君上上聲門,君二門,12,1,
208,𦮶,bun2,0.45 ,門,君,上上,舒聲,b,un,2,君上上聲門,君二門,12,1,
209,脗,bun2,0.45 ,門,君,上上,舒聲,b,un,2,君上上聲門,君二門,12,1,
210,抆,bun2,0.45 ,門,君,上上,舒聲,b,un,2,君上上聲門,君二門,12,1,
211,㥃,bun2,0.45 ,門,君,上上,舒聲,b,un,2,君上上聲門,君二門,12,1,
212,捫,bun2,0.45 ,門,君,上上,舒聲,b,un,2,君上上聲門,君二門,12,1,
213,忖,cun2,0.45 ,出,君,上上,舒聲,c,un,2,君上上聲出,君二出,14,1,
214,偆,cun2,0.45 ,出,君,上上,舒聲,c,un,2,君上上聲出,君二出,14,1,
215,僢,cun2,0.45 ,出,君,上上,舒聲,c,un,2,君上上聲出,君二出,14,1,
216,舛,cun2,0.45 ,出,君,上上,舒聲,c,un,2,君上上聲出,君二出,14,1,
217,荈,cun2,0.45 ,出,君,上上,舒聲,c,un,2,君上上聲出,君二出,14,1,
218,瞬,cun2,0.45 ,出,君,上上,舒聲,c,un,2,君上上聲出,君二出,14,1,
219,喘,cun2,0.45 ,出,君,上上,舒聲,c,un,2,君上上聲出,君二出,14,1,
220,賰,cun2,0.45 ,出,君,上上,舒聲,c,un,2,君上上聲出,君二出,14,1,
221,蠢,cun2,0.45 ,出,君,上上,舒聲,c,un,2,君上上聲出,君二出,14,1,
222,𧎌,cun2,0.45 ,出,君,上上,舒聲,c,un,2,君上上聲出,君二出,14,1,
223,㖺,cun2,0.45 ,出,君,上上,舒聲,c,un,2,君上上聲出,君二出,14,1,
224,𥬫,cun2,0.45 ,出,君,上上,舒聲,c,un,2,君上上聲出,君二出,14,1,
225,粉,hun2,0.45 ,喜,君,上上,舒聲,h,un,2,君上上聲喜,君二喜,15,1,
226,佷,hun2,0.45 ,喜,君,上上,舒聲,h,un,2,君上上聲喜,君二喜,15,1,
227,很,hun2,0.45 ,喜,君,上上,舒聲,h,un,2,君上上聲喜,君二喜,15,1,
228,坋,hun2,0.45 ,喜,君,上上,舒聲,h,un,2,君上上聲喜,君二喜,15,1,
229,坌,hun2,0.45 ,喜,君,上上,舒聲,h,un,2,君上上聲喜,君二喜,15,1,
230,忿,hun2,0.45 ,喜,君,上上,舒聲,h,un,2,君上上聲喜,君二喜,15,1,
231,倱,hun2,0.45 ,喜,君,上上,舒聲,h,un,2,君上上聲喜,君二喜,15,1,
232,黺,hun2,0.45 ,喜,君,上上,舒聲,h,un,2,君上上聲喜,君二喜,15,1,
233,𪑕,hun2,0.45 ,喜,君,上上,舒聲,h,un,2,君上上聲喜,君二喜,15,1,
234,僨,hun2,0.45 ,喜,君,上上,舒聲,h,un,2,君上上聲喜,君二喜,15,1,
235,吩,hun2,0.45 ,喜,君,上上,舒聲,h,un,2,君上上聲喜,君二喜,15,1,
236,惲,hun2,0.45 ,喜,君,上上,舒聲,h,un,2,君上上聲喜,君二喜,15,1,
237,憤,hun2,0.45 ,喜,君,上上,舒聲,h,un,2,君上上聲喜,君二喜,15,1,
238,㤻,lun3,0.45 ,柳,君,上去,舒聲,l,un,3,君上去聲柳,君三柳,1,1,
239,溣,lun3,0.45 ,柳,君,上去,舒聲,l,un,3,君上去聲柳,君三柳,1,1,
240,棍,kun3,0.45 ,求,君,上去,舒聲,k,un,3,君上去聲求,君三求,3,1,
241,𧬪,kun3,0.45 ,求,君,上去,舒聲,k,un,3,君上去聲求,君三求,3,1,
242,䵪,kun3,0.45 ,求,君,上去,舒聲,k,un,3,君上去聲求,君三求,3,1,
243,困,khun3,0.45 ,去,君,上去,舒聲,kh,un,3,君上去聲去,君三去,4,1,
244,𡻨,khun3,0.45 ,去,君,上去,舒聲,kh,un,3,君上去聲去,君三去,4,1,
245,㫻,khun3,0.45 ,去,君,上去,舒聲,kh,un,3,君上去聲去,君三去,4,1,
246,睏,khun3,0.45 ,去,君,上去,舒聲,kh,un,3,君上去聲去,君三去,4,1,
247,頓,tun3,0.45 ,地,君,上去,舒聲,t,un,3,君上去聲地,君三地,5,1,
248,扽,tun3,0.45 ,地,君,上去,舒聲,t,un,3,君上去聲地,君三地,5,1,
249,䔚,tun3,0.45 ,地,君,上去,舒聲,t,un,3,君上去聲地,君三地,5,1,
250,吩,phun3,0.45 ,頗,君,上去,舒聲,ph,un,3,君上去聲頗,君三頗,6,1,
251,𠴮,phun3,0.45 ,頗,君,上去,舒聲,ph,un,3,君上去聲頗,君三頗,6,1,
252,喯,phun3,0.45 ,頗,君,上去,舒聲,ph,un,3,君上去聲頗,君三頗,6,1,
253,逩,phun3,0.45 ,頗,君,上去,舒聲,ph,un,3,君上去聲頗,君三頗,6,1,
254,泍,phun3,0.45 ,頗,君,上去,舒聲,ph,un,3,君上去聲頗,君三頗,6,1,
255,噴,phun3,0.45 ,頗,君,上去,舒聲,ph,un,3,君上去聲頗,君三頗,6,1,
256,𤶕,thun3,0.45 ,他,君,上去,舒聲,th,un,3,君上去聲他,君三他,7,1,
257,褪,thun3,0.45 ,他,君,上去,舒聲,th,un,3,君上去聲他,君三他,7,1,
258,飩,thun3,0.45 ,他,君,上去,舒聲,th,un,3,君上去聲他,君三他,7,1,
259,𪑒,thun3,0.45 ,他,君,上去,舒聲,th,un,3,君上去聲他,君三他,7,1,
260,俊,zun3,0.45 ,曾,君,上去,舒聲,z,un,3,君上去聲曾,君三曾,8,1,
261,儁,zun3,0.45 ,曾,君,上去,舒聲,z,un,3,君上去聲曾,君三曾,8,1,
262,雋,zun3,0.45 ,曾,君,上去,舒聲,z,un,3,君上去聲曾,君三曾,8,1,
263,峻,zun3,0.45 ,曾,君,上去,舒聲,z,un,3,君上去聲曾,君三曾,8,1,
264,𡼕,zun3,0.45 ,曾,君,上去,舒聲,z,un,3,君上去聲曾,君三曾,8,1,
265,懏,zun3,0.45 ,曾,君,上去,舒聲,z,un,3,君上去聲曾,君三曾,8,1,
266,狻,zun3,0.45 ,曾,君,上去,舒聲,z,un,3,君上去聲曾,君三曾,8,1,
267,竣,zun3,0.45 ,曾,君,上去,舒聲,z,un,3,君上去聲曾,君三曾,8,1,
268,浚,zun3,0.45 ,曾,君,上去,舒聲,z,un,3,君上去聲曾,君三曾,8,1,
269,逡,zun3,0.45 ,曾,君,上去,舒聲,z,un,3,君上去聲曾,君三曾,8,1,
270,濬,zun3,0.45 ,曾,君,上去,舒聲,z,un,3,君上去聲曾,君三曾,8,1,
271,畯,zun3,0.45 ,曾,君,上去,舒聲,z,un,3,君上去聲曾,君三曾,8,1,
272,餕,zun3,0.45 ,曾,君,上去,舒聲,z,un,3,君上去聲曾,君三曾,8,1,
