sjep,dienq,phuan,kau,hvang,liio,zjew,note,id,xu,tonk,hey,code,civk,sjeporder
山,iᴇt,iɛt,i̯ɛt,ĭɛt,iɛt,jæt,,114,開,3,仙A,c5n,1,7
山,iuᴇt,ʷiɛt,i̯wɛt,ĭuɛt,iuɛt,juæt,,115,合,3,仙A,o5n,1,7
山,ɣiᴇt,ɯiɛt,——,ĭɛt,jɛt,iæt,,116,開,3,仙B,c6n,1,7
山,ɣiuᴇt,ʷɯiet,——,ĭuɛt,juɛt,iuæt,,117,合,3,仙B,o6n,1,7
山,en,en,ien,ien,en,ɛn,,118,開,4,先,c7n,0,7
山,wen,ʷen,iwen,iwen,uen,uɛn,,119,合,4,先,o7n,0,7
山,et,et,iet,iet,et,ɛt,,120,開,4,先,c7n,1,7
山,wet,ʷet,iwet,iwet,uet,uɛt,,121,合,4,先,o7n,1,7
山,ɑt,ɑt,ɑt,ɑt,ɑt,ɑt,「姊末」切「䰖」小韻，列廣韻·桓韻，依李書作開口。（code:寄先行，以與寒韻別）,166,開,1,桓,c1n,1,7
效,ɑu,ɑu,ɑu,ɑu,ɑu,ɑu,,24,開,1,豪,c1o,0,8
效,ɣau,ɯau,au,au,au,au,,25,開,2,肴,c2o,0,8
效,iᴇu,iɛu,i̯ɛu,ĭɛu,iɛu,jæu,,26,開,3,宵A,c5o,0,8
效,ɣiᴇu,ɯiɛu,——,ĭɛu,jɛu,iæu,,27,開,3,宵B,c6o,0,8
效,eu,eu,ieu,ieu,eu,eu,,28,開,4,蕭,c7o,0,8
果,ɑ,ɑ,ɑ,ɑ,ɑ,ɑ,,0,開,1,歌,c1p,0,9
果,uɑ,uɑ,uɑ,uɑ,uɑ,uɑ,,1,合,1,戈,o1p,0,9
果,ɨɑ,iɑ,——,ǐɑ,iɑ,iɑ,,2,開,3,戈,c3p,0,9
果,ɨuɑ,ʷiɑ,i̯wɑ,ĭuɑ,iuɑ,iuɑ,,3,合,3,戈,o3p,0,9
假,ɣa,ɯa,a,a,a,a,,4,開,2,麻,c2q,0,10
假,ɣua,ʷɯa,wa,wa,ua,ua,,5,合,2,麻,o2q,0,10
假,ia,ia,i̯a,ĭa,ia,ia,,6,開,3,麻,c4q,0,10
宕,ɑŋ,ɑŋ,ɑŋ,ɑŋ,ɑŋ,ɑŋ,,49,開,1,唐,c1r,0,11
宕,wɑŋ,ʷɑŋ,wɑŋ,uɑŋ,uɑŋ,uɑŋ,,50,合,1,唐,o1r,0,11
宕,ɑk,ɑk,ɑk,ɑk,ɑk,ɑk,,51,開,1,唐,c1r,1,11
宕,wɑk,ʷɑk,wɑk,uɑk,uɑk,uɑk,,52,合,1,唐,o1r,1,11
宕,ɨɐŋ,iɐŋ,i̯aŋ,ĭaŋ,iaŋ,iɑŋ,,53,開,3,陽,c4r,0,11
宕,ʉɐŋ,ʷiɐŋ,iwaŋ,ĭwaŋ,iuaŋ,iuɑŋ,,54,合,3,陽,o4r,0,11
宕,ɨɐk,iɐk,i̯ak,ĭak,iak,iɑk,,55,開,3,陽,c4r,1,11
宕,ʉɐk,ʷiɐk,iwak,ĭak,iuak,iuɑk,,56,合,3,陽,o4r,1,11
梗,ɣæŋ,ɯaŋ,ɐŋ,ɐŋ,ɐŋ,aŋ,,57,開,2,庚,c2s,0,12
梗,wɣæŋ,ʷɯaŋ,wɐŋ,wɐŋ,uɐŋ,uaŋ,,58,合,2,庚,o2s,0,12
梗,ɣiæŋ,ɯiaŋ,i̯ɐŋ,ĭɐŋ,iɐŋ,iaŋ,,59,開,3,庚,c3s,0,12
梗,wɣiæŋ,ʷɯiaŋ,i̯wɐŋ,ĭwɐŋ,iuɐŋ,iuaŋ,,60,合,3,庚,o3s,0,12
梗,ɣæk,ɯak,ɐk,ɐk,ɐk,ak,,61,開,2,庚,c2s,1,12
梗,wɣæk,ʷɯak,wɐk,wɐk,uɐk,uak,,62,合,2,庚,o2s,1,12
梗,ɣiæk,ɯiak,iɐk,ĭɐk,iɐk,iak,,63,開,3,庚,c3s,1,12
梗,wɣiæk,ʷɯiak,——,ĭwɐk,iuɐk,iuak,,64,合,3,庚,o3s,1,12
梗,ɣɛŋ,ɯæŋ,æŋ,æŋ,ɛŋ,ɐŋ,,65,開,2,耕,c2t,0,12
梗,wɣɛŋ,ʷɯæŋ,wæŋ,wæŋ,uɛŋ,uɐŋ,,66,合,2,耕,o2t,0,12
梗,ɣɛk,ɯæk,æk,æk,ɛk,ɐk,,67,開,2,耕,c2t,1,12
梗,wɣɛk,ʷɯæk,wæk,wæk,uɛk,uɐk,,68,合,2,耕,o2t,1,12
梗,iᴇŋ,iɛŋ,i̯ɛŋ,ĭɛŋ,iɛŋ,iæŋ,,69,開,3,清,c4t,0,12
梗,wiᴇŋ,ʷiɛŋ,i̯wɛŋ,ĭwɛŋ,iuɛŋ,iuæŋ,,70,合,3,清,o4t,0,12
梗,iᴇk,iɛk,i̯ɛk,ĭɛk,iɛk,iæk,,71,開,3,清,c4t,1,12
梗,wiᴇk,ʷiɛk,i̯wɛk ,ĭwɛk,iuɛk,iuæk,,72,合,3,清,o4t,1,12
梗,eŋ,eŋ,ieŋ,ieŋ,eŋ,ɛŋ,,73,開,4,青,c7t,0,12
梗,weŋ,ʷeŋ,iweŋ,iweŋ,ueŋ,uɛŋ,,74,合,4,青,o7t,0,12
梗,ek,ek,iek,iek,ek,ɛk,,75,開,4,青,c7t,1,12
梗,wek,ʷek,iwek,iwek,uek,uɛk,,76,合,4,青,o7t,1,12
曾,əŋ,əŋ,əŋ,əŋ,əŋ,əŋ,,77,開,1,登,c1u,0,13
曾,wəŋ,ʷəŋ,wəŋ,uəŋ,uəŋ,uəŋ,,78,合,1,登,o1u,0,13
曾,ək,ək,ək,ək,ək,ək,,79,開,1,登,c1u,1,13
曾,wək,ʷək,wək,uək,uək,uək,,80,合,1,登,o1u,1,13
曾,ɨŋ,ɨŋ,i̯əŋ,ĭəŋ,iəŋ,ieŋ,,81,開,3,蒸,c4u,0,13
曾,ɨk,ɨk,i̯ək,ĭək,iək,iek,,82,開,3,蒸,c4u,1,13
曾,wɨk,ʷɨk,i̯wək,ĭwək,iuək,iuek,,83,合,3,蒸,o4u,1,13
流,ɨu,iu,i̯ə̯u,ĭəu,iu,iəu,,21,開,3,尤,c4v,0,14
流,əu,əu,ə̯u,əu,u,əu,,22,開,1,侯,c1v,0,14
流,iɪu,ɨu,ieu,iəu,iĕu,ieu,,23,開,3,幽,c4w,0,14
深,iɪm,im,i̯əm,ĭĕm,iəm,jem,,162,開,3,侵A,c5x,0,15
深,ɣiɪm,ɯim,——,ĭĕm,jəm,iem,,163,開,3,侵B,c6x,0,15
深,iɪp,ip,i̯əp,ĭĕp,iəp,jep,,164,開,3,侵A,c5x,1,15
深,ɣiɪp,ɯip,——,ĭĕp,jəp,iep,,165,開,3,侵B,c6x,1,15
咸,ɑm,ɑm,ɑm,ɑm,ɑm,ɑm,,144,開,1,談,c1y,0,16
咸,ɑp,ɑp,ɑp,ɑp,ɑp,ɑp,,145,開,1,談,c1y,1,16
咸,ɨɐm,iɐm,i̯ɐm,ĭɐm,iɐm,iɐm,,146,開,3,嚴,c3y,0,16
咸,ɨɐm,iɐm,i̯wɐm,ĭwɐm,iɐm,iɐm,鄭張:脣音ʉɐm,147,合,3,凡,o3z,0,16
咸,ɨɐp,iɐp,i̯ɐp,ĭɐp,iap,iɐp,,148,開,3,嚴,c3y,1,16
咸,ɨɐp,iɐp,i̯wɐp,ĭwɐp,iɐp,iɐp,鄭張:脣ʉɐp,149,合,3,凡,o3z,1,16
咸,ɣam,ɯam,am,am,am,am,,150,開,2,銜,c2y,0,16
咸,ɣap,ɯap,ap,ap,ap,ap,,151,開,2,銜,c2y,1,16
咸,ɣɛm,ɯæm,ăm,ɐm,ɐm,ɐm,,152,開,2,咸,c2z,0,16
咸,ɣɛp,ɯæp,ăp,ɐp,ɐp,ɐp,,153,開,2,咸,c2z,1,16
咸,iᴇm,iɛm,i̯ɛm,ĭɛm,iɛm,jæm,,154,開,3,鹽A,c5z,0,16
咸,ɣiᴇm,ɯiɛm,——,ĭɛm,jɛm,iæm,,155,開,3,鹽B,c6z,0,16
咸,iᴇp,iɛp,,ĭɛp,iɛp,jæp,,156,開,3,鹽A,c5z,1,16
咸,ɣiᴇp,ɯiɛp,——,ĭɛp,jɛp,iæp,,157,開,3,鹽B,c6z,1,16
咸,em,em,iem,iem,em,ɛm,,158,開,4,添,c7z,0,16
咸,ep,ep,iep,iep,ep,ɛp,,159,開,4,添,c7z,1,16
咸,ʌm,əm,ăm,ɒm,Am,ɒm,,160,開,1,覃,c1z,0,16
咸,ʌp,əp,ăp,ɒp,Ap,ɒp,,161,開,1,覃,c1z,1,16
