識別號,漢字,聲母,韻母,聲調,常用度,台語音標聲母,台語音標韻母,台語音標拼音,方音符號聲母,方音符號韻母,方音符號注音,聲母識別碼,韻母識別碼,聲調識別碼
56,肫,曾,君,上平,,z,un,zun1,ㄗ,ㄨㄣ,ㄗㄨㄣ1,8,1,1
57,窀,曾,君,上平,,z,un,zun1,ㄗ,ㄨㄣ,ㄗㄨㄣ1,8,1,1
58,諄,曾,君,上平,,z,un,zun1,ㄗ,ㄨㄣ,ㄗㄨㄣ1,8,1,1
59,啍,曾,君,上平,,z,un,zun1,ㄗ,ㄨㄣ,ㄗㄨㄣ1,8,1,1
60,噂,曾,君,上平,,z,un,zun1,ㄗ,ㄨㄣ,ㄗㄨㄣ1,8,1,1
61,鱒,曾,君,上平,,z,un,zun1,ㄗ,ㄨㄣ,ㄗㄨㄣ1,8,1,1
62,𤁩,曾,君,上平,,z,un,zun1,ㄗ,ㄨㄣ,ㄗㄨㄣ1,8,1,1
63,孫,時,君,上平,,s,un,sun1,ㄙ,ㄨㄣ,ㄙㄨㄣ1,10,1,1
64,蓀,時,君,上平,,s,un,sun1,ㄙ,ㄨㄣ,ㄙㄨㄣ1,10,1,1
65,猻,時,君,上平,,s,un,sun1,ㄙ,ㄨㄣ,ㄙㄨㄣ1,10,1,1
66,飧,時,君,上平,,s,un,sun1,ㄙ,ㄨㄣ,ㄙㄨㄣ1,10,1,1
67,飱,時,君,上平,,s,un,sun1,ㄙ,ㄨㄣ,ㄙㄨㄣ1,10,1,1
68,槂,時,君,上平,,s,un,sun1,ㄙ,ㄨㄣ,ㄙㄨㄣ1,10,1,1
69,温,英,君,上平,0.01 ,q,un,qun1,,ㄨㄣ,ㄨㄣ1,11,1,1
70,溫,英,君,上平,,q,un,qun1,,ㄨㄣ,ㄨㄣ1,11,1,1
71,氳,英,君,上平,,q,un,qun1,,ㄨㄣ,ㄨㄣ1,11,1,1
72,熅,英,君,上平,,q,un,qun1,,ㄨㄣ,ㄨㄣ1,11,1,1
73,瘟,英,君,上平,,q,un,qun1,,ㄨㄣ,ㄨㄣ1,11,1,1
74,薀,英,君,上平,,q,un,qun1,,ㄨㄣ,ㄨㄣ1,11,1,1
75,馧,英,君,上平,,q,un,qun1,,ㄨㄣ,ㄨㄣ1,11,1,1
76,豱,英,君,上平,,q,un,qun1,,ㄨㄣ,ㄨㄣ1,11,1,1
77,鰮,英,君,上平,,q,un,qun1,,ㄨㄣ,ㄨㄣ1,11,1,1
78,蒕,英,君,上平,,q,un,qun1,,ㄨㄣ,ㄨㄣ1,11,1,1
79,㬈,英,君,上平,,q,un,qun1,,ㄨㄣ,ㄨㄣ1,11,1,1
80,春,出,君,上平,,c,un,cun1,ㄘ,ㄨㄣ,ㄘㄨㄣ1,14,1,1
