識別號,漢字,聲母,韻母,聲調,常用度,台語音標聲母,台語音標韻母,台語音標拼音,方音符號聲母,方音符號韻母,方音符號注音,聲母識別碼,韻母識別碼,聲調識別碼
2341,倉,出,公,上平,,c,ong,cong1,ㄘ,ㆲ,ㄘㆲ1,14,13,1
2342,仺,出,公,上平,,c,ong,cong1,ㄘ,ㆲ,ㄘㆲ1,14,13,1
2343,蒼,出,公,上平,,c,ong,cong1,ㄘ,ㆲ,ㄘㆲ1,14,13,1
2344,葱,出,公,上平,0.01 ,c,ong,cong1,ㄘ,ㆲ,ㄘㆲ1,14,13,1
2345,蔥,出,公,上平,,c,ong,cong1,ㄘ,ㆲ,ㄘㆲ1,14,13,1
2346,䓗,出,公,上平,0.01 ,c,ong,cong1,ㄘ,ㆲ,ㄘㆲ1,14,13,1
2347,瑲,出,公,上平,,c,ong,cong1,ㄘ,ㆲ,ㄘㆲ1,14,13,1
2348,鶬,出,公,上平,0.01 ,c,ong,cong1,ㄘ,ㆲ,ㄘㆲ1,14,13,1
2349,瘡,出,公,上平,,c,ong,cong1,ㄘ,ㆲ,ㄘㆲ1,14,13,1
2350,創,出,公,上平,,c,ong,cong1,ㄘ,ㆲ,ㄘㆲ1,14,13,1
2351,刅,出,公,上平,,c,ong,cong1,ㄘ,ㆲ,ㄘㆲ1,14,13,1
2352,聰,出,公,上平,,c,ong,cong1,ㄘ,ㆲ,ㄘㆲ1,14,13,1
2353,悤,出,公,上平,0.01 ,c,ong,cong1,ㄘ,ㆲ,ㄘㆲ1,14,13,1
2354,忩,出,公,上平,,c,ong,cong1,ㄘ,ㆲ,ㄘㆲ1,14,13,1
2355,怱,出,公,上平,,c,ong,cong1,ㄘ,ㆲ,ㄘㆲ1,14,13,1
2356,牕,出,公,上平,0.01 ,c,ong,cong1,ㄘ,ㆲ,ㄘㆲ1,14,13,1
2357,窗,出,公,上平,0.01 ,c,ong,cong1,ㄘ,ㆲ,ㄘㆲ1,14,13,1
2358,窻,出,公,上平,0.01 ,c,ong,cong1,ㄘ,ㆲ,ㄘㆲ1,14,13,1
2359,窓,出,公,上平,,c,ong,cong1,ㄘ,ㆲ,ㄘㆲ1,14,13,1
2360,楤,出,公,上平,0.01 ,c,ong,cong1,ㄘ,ㆲ,ㄘㆲ1,14,13,1
2361,驄,出,公,上平,0.01 ,c,ong,cong1,ㄘ,ㆲ,ㄘㆲ1,14,13,1
2362,𡹸,出,公,上平,,c,ong,cong1,ㄘ,ㆲ,ㄘㆲ1,14,13,1
2363,匆,出,公,上平,,c,ong,cong1,ㄘ,ㆲ,ㄘㆲ1,14,13,1
2364,風,喜,公,上平,,h,ong,hong1,ㄏ,ㆲ,ㄏㆲ1,15,13,1
2365,凮,喜,公,上平,,h,ong,hong1,ㄏ,ㆲ,ㄏㆲ1,15,13,1
2366,偑,喜,公,上平,,h,ong,hong1,ㄏ,ㆲ,ㄏㆲ1,15,13,1
2367,丰,喜,公,上平,,h,ong,hong1,ㄏ,ㆲ,ㄏㆲ1,15,13,1
2368,仹,喜,公,上平,,h,ong,hong1,ㄏ,ㆲ,ㄏㆲ1,15,13,1
2369,楓,喜,公,上平,,h,ong,hong1,ㄏ,ㆲ,ㄏㆲ1,15,13,1
2370,瘋,喜,公,上平,,h,ong,hong1,ㄏ,ㆲ,ㄏㆲ1,15,13,1
2371,渢,喜,公,上平,,h,ong,hong1,ㄏ,ㆲ,ㄏㆲ1,15,13,1
2372,方,喜,公,上平,,h,ong,hong1,ㄏ,ㆲ,ㄏㆲ1,15,13,1
2373,㤃,喜,公,上平,,h,ong,hong1,ㄏ,ㆲ,ㄏㆲ1,15,13,1
2374,枋,喜,公,上平,,h,ong,hong1,ㄏ,ㆲ,ㄏㆲ1,15,13,1
2375,坊,喜,公,上平,,h,ong,hong1,ㄏ,ㆲ,ㄏㆲ1,15,13,1
2376,祊,喜,公,上平,,h,ong,hong1,ㄏ,ㆲ,ㄏㆲ1,15,13,1
2377,巟,喜,公,上平,,h,ong,hong1,ㄏ,ㆲ,ㄏㆲ1,15,13,1
2378,芳,喜,公,上平,,h,ong,hong1,ㄏ,ㆲ,ㄏㆲ1,15,13,1
2379,峯,喜,公,上平,,h,ong,hong1,ㄏ,ㆲ,ㄏㆲ1,15,13,1
2380,峰,喜,公,上平,,h,ong,hong1,ㄏ,ㆲ,ㄏㆲ1,15,13,1
2381,蜂,喜,公,上平,,h,ong,hong1,ㄏ,ㆲ,ㄏㆲ1,15,13,1
2382,蠭,喜,公,上平,0.01 ,h,ong,hong1,ㄏ,ㆲ,ㄏㆲ1,15,13,1
2383,鋒,喜,公,上平,,h,ong,hong1,ㄏ,ㆲ,ㄏㆲ1,15,13,1
2384,灃,喜,公,上平,0.01 ,h,ong,hong1,ㄏ,ㆲ,ㄏㆲ1,15,13,1
2385,酆,喜,公,上平,,h,ong,hong1,ㄏ,ㆲ,ㄏㆲ1,15,13,1
2386,豐,喜,公,上平,,h,ong,hong1,ㄏ,ㆲ,ㄏㆲ1,15,13,1
2387,烽,喜,公,上平,,h,ong,hong1,ㄏ,ㆲ,ㄏㆲ1,15,13,1
2388,烘,喜,公,上平,,h,ong,hong1,ㄏ,ㆲ,ㄏㆲ1,15,13,1
2389,葑,喜,公,上平,,h,ong,hong1,ㄏ,ㆲ,ㄏㆲ1,15,13,1
2390,封,喜,公,上平,,h,ong,hong1,ㄏ,ㆲ,ㄏㆲ1,15,13,1
2391,𩥒,喜,公,上平,,h,ong,hong1,ㄏ,ㆲ,ㄏㆲ1,15,13,1
2392,揈,喜,公,上平,,h,ong,hong1,ㄏ,ㆲ,ㄏㆲ1,15,13,1
2393,盽,喜,公,上平,,h,ong,hong1,ㄏ,ㆲ,ㄏㆲ1,15,13,1
2394,䆪,喜,公,上平,,h,ong,hong1,ㄏ,ㆲ,ㄏㆲ1,15,13,1
2395,荒,喜,公,上平,,h,ong,hong1,ㄏ,ㆲ,ㄏㆲ1,15,13,1
2396,㠦,喜,公,上平,,h,ong,hong1,ㄏ,ㆲ,ㄏㆲ1,15,13,1
2397,朗,柳,公,上上,,l,ong,long2,ㄌ,ㆲ,ㄌㆲ2,1,13,2
2398,晃,柳,公,上上,,l,ong,long2,ㄌ,ㆲ,ㄌㆲ2,1,13,2
2399,烺,柳,公,上上,,l,ong,long2,ㄌ,ㆲ,ㄌㆲ2,1,13,2
2400,曩,柳,公,上上,,l,ong,long2,ㄌ,ㆲ,ㄌㆲ2,1,13,2
2401,箱,柳,公,上上,,l,ong,long2,ㄌ,ㆲ,ㄌㆲ2,1,13,2
2402,壠,柳,公,上上,,l,ong,long2,ㄌ,ㆲ,ㄌㆲ2,1,13,2
2403,壟,柳,公,上上,,l,ong,long2,ㄌ,ㆲ,ㄌㆲ2,1,13,2
2404,儱,柳,公,上上,,l,ong,long2,ㄌ,ㆲ,ㄌㆲ2,1,13,2
2405,榜,邊,公,上上,,p,ong,pong2,ㄅ,ㆲ,ㄅㆲ2,2,13,2
2406,㮄,邊,公,上上,,p,ong,pong2,ㄅ,ㆲ,ㄅㆲ2,2,13,2
2407,牓,邊,公,上上,,p,ong,pong2,ㄅ,ㆲ,ㄅㆲ2,2,13,2
2408,菶,邊,公,上上,0.01 ,p,ong,pong2,ㄅ,ㆲ,ㄅㆲ2,2,13,2
2409,琫,邊,公,上上,,p,ong,pong2,ㄅ,ㆲ,ㄅㆲ2,2,13,2
2410,鞛,邊,公,上上,,p,ong,pong2,ㄅ,ㆲ,ㄅㆲ2,2,13,2
2411,廣,求,公,上上,,k,ong,kong2,ㄍ,ㆲ,ㄍㆲ2,3,13,2
2412,礦,求,公,上上,,k,ong,kong2,ㄍ,ㆲ,ㄍㆲ2,3,13,2
2413,𨥥,求,公,上上,,k,ong,kong2,ㄍ,ㆲ,ㄍㆲ2,3,13,2
2414,孔,去,公,上上,,kh,ong,khong2,ㄎ,ㆲ,ㄎㆲ2,4,13,2
2415,空,去,公,上上,,kh,ong,khong2,ㄎ,ㆲ,ㄎㆲ2,4,13,2
2416,倥,去,公,上上,,kh,ong,khong2,ㄎ,ㆲ,ㄎㆲ2,4,13,2
2417,忼,去,公,上上,,kh,ong,khong2,ㄎ,ㆲ,ㄎㆲ2,4,13,2
2418,慷,去,公,上上,,kh,ong,khong2,ㄎ,ㆲ,ㄎㆲ2,4,13,2
2419,𡻚,去,公,上上,,kh,ong,khong2,ㄎ,ㆲ,ㄎㆲ2,4,13,2
2420,儣,去,公,上上,,kh,ong,khong2,ㄎ,ㆲ,ㄎㆲ2,4,13,2
2421,董,地,公,上上,,t,ong,tong2,ㄉ,ㆲ,ㄉㆲ2,5,13,2
2422,党,地,公,上上,,t,ong,tong2,ㄉ,ㆲ,ㄉㆲ2,5,13,2
2423,黨,地,公,上上,,t,ong,tong2,ㄉ,ㆲ,ㄉㆲ2,5,13,2
2424,𣿅,地,公,上上,,t,ong,tong2,ㄉ,ㆲ,ㄉㆲ2,5,13,2
2425,懂,地,公,上上,,t,ong,tong2,ㄉ,ㆲ,ㄉㆲ2,5,13,2
2426,讜,地,公,上上,,t,ong,tong2,ㄉ,ㆲ,ㄉㆲ2,5,13,2
2427,𦡂,地,公,上上,,t,ong,tong2,ㄉ,ㆲ,ㄉㆲ2,5,13,2
2428,覫,頗,公,上上,,ph,ong,phong2,ㄆ,ㆲ,ㄆㆲ2,6,13,2
2429,𢪋,頗,公,上上,,ph,ong,phong2,ㄆ,ㆲ,ㄆㆲ2,6,13,2
2430,倘,他,公,上上,,th,ong,thong2,ㄊ,ㆲ,ㄊㆲ2,7,13,2
2431,侗,他,公,上上,,th,ong,thong2,ㄊ,ㆲ,ㄊㆲ2,7,13,2
2432,偒,他,公,上上,,th,ong,thong2,ㄊ,ㆲ,ㄊㆲ2,7,13,2
2433,㒉,他,公,上上,,th,ong,thong2,ㄊ,ㆲ,ㄊㆲ2,7,13,2
2434,儻,他,公,上上,,th,ong,thong2,ㄊ,ㆲ,ㄊㆲ2,7,13,2
2435,戃,他,公,上上,,th,ong,thong2,ㄊ,ㆲ,ㄊㆲ2,7,13,2
2436,矘,他,公,上上,,th,ong,thong2,ㄊ,ㆲ,ㄊㆲ2,7,13,2
2437,曭,他,公,上上,,th,ong,thong2,ㄊ,ㆲ,ㄊㆲ2,7,13,2
2438,桶,他,公,上上,,th,ong,thong2,ㄊ,ㆲ,ㄊㆲ2,7,13,2
2439,統,他,公,上上,,th,ong,thong2,ㄊ,ㆲ,ㄊㆲ2,7,13,2
2440,綂,他,公,上上,,th,ong,thong2,ㄊ,ㆲ,ㄊㆲ2,7,13,2
2441,總,曾,公,上上,,z,ong,zong2,ㄗ,ㆲ,ㄗㆲ2,8,13,2
2442,緫,曾,公,上上,0.01 ,z,ong,zong2,ㄗ,ㆲ,ㄗㆲ2,8,13,2
2443,総,曾,公,上上,,z,ong,zong2,ㄗ,ㆲ,ㄗㆲ2,8,13,2
2444,搃,曾,公,上上,0.01 ,z,ong,zong2,ㄗ,ㆲ,ㄗㆲ2,8,13,2
2445,偬,曾,公,上上,0.01 ,z,ong,zong2,ㄗ,ㆲ,ㄗㆲ2,8,13,2
2446,傯,曾,公,上上,0.01 ,z,ong,zong2,ㄗ,ㆲ,ㄗㆲ2,8,13,2
2447,𥡥,曾,公,上上,,z,ong,zong2,ㄗ,ㆲ,ㄗㆲ2,8,13,2
2448,𩮰,曾,公,上上,0.01 ,z,ong,zong2,ㄗ,ㆲ,ㄗㆲ2,8,13,2
2449,𩮀,曾,公,上上,,z,ong,zong2,ㄗ,ㆲ,ㄗㆲ2,8,13,2
2450,搡,時,公,上上,,s,ong,song2,ㄙ,ㆲ,ㄙㆲ2,10,13,2
2451,磉,時,公,上上,,s,ong,song2,ㄙ,ㆲ,ㄙㆲ2,10,13,2
2452,顙,時,公,上上,,s,ong,song2,ㄙ,ㆲ,ㄙㆲ2,10,13,2
2453,䈡,時,公,上上,,s,ong,song2,ㄙ,ㆲ,ㄙㆲ2,10,13,2
2454,𣞙,時,公,上上,,s,ong,song2,ㄙ,ㆲ,ㄙㆲ2,10,13,2
2455,爽,時,公,上上,,s,ong,song2,ㄙ,ㆲ,ㄙㆲ2,10,13,2
2456,往,英,公,上上,,q,ong,qong2,,ㆲ,ㆲ2,11,13,2
2457,徃,英,公,上上,,q,ong,qong2,,ㆲ,ㆲ2,11,13,2
2458,枉,英,公,上上,,q,ong,qong2,,ㆲ,ㆲ2,11,13,2
2459,嵡,英,公,上上,0.01 ,q,ong,qong2,,ㆲ,ㆲ2,11,13,2
2460,坱,英,公,上上,,q,ong,qong2,,ㆲ,ㆲ2,11,13,2
2461,𡩥,英,公,上上,,q,ong,qong2,,ㆲ,ㆲ2,11,13,2
2462,暡,英,公,上上,,q,ong,qong2,,ㆲ,ㆲ2,11,13,2
2463,莽,門,公,上上,,b,ong,bong2,ㆠ,ㆲ,ㆠㆲ2,12,13,2
2464,莾,門,公,上上,,b,ong,bong2,ㆠ,ㆲ,ㆠㆲ2,12,13,2
2465,𠈵,門,公,上上,,b,ong,bong2,ㆠ,ㆲ,ㆠㆲ2,12,13,2
2466,网,門,公,上上,0.01 ,b,ong,bong2,ㆠ,ㆲ,ㆠㆲ2,12,13,2
2467,𦋟,門,公,上上,,b,ong,bong2,ㆠ,ㆲ,ㆠㆲ2,12,13,2
2468,網,門,公,上上,0.01 ,b,ong,bong2,ㆠ,ㆲ,ㆠㆲ2,12,13,2
2469,罔,門,公,上上,0.01 ,b,ong,bong2,ㆠ,ㆲ,ㆠㆲ2,12,13,2
2470,惘,門,公,上上,,b,ong,bong2,ㆠ,ㆲ,ㆠㆲ2,12,13,2
2471,輞,門,公,上上,,b,ong,bong2,ㆠ,ㆲ,ㆠㆲ2,12,13,2
2472,魍,門,公,上上,,b,ong,bong2,ㆠ,ㆲ,ㆠㆲ2,12,13,2
2473,蟒,門,公,上上,,b,ong,bong2,ㆠ,ㆲ,ㆠㆲ2,12,13,2
2474,漭,門,公,上上,,b,ong,bong2,ㆠ,ㆲ,ㆠㆲ2,12,13,2
2475,㬒,門,公,上上,,b,ong,bong2,ㆠ,ㆲ,ㆠㆲ2,12,13,2
2476,㟿,門,公,上上,,b,ong,bong2,ㆠ,ㆲ,ㆠㆲ2,12,13,2
2477,鉧,門,公,上上,,b,ong,bong2,ㆠ,ㆲ,ㆠㆲ2,12,13,2
2478,䭺,語,公,上上,,g,ong,gong2,ㆣ,ㆲ,ㆣㆲ2,13,13,2
2479,愴,出,公,上上,,c,ong,cong2,ㄘ,ㆲ,ㄘㆲ2,14,13,2
2480,倉,出,公,上上,,c,ong,cong2,ㄘ,ㆲ,ㄘㆲ2,14,13,2
2481,仿,喜,公,上上,,h,ong,hong2,ㄏ,ㆲ,ㄏㆲ2,15,13,2
2482,㑂,喜,公,上上,0.10 ,h,ong,hong2,ㄏ,ㆲ,ㄏㆲ2,15,13,2
2483,倣,喜,公,上上,,h,ong,hong2,ㄏ,ㆲ,ㄏㆲ2,15,13,2
2484,彷,喜,公,上上,0.01 ,h,ong,hong2,ㄏ,ㆲ,ㄏㆲ2,15,13,2
2485,髣,喜,公,上上,0.01 ,h,ong,hong2,ㄏ,ㆲ,ㄏㆲ2,15,13,2
2486,俸,喜,公,上上,,h,ong,hong2,ㄏ,ㆲ,ㄏㆲ2,15,13,2
2487,澒,喜,公,上上,,h,ong,hong2,ㄏ,ㆲ,ㄏㆲ2,15,13,2
2488,放,喜,公,上上,,h,ong,hong2,ㄏ,ㆲ,ㄏㆲ2,15,13,2
2489,昉,喜,公,上上,,h,ong,hong2,ㄏ,ㆲ,ㄏㆲ2,15,13,2
2490,恍,喜,公,上上,,h,ong,hong2,ㄏ,ㆲ,ㄏㆲ2,15,13,2
2491,紡,喜,公,上上,,h,ong,hong2,ㄏ,ㆲ,ㄏㆲ2,15,13,2
2492,訪,喜,公,上上,,h,ong,hong2,ㄏ,ㆲ,ㄏㆲ2,15,13,2
2493,諷,喜,公,上上,,h,ong,hong2,ㄏ,ㆲ,ㄏㆲ2,15,13,2
2494,風,喜,公,上上,,h,ong,hong2,ㄏ,ㆲ,ㄏㆲ2,15,13,2
2495,唪,喜,公,上上,,h,ong,hong2,ㄏ,ㆲ,ㄏㆲ2,15,13,2
2496,謊,喜,公,上上,0.10 ,h,ong,hong2,ㄏ,ㆲ,ㄏㆲ2,15,13,2
2497,捧,喜,公,上上,,h,ong,hong2,ㄏ,ㆲ,ㄏㆲ2,15,13,2
2498,貺,喜,公,上上,,h,ong,hong2,ㄏ,ㆲ,ㄏㆲ2,15,13,2
2499,况,喜,公,上上,,h,ong,hong2,ㄏ,ㆲ,ㄏㆲ2,15,13,2
2500,況,喜,公,上上,,h,ong,hong2,ㄏ,ㆲ,ㄏㆲ2,15,13,2
2501,玤,喜,公,上上,0.01 ,h,ong,hong2,ㄏ,ㆲ,ㄏㆲ2,15,13,2
2502,晃,喜,公,上上,,h,ong,hong2,ㄏ,ㆲ,ㄏㆲ2,15,13,2
2503,幌,喜,公,上上,,h,ong,hong2,ㄏ,ㆲ,ㄏㆲ2,15,13,2
2504,𤰟,喜,公,上上,,h,ong,hong2,ㄏ,ㆲ,ㄏㆲ2,15,13,2
2505,榥,喜,公,上上,,h,ong,hong2,ㄏ,ㆲ,ㄏㆲ2,15,13,2
2506,舫,喜,公,上上,,h,ong,hong2,ㄏ,ㆲ,ㄏㆲ2,15,13,2
2507,謗,邊,公,上去,,p,ong,pong3,ㄅ,ㆲ,ㄅㆲ3,2,13,3
2508,貢,求,公,上去,,k,ong,kong3,ㄍ,ㆲ,ㄍㆲ3,3,13,3
2509,誑,求,公,上去,,k,ong,kong3,ㄍ,ㆲ,ㄍㆲ3,3,13,3
2510,迋,求,公,上去,,k,ong,kong3,ㄍ,ㆲ,ㄍㆲ3,3,13,3
2511,焵,求,公,上去,,k,ong,kong3,ㄍ,ㆲ,ㄍㆲ3,3,13,3
2512,𠉫,求,公,上去,0.01 ,k,ong,kong3,ㄍ,ㆲ,ㄍㆲ3,3,13,3
2513,亢,去,公,上去,,kh,ong,khong3,ㄎ,ㆲ,ㄎㆲ3,4,13,3
2514,伉,去,公,上去,,kh,ong,khong3,ㄎ,ㆲ,ㄎㆲ3,4,13,3
2515,抗,去,公,上去,,kh,ong,khong3,ㄎ,ㆲ,ㄎㆲ3,4,13,3
2516,砊,去,公,上去,,kh,ong,khong3,ㄎ,ㆲ,ㄎㆲ3,4,13,3
2517,吭,去,公,上去,,kh,ong,khong3,ㄎ,ㆲ,ㄎㆲ3,4,13,3
2518,骯,去,公,上去,,kh,ong,khong3,ㄎ,ㆲ,ㄎㆲ3,4,13,3
2519,壙,去,公,上去,,kh,ong,khong3,ㄎ,ㆲ,ㄎㆲ3,4,13,3
2520,曠,去,公,上去,,kh,ong,khong3,ㄎ,ㆲ,ㄎㆲ3,4,13,3
2521,貢,去,公,上去,,kh,ong,khong3,ㄎ,ㆲ,ㄎㆲ3,4,13,3
2522,𡾇,去,公,上去,,kh,ong,khong3,ㄎ,ㆲ,ㄎㆲ3,4,13,3
2523,纊,去,公,上去,,kh,ong,khong3,ㄎ,ㆲ,ㄎㆲ3,4,13,3
2524,頏,去,公,上去,,kh,ong,khong3,ㄎ,ㆲ,ㄎㆲ3,4,13,3
2525,鞚,去,公,上去,,kh,ong,khong3,ㄎ,ㆲ,ㄎㆲ3,4,13,3
2526,誆,去,公,上去,,kh,ong,khong3,ㄎ,ㆲ,ㄎㆲ3,4,13,3
2527,控,去,公,上去,,kh,ong,khong3,ㄎ,ㆲ,ㄎㆲ3,4,13,3
2528,贛,去,公,上去,,kh,ong,khong3,ㄎ,ㆲ,ㄎㆲ3,4,13,3
2529,空,去,公,上去,,kh,ong,khong3,ㄎ,ㆲ,ㄎㆲ3,4,13,3
2530,棟,地,公,上去,,t,ong,tong3,ㄉ,ㆲ,ㄉㆲ3,5,13,3
2531,凍,地,公,上去,,t,ong,tong3,ㄉ,ㆲ,ㄉㆲ3,5,13,3
2532,倲,地,公,上去,,t,ong,tong3,ㄉ,ㆲ,ㄉㆲ3,5,13,3
2533,蝀,地,公,上去,,t,ong,tong3,ㄉ,ㆲ,ㄉㆲ3,5,13,3
2534,譡,地,公,上去,,t,ong,tong3,ㄉ,ㆲ,ㄉㆲ3,5,13,3
2535,當,地,公,上去,,t,ong,tong3,ㄉ,ㆲ,ㄉㆲ3,5,13,3
2536,檔,地,公,上去,,t,ong,tong3,ㄉ,ㆲ,ㄉㆲ3,5,13,3
2537,儅,地,公,上去,,t,ong,tong3,ㄉ,ㆲ,ㄉㆲ3,5,13,3
2538,闣,地,公,上去,,t,ong,tong3,ㄉ,ㆲ,ㄉㆲ3,5,13,3
2539,炐,頗,公,上去,,ph,ong,phong3,ㄆ,ㆲ,ㄆㆲ3,6,13,3
2540,𦜍,頗,公,上去,,ph,ong,phong3,ㄆ,ㆲ,ㄆㆲ3,6,13,3
2541,肨,頗,公,上去,,ph,ong,phong3,ㄆ,ㆲ,ㄆㆲ3,6,13,3
2542,盪,他,公,上去,,th,ong,thong3,ㄊ,ㆲ,ㄊㆲ3,7,13,3
2543,痛,他,公,上去,,th,ong,thong3,ㄊ,ㆲ,ㄊㆲ3,7,13,3
2544,壯,曾,公,上去,,z,ong,zong3,ㄗ,ㆲ,ㄗㆲ3,8,13,3
2545,葬,曾,公,上去,,z,ong,zong3,ㄗ,ㆲ,ㄗㆲ3,8,13,3
2546,塟,曾,公,上去,,z,ong,zong3,ㄗ,ㆲ,ㄗㆲ3,8,13,3
2547,臟,曾,公,上去,,z,ong,zong3,ㄗ,ㆲ,ㄗㆲ3,8,13,3
2548,綜,曾,公,上去,0.01 ,z,ong,zong3,ㄗ,ㆲ,ㄗㆲ3,8,13,3
2549,粽,曾,公,上去,,z,ong,zong3,ㄗ,ㆲ,ㄗㆲ3,8,13,3
2550,糉,曾,公,上去,,z,ong,zong3,ㄗ,ㆲ,ㄗㆲ3,8,13,3
2551,倊,曾,公,上去,,z,ong,zong3,ㄗ,ㆲ,ㄗㆲ3,8,13,3
2552,偆,曾,公,上去,0.01 ,z,ong,zong3,ㄗ,ㆲ,ㄗㆲ3,8,13,3
2553,𧱍,曾,公,上去,,z,ong,zong3,ㄗ,ㆲ,ㄗㆲ3,8,13,3
2554,宋,時,公,上去,,s,ong,song3,ㄙ,ㆲ,ㄙㆲ3,10,13,3
2555,喪,時,公,上去,,s,ong,song3,ㄙ,ㆲ,ㄙㆲ3,10,13,3
2556,送,時,公,上去,,s,ong,song3,ㄙ,ㆲ,ㄙㆲ3,10,13,3
2557,𨓵,時,公,上去,,s,ong,song3,ㄙ,ㆲ,ㄙㆲ3,10,13,3
2558,坱,英,公,上去,,q,ong,qong3,,ㆲ,ㆲ3,11,13,3
2559,塕,英,公,上去,0.01 ,q,ong,qong3,,ㆲ,ㆲ3,11,13,3
2560,瞈,英,公,上去,,q,ong,qong3,,ㆲ,ㆲ3,11,13,3
2561,瓮,英,公,上去,0.01 ,q,ong,qong3,,ㆲ,ㆲ3,11,13,3
2562,甕,英,公,上去,,q,ong,qong3,,ㆲ,ㆲ3,11,13,3
2563,𢟨,門,公,上去,0.01 ,b,ong,bong3,ㆠ,ㆲ,ㆠㆲ3,12,13,3
2564,創,出,公,上去,,c,ong,cong3,ㄘ,ㆲ,ㄘㆲ3,14,13,3
2565,剙,出,公,上去,,c,ong,cong3,ㄘ,ㆲ,ㄘㆲ3,14,13,3
2566,刱,出,公,上去,,c,ong,cong3,ㄘ,ㆲ,ㄘㆲ3,14,13,3
2567,賶,出,公,上去,0.01 ,c,ong,cong3,ㄘ,ㆲ,ㄘㆲ3,14,13,3
2568,放,喜,公,上去,0.01 ,h,ong,hong3,ㄏ,ㆲ,ㄏㆲ3,15,13,3
2569,況,喜,公,上去,,h,ong,hong3,ㄏ,ㆲ,ㄏㆲ3,15,13,3
2570,况,喜,公,上去,,h,ong,hong3,ㄏ,ㆲ,ㄏㆲ3,15,13,3
2571,眖,喜,公,上去,,h,ong,hong3,ㄏ,ㆲ,ㄏㆲ3,15,13,3
2572,吽,喜,公,上去,,h,ong,hong3,ㄏ,ㆲ,ㄏㆲ3,15,13,3
2573,賵,喜,公,上去,,h,ong,hong3,ㄏ,ㆲ,ㄏㆲ3,15,13,3
2574,賻,喜,公,上去,,h,ong,hong3,ㄏ,ㆲ,ㄏㆲ3,15,13,3
2575,𧵦,喜,公,上去,,h,ong,hong3,ㄏ,ㆲ,ㄏㆲ3,15,13,3
2576,甪,柳,公,上入,,l,ok,lok4,ㄌ,ㆦㆻ,ㄌㆦㆻ4,1,14,4
2577,衂,柳,公,上入,,l,ok,lok4,ㄌ,ㆦㆻ,ㄌㆦㆻ4,1,14,4
2578,𧗗,柳,公,上入,,l,ok,lok4,ㄌ,ㆦㆻ,ㄌㆦㆻ4,1,14,4
2579,卜,邊,公,上入,,p,ok,pok4,ㄅ,ㆦㆻ,ㄅㆦㆻ4,2,14,4
2580,北,邊,公,上入,,p,ok,pok4,ㄅ,ㆦㆻ,ㄅㆦㆻ4,2,14,4
2581,烞,邊,公,上入,,p,ok,pok4,ㄅ,ㆦㆻ,ㄅㆦㆻ4,2,14,4
2582,鳪,邊,公,上入,,p,ok,pok4,ㄅ,ㆦㆻ,ㄅㆦㆻ4,2,14,4
2583,國,求,公,上入,,k,ok,kok4,ㄍ,ㆦㆻ,ㄍㆦㆻ4,3,14,4
2584,幗,求,公,上入,,k,ok,kok4,ㄍ,ㆦㆻ,ㄍㆦㆻ4,3,14,4
2585,郭,求,公,上入,,k,ok,kok4,ㄍ,ㆦㆻ,ㄍㆦㆻ4,3,14,4
2586,崞,求,公,上入,,k,ok,kok4,ㄍ,ㆦㆻ,ㄍㆦㆻ4,3,14,4
2587,槨,求,公,上入,,k,ok,kok4,ㄍ,ㆦㆻ,ㄍㆦㆻ4,3,14,4
2588,椁,求,公,上入,,k,ok,kok4,ㄍ,ㆦㆻ,ㄍㆦㆻ4,3,14,4
2589,鞟,求,公,上入,,k,ok,kok4,ㄍ,ㆦㆻ,ㄍㆦㆻ4,3,14,4
2590,谷,求,公,上入,0.01 ,k,ok,kok4,ㄍ,ㆦㆻ,ㄍㆦㆻ4,3,14,4
2591,各,求,公,上入,,k,ok,kok4,ㄍ,ㆦㆻ,ㄍㆦㆻ4,3,14,4
2592,胳,求,公,上入,,k,ok,kok4,ㄍ,ㆦㆻ,ㄍㆦㆻ4,3,14,4
2593,閣,求,公,上入,,k,ok,kok4,ㄍ,ㆦㆻ,ㄍㆦㆻ4,3,14,4
2594,穀,求,公,上入,,k,ok,kok4,ㄍ,ㆦㆻ,ㄍㆦㆻ4,3,14,4
2595,糓,求,公,上入,,k,ok,kok4,ㄍ,ㆦㆻ,ㄍㆦㆻ4,3,14,4
2596,袼,求,公,上入,,k,ok,kok4,ㄍ,ㆦㆻ,ㄍㆦㆻ4,3,14,4
2597,轂,求,公,上入,,k,ok,kok4,ㄍ,ㆦㆻ,ㄍㆦㆻ4,3,14,4
2598,縠,求,公,上入,,k,ok,kok4,ㄍ,ㆦㆻ,ㄍㆦㆻ4,3,14,4
2599,𧯸,求,公,上入,,k,ok,kok4,ㄍ,ㆦㆻ,ㄍㆦㆻ4,3,14,4
2600,㗥,求,公,上入,,k,ok,kok4,ㄍ,ㆦㆻ,ㄍㆦㆻ4,3,14,4
2601,𠯑,求,公,上入,,k,ok,kok4,ㄍ,ㆦㆻ,ㄍㆦㆻ4,3,14,4
2602,牿,去,公,上入,,kh,ok,khok4,ㄎ,ㆦㆻ,ㄎㆦㆻ4,4,14,4
2603,梏,去,公,上入,,kh,ok,khok4,ㄎ,ㆦㆻ,ㄎㆦㆻ4,4,14,4
2604,告,去,公,上入,,kh,ok,khok4,ㄎ,ㆦㆻ,ㄎㆦㆻ4,4,14,4
