序,攝,韻,調,等,呼,韻母,台羅,擬音,切語下字
74,山,仙B,平,三,合,仙B合,uan,[-ĭwɛn],權 貟 圓 轉 篆 倦 卷
75,山,先,平,四,開,先開,ian,[-ien],前 先 賢 田 年 顚 堅 玄 煙 典 殄 泫 繭 峴 佃 甸 練 電 麵 見
76,山,先,平,四,合,先合,ian,[-iwen],玄 涓 畎 泫 縣 練
77,臻,眞,入,三,開,質開,it,,日 質 一 七 悉 吉 栗
78,臻,眞,入,三,合,質合,it,,筆
79,臻,眞A,入,三,開,質A,it,,質 悉 吉 畢 必
80,臻,眞B,入,三,開,質B開,it,,畢 乙 筆 密
81,臻,眞B,入,三,合,質B合,it,,聿
82,臻,臻,入,三,開,櫛,it,[-ĭet],栗 叱 瑟 櫛
83,臻,諄,入,三,合,術,ut,[-ĭuĕt],筆 律 聿 䘏
84,臻,諄A,入,三,合,術A,ut,[-ĭuĕt],必 聿
85,臻,痕,入,一,開,麧,,[-ət],没
86,臻,魂,入,一,合,沒,ut,[-uət],勃 骨 忽 没
87,臻,欣,入,三,開,迄,it,[-ĭət],乙 訖 迄
88,臻,文,入,三,合,物,ut,[-ĭuət],弗 勿 物
89,山,寒,入,一,開,曷,at,[-ɑt],葛 割 達 曷 末
90,山,桓,入,一,合,末,uat,[-uɑt],撥 活 末 栝 括
91,臻,元,入,三,開,月開,iat,[-ĭɐt],歇 竭 謁 訐
92,臻,元,入,三,合,月合,uat,[-ĭwɐt],厥 越 伐 月 發
93,山,刪,入,二,開,黠開,at,[-at],瞎 鎋 轄
94,山,刪,入,二,合,黠合,uat,[-wat],䫄 刮
95,山,山,入,二,開,鎋開,at,[-æt],八 拔 黠
96,山,山,入,二,合,鎋合,uat,[-wæt],八 滑
97,山,仙,入,三,開,薛開,iat,[-ĭɛt],列 辥 熱
98,山,仙,入,三,合,薛合,uat,[-ĭwɛt],雪 悅 絕 劣 爇 輟
99,山,仙A,入,三,開,薛A開,uat,[-ĭɛt],列 滅
100,山,仙A,入,三,合,薛A合,uat,[-ĭwɛt],雪 悅
101,山,仙B,入,三,開,薛B開,uat,[-ĭɛt],竭 列 别
102,山,仙B,入,三,合,薛B合,uat,[-ĭwɛt],劣
