識別號,聲母碼,國際音標,白話字,台羅,閩拼,方音,十五音,備註
1,l,l,l,l,l,ㄌ,柳,
2,p,p,p,p,b,ㄅ,邊,
3,k,k,k,k,g,ㄍ,求,
4,kh,kʰ,kh,kh,k,ㄎ,去,
5,t,t,t,t,d,ㄉ,地,
6,ph,pʰ,ph,ph,p,ㄆ,頗,
7,th,tʰ,th,th,t,ㄊ,他,
8,z,ʦ,ch,ts,z,ㄗ,曾,
9,j,ʣ,j,j,zz,ㆡ,入,
10,s,s,s,s,s,ㄙ,時,
11,q,,,,,,英,
12,b,b,b,b,bb,ㆠ,門,
13,g,ɡ,g,g,gg,ㆣ,語,
14,c,ʦʰ,chh,tsh,c,ㄘ,出,
15,h,h,h,h,h,ㄏ,喜,
16,m,m,m,m,bbn,ㄇ,毛,b/m 本不分，此處分門/毛 
17,n,n,n,n,ln,ㄋ,耐,l/n 本不分，此處分柳/耐 
18,ng,ŋ,ng,ng,ggn,ㄫ,雅,g/ng 本不分，此處分語/雅 
