字號,漢字,標音,上字,下字,上字號,聲母,聲母標音,七聲類,清濁,發送收,下字號,韻母,韻母標音,韻目列號,攝,調,目次,韻目,等呼,等,呼,廣韻調名,台羅聲調,字義識別號
1,東,tong1,德,紅,9,端,t,舌音,全清,發聲,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,1
2,菄,tong1,德,紅,9,端,t,舌音,全清,發聲,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,2
3,鶇,tong1,德,紅,9,端,t,舌音,全清,發聲,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,3
4,䍶,tong1,德,紅,9,端,t,舌音,全清,發聲,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,4
5,𠍀,tong1,德,紅,9,端,t,舌音,全清,發聲,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,5
6,倲,tong1,德,紅,9,端,t,舌音,全清,發聲,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,6
7,𩜍,tong1,德,紅,9,端,t,舌音,全清,發聲,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,7
8,𢘐,tong1,德,紅,9,端,t,舌音,全清,發聲,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,8
9,涷,tong1,德,紅,9,端,t,舌音,全清,發聲,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,9
10,蝀,tong1,德,紅,9,端,t,舌音,全清,發聲,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,10
11,凍,tong1,德,紅,9,端,t,舌音,全清,發聲,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,11
12,鯟,tong1,德,紅,9,端,t,舌音,全清,發聲,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,12
13,𢔅,tong1,德,紅,9,端,t,舌音,全清,發聲,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,13
14,崠,tong1,德,紅,9,端,t,舌音,全清,發聲,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,14
15,埬,tong1,德,紅,9,端,t,舌音,全清,發聲,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,15
16,𧓕,tong1,德,紅,9,端,t,舌音,全清,發聲,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,16
17,䰤,tong1,德,紅,9,端,t,舌音,全清,發聲,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,17
18,同,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,18
19,仝,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,19
20,童,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,20
21,僮,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,21
22,銅,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,22
23,桐,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,23
24,峒,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,24
25,硐,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,25
26,𦨴,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,26
27,𧱁,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,27
28,筒,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,28
29,瞳,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,29
30,㼧,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,30
31,𤭁,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,31
32,罿,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,32
33,犝,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,33
34,筩,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,34
35,潼,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,35
36,曈,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,36
37,洞,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,37
38,侗,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,38
39,橦,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,39
40,烔,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,40
41,䴀,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,41
42,挏,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,42
43,酮,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,43
44,鮦,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,44
45,㼿,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,45
46,𦏆,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,46
47,𦍻,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,47
48,眮,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,48
49,蕫,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,49
50,穜,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,50
51,衕,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,51
52,𩍅,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,52
53,𢈉,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,53
54,䆚,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,54
55,哃,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,55
56,𢏕,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,56
57,絧,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,57
58,𨚯,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,58
59,𨝯,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,59
60,𪔜,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,#N/A
61,𩦶,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,61
62,𪒿,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,62
63,中,tiong1,陟,弓,13,知,t,舌音,全清,發聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,63
64,衷,tiong1,陟,弓,13,知,t,舌音,全清,發聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,64
65,忠,tiong1,陟,弓,13,知,t,舌音,全清,發聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,65
66,𦬕,tiong1,陟,弓,13,知,t,舌音,全清,發聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,66
67,蟲,tiong5,直,弓,15,澄,t,舌音,全濁, ,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,67
68,沖,tiong5,直,弓,15,澄,t,舌音,全濁, ,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,68
69,种,tiong5,直,弓,15,澄,t,舌音,全濁, ,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,69
70,盅,tiong5,直,弓,15,澄,t,舌音,全濁, ,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,70
71,爞,tiong5,直,弓,15,澄,t,舌音,全濁, ,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,71
72,𦬕,tiong5,直,弓,15,澄,t,舌音,全濁, ,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,66
73,翀,tiong5,直,弓,15,澄,t,舌音,全濁, ,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,73
74,浺,tiong5,直,弓,15,澄,t,舌音,全濁, ,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,90
75,終,ziong1,職,戎,27,章,z,齒音,全清,發聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,74
76,眾,ziong1,職,戎,27,章,z,齒音,全清,發聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,#N/A
77,潀,ziong1,職,戎,27,章,z,齒音,全清,發聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,#N/A
78,𣧩,ziong1,職,戎,27,章,z,齒音,全清,發聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,77
79,螽,ziong1,職,戎,27,章,z,齒音,全清,發聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,78
80,𧑄,ziong1,職,戎,27,章,z,齒音,全清,發聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,79
81,鼨,ziong1,職,戎,27,章,z,齒音,全清,發聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,80
82,蔠,ziong1,職,戎,27,章,z,齒音,全清,發聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,81
83,柊,ziong1,職,戎,27,章,z,齒音,全清,發聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,82
84,𩅧,ziong1,職,戎,27,章,z,齒音,全清,發聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,83
85,䶱,ziong1,職,戎,27,章,z,齒音,全清,發聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,84
86,鴤,ziong1,職,戎,27,章,z,齒音,全清,發聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,85
87,䈺,ziong1,職,戎,27,章,z,齒音,全清,發聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,86
88,泈,ziong1,職,戎,27,章,z,齒音,全清,發聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,87
89,䝦,ziong1,職,戎,27,章,z,齒音,全清,發聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,88
90,忡,thiong1,敕,中,14,徹,th,舌音,次清,送氣,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,89
91,浺,thiong1,敕,中,14,徹,th,舌音,次清,送氣,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,90
92,盅,thiong1,敕,中,14,徹,th,舌音,次清,送氣,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,70
93,崇,ziong5,鋤,弓,30,崇,z,齒音,全濁, ,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,92
94,崈,ziong5,鋤,弓,30,崇,z,齒音,全濁, ,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,93
95,㓽,ziong5,鋤,弓,30,崇,z,齒音,全濁, ,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,94
96,𩞉,ziong5,鋤,弓,30,崇,z,齒音,全濁, ,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,95
97,嵩,siong1,息,弓,24,心,s,齒音,全清,送氣,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,96
98,崧,siong1,息,弓,24,心,s,齒音,全清,送氣,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,97
99,𪀚,siong1,息,弓,24,心,s,齒音,全清,送氣,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,98
100,娀,siong1,息,弓,24,心,s,齒音,全清,送氣,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,99
101,菘,siong1,息,弓,24,心,s,齒音,全清,送氣,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,100
102,硹,siong1,息,弓,24,心,s,齒音,全清,送氣,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,101
103,㣝,siong1,息,弓,24,心,s,齒音,全清,送氣,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,102
104,𧊕,siong1,息,弓,24,心,s,齒音,全清,送氣,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,103
105,䯷,siong1,息,弓,24,心,s,齒音,全清,送氣,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,#N/A
106,戎,jiong5,如,融,42,日,j,半齒音,次濁,收聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,105
107,𢦦,jiong5,如,融,42,日,j,半齒音,次濁,收聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,106
108,茙,jiong5,如,融,42,日,j,半齒音,次濁,收聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,107
109,㭜,jiong5,如,融,42,日,j,半齒音,次濁,收聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,108
110,駥,jiong5,如,融,42,日,j,半齒音,次濁,收聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,109
111,𥬪,jiong5,如,融,42,日,j,半齒音,次濁,收聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,110
112,𠈋,jiong5,如,融,42,日,j,半齒音,次濁,收聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,111
113,狨,jiong5,如,融,42,日,j,半齒音,次濁,收聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,112
114,絨,jiong5,如,融,42,日,j,半齒音,次濁,收聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,113
115,弓,kiong1,居,戎,17,見,k,牙音,全清,發聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,114
116,躳,kiong1,居,戎,17,見,k,牙音,全清,發聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,115
117,躬,kiong1,居,戎,17,見,k,牙音,全清,發聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,116
118,㴦,kiong1,居,戎,17,見,k,牙音,全清,發聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,117
119,宮,kiong1,居,戎,17,見,k,牙音,全清,發聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,118
120,匑,kiong1,居,戎,17,見,k,牙音,全清,發聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,119
121,融,Øiong5,以,戎,39,以,Ø,喉音,次濁,發聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,120
122,融,Øiong5,以,戎,39,以,Ø,喉音,次濁,發聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,120
123,肜,Øiong5,以,戎,39,以,Ø,喉音,次濁,發聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,121
124,瀜,Øiong5,以,戎,39,以,Ø,喉音,次濁,發聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,122
125,雄,Øiong5,羽,弓,40,云,Ø,喉音,次濁,發聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,123
126,熊,Øiong5,羽,弓,40,云,Ø,喉音,次濁,發聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,124
127,瞢,miong5,莫,中,4,明,m,脣音,次濁,收聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,125
128,夢,miong5,莫,中,4,明,m,脣音,次濁,收聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,126
129,𨞯,miong5,莫,中,4,明,m,脣音,次濁,收聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,127
130,懜,miong5,莫,中,4,明,m,脣音,次濁,收聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,128
131,𦫰,miong5,莫,中,4,明,m,脣音,次濁,收聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,129
132,𧲎,miong5,莫,中,4,明,m,脣音,次濁,收聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,130
133,穹,khiong1,去,宮,18,溪,kh,牙音,次清,送氣,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,131
134,𢞏,khiong1,去,宮,18,溪,kh,牙音,次清,送氣,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,132
135,焪,khiong1,去,宮,18,溪,kh,牙音,次清,送氣,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,133
136,芎,khiong1,去,宮,18,溪,kh,牙音,次清,送氣,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,134
137,𦵡,khiong1,去,宮,18,溪,kh,牙音,次清,送氣,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,135
138,匑,khiong1,去,宮,18,溪,kh,牙音,次清,送氣,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,119
139,𥳎,khiong1,去,宮,18,溪,kh,牙音,次清,送氣,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,137
140,窮,kiong5,渠,弓,19,群,k,牙音,全濁, ,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,138
141,藭,kiong5,渠,弓,19,群,k,牙音,全濁, ,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,139
142,𥨪,kiong5,渠,弓,19,群,k,牙音,全濁, ,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,140
143,馮,hiong5,房,戎,7,奉,h,脣音,全濁, ,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,141
144,堸,hiong5,房,戎,7,奉,h,脣音,全濁, ,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,142
145,汎,hiong5,房,戎,7,奉,h,脣音,全濁, ,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,143
146,芃,hiong5,房,戎,7,奉,h,脣音,全濁, ,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,144
147,𨝭,hiong5,房,戎,7,奉,h,脣音,全濁, ,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,145
148,渢,hiong5,房,戎,7,奉,h,脣音,全濁, ,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,146
149,梵,hiong5,房,戎,7,奉,h,脣音,全濁, ,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,147
150,風,hiong1,方,戎,5,非,h,脣音,全清,發聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,148
151,飌,hiong1,方,戎,5,非,h,脣音,全清,發聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,149
152,楓,hiong1,方,戎,5,非,h,脣音,全清,發聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,150
153,猦,hiong1,方,戎,5,非,h,脣音,全清,發聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,151
154,偑,hiong1,方,戎,5,非,h,脣音,全清,發聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,152
155,檒,hiong1,方,戎,5,非,h,脣音,全清,發聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,153
156,𧆉,hiong1,方,戎,5,非,h,脣音,全清,發聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,154
157,豐,hong1,敷,空,6,敷,h,脣音,次清,送氣,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,155
158,酆,hong1,敷,空,6,敷,h,脣音,次清,送氣,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,156
159,蘴,hong1,敷,空,6,敷,h,脣音,次清,送氣,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,157
160,灃,hong1,敷,空,6,敷,h,脣音,次清,送氣,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,158
161,寷,hong1,敷,空,6,敷,h,脣音,次清,送氣,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,159
162,麷,hong1,敷,空,6,敷,h,脣音,次清,送氣,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,160
163,㒥,hong1,敷,空,6,敷,h,脣音,次清,送氣,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,161
164,㠦,hong1,敷,空,6,敷,h,脣音,次清,送氣,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,162
165,充,ciong1,昌,終,29,昌,c,齒音,次清,送氣,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,163
166,珫,ciong1,昌,終,29,昌,c,齒音,次清,送氣,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,164
167,茺,ciong1,昌,終,29,昌,c,齒音,次清,送氣,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,165
168,㤝,ciong1,昌,終,29,昌,c,齒音,次清,送氣,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,166
169,䘪,ciong1,昌,終,29,昌,c,齒音,次清,送氣,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,167
170,𪎽,ciong1,昌,終,29,昌,c,齒音,次清,送氣,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,168
171,㳘,ciong1,昌,終,29,昌,c,齒音,次清,送氣,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,清平,1,169
172,隆,liong5,力,中,41,來,l,半舌音,次濁,收聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,170
173,癃,liong5,力,中,41,來,l,半舌音,次濁,收聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,171
174,𪔳,liong5,力,中,41,來,l,半舌音,次濁,收聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,172
175,窿,liong5,力,中,41,來,l,半舌音,次濁,收聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,173
176,霳,liong5,力,中,41,來,l,半舌音,次濁,收聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,174
177,㚅,liong5,力,中,41,來,l,半舌音,次濁,收聲,2,01獨細,iong,1,通,平,上平01東,東,獨細,3,開,濁平,5,175
178,空,khong1,苦,紅,18,溪,kh,牙音,次清,送氣,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,176
179,箜,khong1,苦,紅,18,溪,kh,牙音,次清,送氣,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,177
180,崆,khong1,苦,紅,18,溪,kh,牙音,次清,送氣,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,178
181,椌,khong1,苦,紅,18,溪,kh,牙音,次清,送氣,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,179
182,硿,khong1,苦,紅,18,溪,kh,牙音,次清,送氣,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,180
183,䅝,khong1,苦,紅,18,溪,kh,牙音,次清,送氣,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,181
184,悾,khong1,苦,紅,18,溪,kh,牙音,次清,送氣,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,182
185,埪,khong1,苦,紅,18,溪,kh,牙音,次清,送氣,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,183
186,倥,khong1,苦,紅,18,溪,kh,牙音,次清,送氣,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,184
187,涳,khong1,苦,紅,18,溪,kh,牙音,次清,送氣,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,185
188,鵼,khong1,苦,紅,18,溪,kh,牙音,次清,送氣,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,186
189,𦱇,khong1,苦,紅,18,溪,kh,牙音,次清,送氣,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,187
190,𢃐,khong1,苦,紅,18,溪,kh,牙音,次清,送氣,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,188
191,𧌆,khong1,苦,紅,18,溪,kh,牙音,次清,送氣,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,189
192,公,kong1,古,紅,17,見,k,牙音,全清,發聲,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,190
