識別號,廣韻小字序,漢字,字義摘要
4653,515.8,驙,白馬黒脊又知連切
4654,515.9,但,語辝亦姓何氏姓苑云漢有但巴爲濟隂太守又徒旱切又徒旦切
4655,515.1,胆,胆口脂澤出證俗文
4656,515.11,繟,寛緩
4657,515.12,儃,態也又市連切
4658,515.13,聅,軍法以矢貫耳曰聅
4659,515.14,唌,歎也
4660,515.15,貚,貙屬
4661,516.1,殘,餘也說文[贓/賊]也昨干切七
4662,516.2,䏼,禽獸食餘又徂賛切
4663,516.3,㱚,上同
4664,516.4,戔,傷也又戔戔束帛皃易曰束帛戔戔
4665,516.5,𥂥,䀂𥂥大盂
4666,516.6,𣦻,穿也
4667,516.7,帴,帗也
4668,517.1,干,求也犯也觸也亦姓左傳宋有干犨又漢複姓何氏姓苑漢有干己衍爲京兆尹古寒切十六
4669,517.2,乾,字樣云本音虔今借爲乾濕字又姓出何氏姓苑
4670,517.3,漧,古文
4671,517.4,竿,竹竿
4672,517.5,肝,木藏
4673,517.6,奸,以[婬/淫]犯也
4674,517.7,鳱,鳱鵲鳥名知未來事噪則行人至鵲字或作䧼䧼古沃切
4675,517.8,玕,琅玕美石次玉
4676,517.9,邗,越別名又音寒江名也
4677,517.1,汗,餘汗縣名又寒翰二音
4678,517.11,迀,進也
4679,517.12,㿻,盤也又大盌名
4680,517.13,𢧀,𢧀盾
4681,517.14,忓,說文極也
4682,517.15,𨝌,地名
4683,517.16,𡯋,𡯋[服/股]
4684,518.1,蘭,香草亦州名古西羌地隋文帝置蘭州取皐蘭山爲名又姓漢有武陵太守蘭廣落干切十[一/二]
4685,518.2,瀾,大波
4686,518.3,闌,晚也牢也遮也希也又飲酒半罷曰闌
4687,518.4,讕,逸言又力誕切
4688,518.5,攔,階際木句攔亦作闌
4689,518.6,𨷻,妄入宫門
4690,518.7,籣,盛弩矢人所負也
4691,518.8,䪍,上同
4692,518.9,欄,木名
4693,518.1,躝,踰也
4694,518.11,幱,幱衫幱裙
4695,518.12,㘓,㘓哰𠍽挐語不可解
4696,519.1,看,視也苦寒切七
4697,519.2,𥉏,古文
4698,519.3,栞,槎木也
4699,519.4,𣓁,上同
4700,519.5,靬,弓衣
4701,519.6,臤,[⊟臤皿/堅]也又口閒口耕二切
4702,519.7,刊,削也剟也
4703,520.1,頇,[顓/顢]頇大面皃許干切二
4704,520.2,鼾,臥氣激聲
4705,521.1,濡,水名出涿郡乃官切一
4706,522.1,桓,桓桓武也又姓本自姜姓齊桓公後因諡爲氏望出譙郡後漢有太子太傅桓榮胡官切二十九
4707,522.2,完,全也
4708,522.3,䴟,鹿一歳
4709,522.4,𩾞,𩾞䳜鳥烏喙蛇尾也
4710,522.5,丸,彈丸
4711,522.6,瓛,圭名說文曰桓圭公所執
4712,522.7,紈,紈素
4713,522.8,𦼉,𦼉葦易亦作萑俗作雚雚本自音灌
4714,522.9,萑,木兔鳥也
4715,522.1,洹,水名在鄴又干元切
4716,522.11,汍,汍瀾泣淚
4717,522.12,絙,緩也
4718,522.13,芄,芄蘭草名
4719,522.14,豲,豕屬又豲道縣在夫水亦作獂
4720,522.15,梡,木名出蒼梧子可食
4721,522.16,荁,堇類
4722,522.17,莞,似藺而圎可爲席又音官
4723,522.18,綄,舩上候風羽楚謂之五兩
4724,522.19,𦏊,山羊細角而形大也
4725,522.2,萈,上同見說文
4726,522.21,貆,說文曰貉之類又音歡
4727,522.22,狟,大犬也周書曰尚狟狟
4728,522.23,峘,爾雅云小山岌大山[曰▼曰字當刪▲]峘又戸登切
4729,522.24,㿪,皮病
4730,522.25,䎠,丸屬
4731,522.26,垸,漆加骨灰上也
4732,522.27,寏,周垣
4733,522.28,院,上同
4734,522.29,捖,揳刮摩也
4735,523.1,岏,㠝岏五丸切十
4736,523.2,刓,圎削
4737,523.3,园,上同
4738,523.4,忨,貪也
4739,523.5,蚖,毒蛇
4740,523.6,䯈,䯊䯈
4741,523.7,羱,羱野羊角大又語𡊮切
4742,523.8,黿,黿似鼈又音元
4743,523.9,抏,挫也
4744,523.1,𠒢,𠒢䨲
4745,524.1,端,正也直也緒也等也亦姓出姓苑又漢複姓孔子弟子端木賜也多官切十一
4746,524.2,褍,衣長也又衣正幅也
4747,524.3,剬,齊也
4748,524.4,𧤗,角𧤗獸名狀如豕角善爲弓李陵以此遺蘇武
4749,524.5,耑,說文曰物初生之題也上象生形下象其根也
4750,524.6,鍴,鑚也
4751,524.7,𥵣,竹名出南嶺
4752,524.8,竱,齊也又之耎切
4753,524.9,𦾸,草名
4754,524.1,𥠄,禾垂皃又丁果切
4755,524.11,偳,抄偳又音湍
4756,525.1,剜,刻削也一丸切六
4757,525.2,眢,井無水一曰目無[睛/精]
4758,525.3,豌,豆也
4759,525.4,蜿,蟠蜿龍皃
4760,525.5,帵,帵子裁餘
4761,525.6,婠,德好皃又古旦切
4762,526.1,湍,急瀨也他端切又音專六
4763,526.2,貒,似豕而肥又他畔切
4764,526.3,䵎,黃黒色
4765,526.4,𪏆,黃色又湯門切
4766,526.5,煓,火盛
4767,526.6,偳,人名又多丸切
4768,527.1,酸,醋也素官切五
4769,527.2,狻,狻猊師也猛獸
4770,527.3,䝜,上同
4771,527.4,痠,痠疼
4772,527.5,𩆑,小雨
4773,528.1,團,團圎度官切十二
4774,528.2,慱,詩云勞心慱慱
4775,528.3,篿,竹器
4776,528.4,剸,𢧵也
4777,528.5,鄟,邾[鄟/䣚]之邑
4778,528.6,𧐕,魚似鮒而豕尾
4779,528.7,敦,詩云有敦𤓰苦又都昆切
4780,528.8,漙,詩云零露漙兮
4781,528.9,鷒,爾雅曰鸛鷒鶝鶔如鵲短尾射之銜矢射人
4782,528.1,𪆃,鳶之別名詩亦作鶉傳云雕也
4783,528.11,摶,說文曰圜也禮云無搏飯
4784,528.12,𩅂,露皃
4785,529.1,櫕,木叢也在丸切九
4786,529.2,巑,㠝岏小山皃
4787,529.3,𩎈,車縛軏也又借官切
4788,529.4,菆,菆塗見禮
4789,529.5,襸,[◫礻賛/襸]襸補
4790,529.6,酇,鄼聚也又音纂音賛
4791,529.7,穳,秿也又刈禾積也
4792,529.8,𥣚,上同
4793,529.9,劗,剃髮也又子攅切
4794,530.1,官,官宦左傳曰黃帝以雲紀官炎帝以火紀官大暭以龍紀官少暭以鳥紀官又君也法也事也又複姓三氏左傳晉王官無地御戎魯先賢傳云孔子妻[开/并]官氏楚莊王少子爲上官大夫以上官爲氏古丸切十
4795,530.2,悹,憂也又古玩切
4796,530.3,莞,草名可以爲席亦云東莞郡名又姓姓苑云今吳人又胡官切
4797,530.4,棺,棺椁禮記曰有虞氏瓦棺夏后氏堲周殷人棺椁說文曰關也所以掩屍也
4798,530.5,觀,視也又音灌
4799,530.6,貫,穿也又音灌
4800,530.7,冠,首飾說文曰絭也所以絭髮弁冕之緫名也亦姓風俗通云古賢者鶡冠子之後又音灌
4801,530.8,涫,樂涫縣在酒泉
4802,530.9,倌,倌人主駕說文曰小臣也詩云命彼倌人
4803,530.1,毌,穿物持也
4804,531.1,鑾,鑾鈴崔豹古今注云五輅衡上金雀者朱鳥也口銜鈴鈴謂之鑾也或謂朱鳥鸞也鸞口銜鈴故謂之[鸞/鑾]落官切十四
4805,531.2,鸞,春秋元命包曰离爲鸞孫氏瑞應圖曰鸞者赤神之精鳳皇之佐也山海經曰女牀山有鳥狀如翟而五采文名曰鸞見則天下太平安寧
4806,531.3,巒,小山而銳
4807,531.4,欒,木名說文曰木似欄禮天子樹松諸侯柏大夫欒士楊又曲枅亦姓代爲晉卿出左傳
4808,531.5,羉,彘罟
4809,531.6,𧄶,𦳓葵一曰𦭘也
4810,531.7,䜌,南䜌縣在鉅鹿
4811,531.8,㱍,迷惑不解理一曰欠皃
4812,531.9,臠,臠臠病瘠皃
4813,531.1,灤,水名
4814,531.11,灓,說文曰漏流也水沃也漬也
4815,531.12,𤼙,病也瘦也
4816,531.13,圞,團圝圎也
4817,531.14,曫,日夕昬時
4818,532.1,歡,喜也呼官切十三
4819,532.2,懽,上同又音貫
4820,532.3,驩,馬名
4821,532.4,貆,貉屬
4822,532.5,貛,牡狼
4823,532.6,𪈩,𪈩鷤鳥射之則銜矢射人說文爾雅並云𪈩鷒
4824,532.7,鴅,鳥名。人面鳥喙。
4825,532.8,酄,魯郡邑名
4826,532.9,獾,野豚
4827,532.1,犿,上同
4828,532.11,𡚊,化也始也出方言
4829,532.12,讙,讙諠
4830,532.13,𠂄,𠂄兜四凶名古文尚書作𣎅
4831,533.1,寬,愛也裕也緩也苦官切二
4832,533.2,髖,髖兩股閒也
4833,534.1,鑚,刺也借官切又借玩切六
4834,534.2,𩎑,說文曰車衡三束也曲轅𩍴縛直轅𨏉縳
4835,534.3,𩎈,[同上]
4836,534.4,䡽,並上同
4837,534.5,𣀶,姓出姓苑
4838,534.6,劗,剃髮
4839,535.1,槃,器名薄官切二十二
4840,535.2,盤,籀文
4841,535.3,鎜,古文
4842,535.4,柈,俗
4843,535.5,瘢,瘡痕
4844,535.6,磻,磻溪太公釣處
4845,535.7,幋,大巾
4846,535.8,磐,大石
4847,535.9,䰉,䰉頭[曲/屈]髮爲之又卧髻也又音班
4848,535.1,般,樂也又博干切釋典又音鉢
4849,535.11,蹣,蹣跚跛行皃
4850,535.12,搫,搫㨏婉轉
4851,535.13,鞶,鞶革說文曰大帶也
4852,535.14,繁,繁纓馬飾見左傳
4853,535.15,𪄀,𪄀𪃑異鳥人面出山海經
4854,535.16,𥈼,轉目視也
4855,535.17,媻,奢也一曰小妻又媻媻來往皃
4856,535.18,縏,番和縣名在涼州
4857,535.19,蟠,鼠負蟲又龍蟠也
4858,535.2,𪒀,下色
4859,535.21,䈲,篾也
4860,535.22,𤠍,𤠍狐大也
4861,536.1,瞞,目不明也說文曰平目也曹操一名瞞又姓風俗通云瞞氏荆蠻之後本姓蠻其枝裔隨音變改爲瞞氏母官切二十四
4862,536.2,顢,顢頇大面皃
4863,536.3,謾,欺也慢也
4864,536.4,蹣,踰牆
4865,536.5,䊡,䊡頭餅也
4866,536.6,饅,俗
4867,536.7,慲,忘也
4868,536.8,鏝,泥鏝
4869,536.9,槾,並上同
4870,536.1,墁,並上同
4871,536.11,㒼,無穿孔狀
4872,536.12,鞔,鞔鞋履
4873,536.13,樠,木名松心
4874,536.14,鰻,鰻䱊魚也
4875,536.15,曼,路逺
4876,536.16,蔓,蔓菁菜也
4877,536.17,䜱,䜱䜪亭名在上艾䜪音求
4878,536.18,𤡁,獸似狸也
4879,536.19,䟂,行遟皃
4880,536.2,𦔔,種遍皃
4881,536.21,芇,相當也又亡殄武仙二切
4882,536.22,悗,惑也
4883,536.23,鬗,長髮
4884,536.24,絻,連也
4885,537.1,潘,淅米汁又姓周文王[-/子]畢公之子季孫食采於潘因氏焉出廣宗河南二望普官切六
4886,537.2,㽃,㽃[𤬪/瓳]大甎
4887,537.3,番,番禺縣在廣州
4888,537.4,拌,弃也俗作𢬵
4889,537.5,㢖,峙居也
4890,537.6,𤺏,弃𤺏
4891,538.1,𤳖,部黨北潘切四
4892,538.2,般,般運
4893,538.3,䈲,捕魚[笥/笱]其門可入不可出
4894,538.4,𠦒,弃糞器名又姓出姓譜
4895,539.1,刪,除削也又定也所姦切又所晏切五
4896,539.2,訕,謗也
4897,539.3,潸,出涕皃
4898,539.4,𣧱,單于別名
4899,539.5,狦,說文曰惡健大也又所晏切
4900,540.1,關,說文曰以木橫持門戸也聲類曰關所以閉也又姓風俗通云關令尹喜之後蜀有前將軍關羽河東解人古還切六
4901,540.2,関,俗
4902,540.3,癏,病也
4903,540.4,擐,貫也又音患出文字指歸
4904,540.5,𠴨,二鳥和鳴
4905,540.6,𢇇,織貫杼也
4906,541.1,彎,說文曰持弓關矢也烏關切五
4907,541.2,灣,水曲
4908,541.3,䘎,䗡䘎蟲名
4909,541.4,𩅦,吳[王/主]孫休長子名見吳志
4910,541.5,潫,盤盂說文曰飯器也又姓左傳晉有盂丙
4911,542.1,𣠯,關門機出通俗文數還切一
4912,543.1,還,反也退也顧也復也戸關切又音旋二十
4913,543.2,環,玉環爾雅曰肉好若一謂之環又姓古有楚賢者環淵後有環濟撰要略一部
4914,543.3,𠟼,樸𠟼縣名在武威樸音蒲
4915,543.4,鬟,髻鬟
4916,543.5,寰,王者封畿内縣又𤣥甸切
4917,543.6,闤,闤闠崔豹古今注云闤市垣也闠市門也
4918,543.7,糫,膏糫粔籹
4919,543.8,鍰,六兩曰鍰鍰黃鐵也一曰錢也
4920,543.9,圜,圜圍又王權切
4921,543.1,鐶,指鐶
4922,543.11,轘,轘轅又地名也
4923,543.12,𡍦,里名在洛陽
4924,543.13,䍺,獸名似羊而黒色無口不可殺也
4925,543.14,𦏖,上同
4926,543.15,郇,姓出絳州又音荀
4927,543.16,澴,水名
4928,543.17,𩙽,𩙽飛遶皃
4929,543.18,䭴,馬一歳又音弦
4930,543.19,㡲,屋牡瓦名
4931,543.2,𦣴,堅𦣴
4932,544.1,班,說文曰分瑞玉俗作◫玢王亦姓出扶風風俗通云楚令尹鬬班之後布還切十三
4933,544.2,頒,布也賜也又音汾
4934,544.3,鳻,大鳩
4935,544.4,朌,大首又音汾
4936,544.5,螌,螌蝥毒蟲
4937,544.6,斑,駮也文也
4938,544.7,辬,上同見說文
4939,544.8,䰉,髮半白又音盤
4940,544.9,般,還師亦作班師又盤𤳖鉢三音
4941,544.1,斒,斕斒
4942,544.11,鯿,魚名又音編
4943,544.12,扳,挽也公羊傳云扳隱而立又音攀
4944,544.13,𠔯,[賤/賦]事之皃
4945,545.1,蠻,南夷名亦姓莫還切七
4946,545.2,𪈮,似鳧一目一足一翼相得乃飛即比翼鳥也
4947,545.3,獌,狼屬又莫干晚販二切
4948,545.4,鬘,衣出釋典
4949,545.5,謾,方言曰謾台脅䦧懼也燕代之閒曰謾台齊楚之閒曰脅䦧台音怡
4950,545.6,䅼,赤䅼稻名
4951,545.7,𪑪,畫車輪也
4952,546.1,顏,顔容亦顔額又姓出琅邪本自魯伯禽支庶有食采顔邑者因而著族又邾武公名夷字曰顔故公羊傳稱顔公後遂爲氏五姦切二
4953,546.2,楌,木名似橦
4954,547.1,姦,私也詐也古顔切俗作姧四
4955,547.2,菅,草名又姓出趙郡或作蕑
4956,547.3,葌,香草
4957,547.4,䔵,上同
4958,548.1,攀,引也普班切三
4959,548.2,扳,上同又音班
4960,548.3,眅,目多白皃
4961,549.1,奻,訟也[奴/女]還切[-/一]
4962,550.1,𤸷,𤸷痺五還切二
4963,550.2,頑,頑愚
4964,551.1,馯,姓也漢書有江東馯[辟/臂]字子弓傳易丘姦切一
4965,552.1,豻,胡地野犬似狐而小黒喙可顔切又我悍俄寒二切二
4966,552.2,鬜,鬢秃皃
4967,553.1,跧,跧伏阻頑切一
4968,554.1,山,廣雅曰山産萬物說文曰山宣也宣气𢿨生萬物又姓周有山師之官掌山林後以官爲氏或云古烈山氏之後望出河内所閒切三
4969,554.2,疝,[-/腹]疝痂病山
4970,554.3,邖,地名出地理志
4971,555.1,鰥,鰥寡鄭氏云六十無妻曰鰥五十無夫曰寡又魚名古頑切三
4972,555.2,䤽,䤽犂釬也
4973,555.3,綸,爾雅釋草曰綸似綸東海有之說文曰靑絲綬也又音倫
4974,556.1,閒,隙也近也又中閒亦姓出何氏姓苑古閑切又閑㵎二音六
4975,556.2,艱,艱難
4976,556.3,囏,古文
4977,556.4,靬,黎靬國名在西域其人善眩幻又犍看二音
4978,556.5,蕑,蘭也
4979,556.6,覸,視皃
4980,557.1,閑,闌也防也禦也大也法也習也暇也戸閒切九
4981,557.2,嫺,嫺雅
4982,557.3,癇,小兒瘨
4983,557.4,𩦂,馬一目白
4984,557.5,蛝,蟲名
4985,557.6,瞯,人目多白又姓史記濟南[𥊺/瞯]氏[鷴/鷳]
4986,557.7,鷴,[莖/莝]餘又音莧
4987,557.8,藖,[莖/莝]餘又音莧
4988,557.9,憪,心靜說文愉也
4989,558.1,慳,悋也苦閑切八
4990,558.2,𧢞,人名出孟子齊景公勇臣成𧢞說文曰很視也
4991,558.3,顅,頭髮少皃
4992,558.4,掔,爾雅云固也莊子注牢也
4993,558.5,鬝,鬢禿皃又苦八切
4994,558.6,羥,羊名
4995,558.7,臤,堅也又口耕切
4996,558.8,𩋆,堅破聲
4997,559.1,虥,虎淺毛皃士山切又音棧又昨閑切七
4998,559.2,潺,潺湲水流又士連切
4999,559.3,孱,孱劣皃又士連切
5000,559.4,僝,僝惡罵也
5001,559.5,䡲,䡲[軒/輞]又士連切
5002,559.6,𨬖,小鑿名又士連切
5003,559.7,𡎻,[-/𡎻]門聚又昨閑切
5004,560.1,羴,羊臭許閒切又失然切一
5005,561.1,詽,爭也五閑切四
5006,561.2,𤡥,犬鬬聲也亦作狠
5007,561.3,㗴,訟詞
5008,561.4,虤,虎怒
5009,562.1,黰,染色黒也烏閑切五
5010,562.2,𦎣,黒羊
5011,562.3,殷,赤黒色也左傳云左輪朱殷
5012,562.4,㸶,牛尾色也
5013,562.5,黫,黒色出字林
5014,563.1,斒,斒斕色不純也方閑切二
5015,563.2,虨,虎文又甫巾切
5016,564.1,斕,斒斕力閑切四
5017,564.2,𢿻,[𢿻/𣁣]上同
5018,564.3,𢛓,地名出玉篇
5019,564.4,潾,水皃又力人切
5020,565.1,嘫,語聲女閑切二
5021,565.2,㬮,暍㬮煖狀
5022,566.1,㺗,噬也充山切一
5023,567.1,嬽,媚容也委鰥切一
5024,568.1,窀,穴中見火墜頑切又陟倫切一
5025,569.1,𡰠,𡰠𡰝𦝫膝痛也力頑切一
5026,570.1,𡰝,跪頑切一
5027,571.1,譠,謾也陟山切又他單切二
5028,571.2,㣶,廣蒼云走也藏也
5029,572.1,𤣆,獸走皃直閑切又丑連切一
5030,573.1,湲,水流皃獲頑切一
5031,574.1,虥,虎淺毛皃昨閑切二
5032,574.2,𡎻,[-/𡎻]門聚
5033,575.1,先,先後也又姓左傳晉有先軫蘇前切又蘇薦切四
5034,575.2,躚,蹁躚旋行皃
5035,575.3,蹮,上同
5036,575.4,𥑻,石次玉也
5037,576.1,前,先也昨先切六
5038,576.2,歬,古文
5039,576.3,騚,馬四蹄皆白也
5040,576.4,湔,湔葫藥名
5041,576.5,𥮒,≆說文曰蔽絮簀也或作⊟𥫗汧
5042,576.6,⊟𥫗瀸㊀,上同
5043,577.1,千,十百也又漢複姓有千乗氏出何氏姓苑蒼先切九
5044,577.2,圱,三里爲圱
5045,577.3,阡,阡陌南北爲阡東西爲陌
5046,577.4,汘,水名
5047,577.5,仟,千人[-/之]長也又仟眠廣逺也
5048,577.6,芊,草盛
5049,577.7,谸,≆說文曰望山谷之谸青也
5050,577.8,迁,伺候也進也又迁葬又標記也
5051,577.9,杄,木名
5052,578.1,箋,≆說文曰表識書也則前切十五
5053,578.2,牋,上同
5054,578.3,㮍,古文
5055,578.4,瀳,水名≆說文曰水至也又才薦切
5056,578.5,帴,小兒藉也
5057,578.6,韉,鞍韉
5058,578.7,淺,淺淺流疾皃又倉翦切
5059,578.8,湔,水名出蜀郡玉壘山
5060,578.9,𢃬,旛幟
5061,578.1,𣚙,小栗名趙魏閒語也
5062,578.11,轃,大車簀也
5063,578.12,濺,濺疾流皃又子賤切
5064,578.13,籛,楚人革馬簻鞍韉又彭祖姓
5065,578.14,𣝕,香木
5066,578.15,𨕨,[𨕨/𨔥]埤蒼云至也。說文云自進極也。
5067,579.1,天,上𤣥也≆說文曰顚也至髙無上从一大也爾雅曰春爲蒼天夏爲昊天秋爲旻天冬爲上天他前切六𠀘
5068,579.2,𠀘,並古文
5069,579.3,䒶,並古文
5070,579.4,𦧝,𦧝𦧴語不正也
5071,579.5,吞,姓也漢有吞景雲又湯門切
5072,579.6,詽,詽訶皃
5073,580.1,堅,固也長也強也又姓漢二十八將有揚化將軍潁川堅鐔古賢切十七
5074,580.2,鑒,剛也又古宴切
5075,580.3,𢮂,縣名在東萊又音弦
5076,580.4,㡉,布名
5077,580.5,幵,≆說文曰平也兩干對舉又羌名今作开同又音牽
5078,580.6,肩,項下又任也克也作也媵也又姓出姓苑
5079,580.7,鳽,鵁[鳽/鶄]鳥名又五革五堅二切
5080,580.8,豜,大豕也一曰豕三歳
5081,580.9,𧱚,上同
5082,580.1,猏,俗
5083,580.11,菺,茙葵也今蜀葵
5084,580.12,𪊑,鹿有力又音牽
5085,580.13,麉,上同
5086,580.14,鵳,鶙鵳鷂屬
5087,580.15,鰹,鮦大曰鰹小曰鮵鮵音奪
5088,580.16,䶬,≆說文曰龍鬐脊上䶬䶬
5089,580.17,䌑,緊也
5090,581.1,賢,善也能也大也亦姓胡田切十七
5091,581.2,臤,古文又口閒切
5092,581.3,弦,弓弦五經文字曰其琴瑟[-/弦]亦用此字作絃者非≆說文作𢎺又姓風俗通云弦子後左傳鄭有商人弦髙晉有弦超
5093,581.4,絃,俗見上注
5094,581.5,舷,舩舷
5095,581.6,胘,肚胘牛百葉也
5096,581.7,蚿,馬蚿蟲一名百足
5097,581.8,𢛆,亭名在密縣≆說文云急也
5098,581.9,𠛑,自刎頸也
5099,581.1,伭,≆說文作𠆺泿也
5100,581.11,𢮂,縣名又音堅
5101,581.12,𦱁,草名
5102,581.13,婱,婦人守志
5103,581.14,𧼏,疾走
5104,581.15,礥,艱險又剛強也
5105,581.16,痃,痃癖病
5106,581.17,㘋,難也
5107,582.1,煙,火氣也烏前切十二
5108,582.2,烟,上同
5109,582.3,𡨾,古文
5110,582.4,𤎟,籀文
5111,582.5,燕,國名亦州又姓邵公奭封燕爲秦所滅子孫以國爲氏漢有燕倉又於薦切
5112,582.6,咽,咽喉
5113,582.7,橪,橪支香草
5114,582.8,驠,馬竅白
5115,582.9,湮,爾雅云落也又音因
5116,582.1,胭,胭[-/脂]頂
5117,582.11,𥷀,竹名
5118,582.12,閼,閼氏單于適妻也。氏音支。
5119,583.1,蓮,爾雅云荷芙蕖其實蓮落賢切八
5120,583.2,憐,愛也又哀矜也
5121,583.3,怜,俗
5122,583.4,嗹,連嘍言語繁[絮/挐]皃
5123,583.5,縺,縺縷寒具
5124,583.6,𪍴,𪍴𪍣餅也
5125,583.7,𨏩,𨏩𨻻縣在交趾
5126,583.8,零,漢書云先零西羌也本力不切
5127,584.1,田,釋名曰土已耕者曰田田塡也五稼塡滿其中也又姓出北平敬仲自陳適齊後改田氏九代遂有齊國徒年切十九
5128,584.2,佃,作田也≆說文云中也春秋傳曰乗中佃一轅車古輕車也又音甸
5129,584.3,畋,取禽獸也又音甸
5130,584.4,畇,地名在絳
5131,584.5,塡,塞也加也滿也又陟陳切
5132,584.6,窴,上同字統云窴顔府在北州
5133,584.7,闐,轟轟闐闐盛皃
5134,584.8,䟧,蹋地聲
5135,584.9,𦧴,𦧴𦧝語不正也又他丹切
5136,584.1,鈿,金花又音甸
5137,584.11,䡘,䡘䡘衆車聲
5138,584.12,沺,字林云沺沺水勢廣大無際之皃
5139,584.13,磌,柱礎
5140,584.14,鷏,蚊母鳥也
5141,584.15,嗔,≆說文曰盛气也
5142,584.16,𨌈,吕氏春秋云天子𨌈𨌈敐敐莫不載恱敐音軫
5143,584.17,滇,滇[汚/㴐]大水皃又都年切
5144,584.18,貚,貙屬
5145,584.19,搷,擊也
5146,585.1,秊,穀熟曰[年/秊]奴顚切三
5147,585.2,年,上同
5148,585.3,𨛲,郷名在馮翊
5149,586.1,顚,頂也又姓左傳晉有顚頡都年切十五
5150,586.2,㒹,上同
5151,586.3,齻,牙齻儀禮曰右齻左齻鄭𤣥云齒堅也
5152,586.4,𩥄,馬額白今戴星馬
5153,586.5,槙,木上
5154,586.6,瘨,病也
5155,586.7,癲,上同
5156,586.8,滇,滇池在建寧
5157,586.9,𧽍,走頓
5158,586.1,巔,山頂也
5159,586.11,驒,驒騱野馬
5160,586.12,𠑘,𠑘隕也又倒也
5161,586.13,傎,同上
5162,586.14,蹎,蹎仆≆說文跋也
5163,586.15,厧,厧家
5164,587.1,牽,引也挽也連也亦姓晉有牽秀何氏姓苑云武邑人苦堅切九
5165,587.2,縴,縴𦃇惡絮
5166,587.3,郉,地名在河内
5167,587.4,汧,水名在安定≆說文曰水出扶風西北入渭爾雅云汧出不流又苦薦切
5168,587.5,蚈,螢火又古奚切
5169,587.6,𪊑,鹿之絕有力者亦作麉
5170,587.7,掔,固也厚也持也又音慳
5171,587.8,岍,山名在京兆書曰導岍及岐
5172,587.9,雃,≆說文曰石鳥一名雝𪆂一曰精𠛱又秦公子名士雃
5173,588.1,姸,淨也美也好也五堅切八
5174,588.2,鳽,鵁[鳽/鶄]也又古賢五革二切
5175,588.3,硏,磨也
5176,588.4,𥓋,上同
5177,588.5,揅,揧破
5178,588.6,㿼,醆也
5179,588.7,趼,獸跡
5180,588.8,俓,急也又牛耕切
5181,589.1,眠,寐也莫賢切七
5182,589.2,瞑,上同≆說文曰翕目也又音麵
5183,589.3,䏃,埤蒼云注意而聽也
5184,589.4,矏,爾雅曰密也
5185,589.5,𥌂,上同
5186,589.6,䰓,燒煙畫眉
5187,589.7,㝰,不見
5188,590.1,蹁,蹁蹮旋行皃部田切十二
5189,590.2,蠙,蠙珠
5190,590.3,骿,[骿/幷]肋
5191,590.4,軿,四面屏蔽婦人車又房丁切
5192,590.5,駢,并駕二馬
5193,590.6,㼐,黃瓜名
5194,590.7,胼,胼胝皮上堅也
5195,590.8,跰,上同
5196,590.9,楄,木名食不噎又杜預云楄部棺中露牀也
5197,590.1,賆,益也
5198,590.11,玭,[班/蚌]珠或與蠙同
5199,590.12,琕,上同
5200,591.1,淵,深也管子曰水出而不流曰淵又姓丗本有齊大夫淵湫烏𤣥切十
5201,591.2,𠝃,上同
5202,591.3,囦,古文
5203,591.4,㾓,骨節疼也
5204,591.5,弲,弓勢
5205,591.6,剈,曲翦
5206,591.7,鼘,鼓聲
5207,591.8,𨓯,行皃
5208,591.9,䨊,鳥羣
5209,591.1,蜎,蜎蠉又毆泫切
5210,592.1,涓,≆說文曰小流也又姓列仙傳有齊人㳙子古𤣥切八
5211,592.2,睊,視皃
5212,592.3,蠲,除也潔也明也≆說文曰馬蠲蟲明堂月令曰腐草爲蠲
5213,592.4,𦮻,草名
5214,592.5,䅌,麥莖
5215,592.6,鵑,杜䳌鳥
5216,592.7,焆,明也
5217,592.8,鞙,鞙馬尾也又胡犬切
5218,593.1,鋗,銅銚火𤣥切五
5219,593.2,駽,爾雅曰靑驪駽郭璞云今之鐵騘
5220,593.3,㘣,規也又辭㳂切
5221,593.4,梋,椀屬
5222,593.5,矎,直視
5223,594.1,邊,畔也又邊陲也近也厓也方也又姓出陳留北平二望陳留風俗傳云祖于宋平公布𤣥切十四
5224,594.2,籩,竹器
5225,594.3,𤄺,水名出畨侯山
5226,594.4,甂,小盆
5227,594.5,蝙,蝙蝠仙䑕又名伏翼
5228,594.6,猵,獺屬
5229,594.7,𥣰,籬上豆也又北典切
5230,594.8,編,次也又方泫切
5231,594.9,萹,萹竹草又北泫切
5232,594.1,𨇱,足趾不正
5233,594.11,𠑟,身不正也
5234,594.12,牑,牀上版也
5235,594.13,䟍,≆說文走意
5236,594.14,蹁,行不正皃又薄邊切
5237,595.1,玄,黒也寂也幽逺也又姓列仙傳有𤣥俗河閒人無影胡㳙切十三
5238,595.2,縣,≆說文云繫也相承借爲州縣字
5239,595.3,懸,俗今通用
5240,595.4,眩,亂也又胡練切
5241,595.5,䮄,馬一歳
5242,595.6,玹,石次玉
5243,595.7,玆,≆說文曰黒也春秋傳曰何故使[君/吾]水玆本亦音滋按本經只作滋
5244,595.8,䙲,吳王次子名
5245,595.9,𥌭,自童子也
5246,595.1,𠆺,≆說文很也
5247,595.11,盷,目大皃
5248,595.12,胘,牛百葉又音弦
5249,595.13,訇,≆說文云漢中西城有訇郷
