識別號,韻目識別號,韻目列號,攝,四聲調號,調,目次,韻目,韻類,等呼,等,呼,韻母,韻目標音對照識別,韻母標音,切語下字集,備註
269,50,54,咸,1,平,下平22覃,覃,覃,開洪,1,開,54開洪,82,am,含南男,
270,105,54,咸,2,上,上48感,感,感,開洪,1,開,54開洪,82,am,感禫唵,
271,166,54,咸,3,去,去54勘,勘,勘,開洪,1,開,54開洪,82,am,紺暗,
272,201,54,咸,4,入,入28合,合,合,開洪,1,開,54開洪,82,ap,荅答合閤沓,
273,51,55,咸,1,平,下平23談,談,談,開洪,1,開,55開洪,83,am,甘三酣談,
274,106,55,咸,2,上,上49敢,敢,敢,開洪,1,開,55開洪,83,am,敢覽,
275,167,55,咸,3,去,去55闞,闞,闞,開洪,1,開,55開洪,83,am,濫瞰𣊟蹔暫,
276,202,55,咸,4,入,入29盍,盍,盍,開洪,1,開,55開洪,83,ap,盍榼臘雜,
277,52,56,咸,1,平,下平24鹽,鹽,鹽,開細,3,開,56開細,84,iam,廉鹽炎淹占,
278,107,56,咸,2,上,上50琰,琰,琰,開細,3,開,56開細,84,iam,冉染琰歛斂漸險儉檢奄,
279,168,56,咸,3,去,去56豔,豔,豔,開細,3,開,56開細,84,iam,贍豔驗窆,
280,203,56,咸,4,入,入30葉,葉,葉,開細,3,開,56開細,84,iap,涉攝葉接輒,
281,53,57,咸,1,平,下平25添,添,添,開細,4,開,57開細,85,iam,兼甜,
282,108,57,咸,2,上,上51忝,忝,忝,開細,4,開,57開細,85,iam,點忝簟玷,
283,169,57,咸,3,去,去57㮇,㮇,,開細,,,57開細,85,iam,念店,
284,204,57,咸,4,入,入31怗,怗,怗,開細,4,開,57開細,85,iap,協愜牒頰篋,怗 = 帖
285,54,58,咸,1,平,下平26咸,咸,咸,開洪,2,開,58開洪,86,am,䜛讒咸,
286,109,58,咸,2,上,上52豏,豏,豏,開洪,2,開,58開洪,86,am,減斬豏,
287,170,58,咸,3,去,去58陷,陷,陷,開洪,2,開,58開洪,86,am,陷韽賺,
288,205,58,咸,4,入,入32洽,洽,洽,開洪,2,開,58開洪,86,ap,夾洽㘝,
289,55,59,咸,1,平,下平27銜,銜,銜,開洪,2,開,59開洪,87,am,監銜,
290,110,59,咸,2,上,上53檻,檻,檻,開洪,2,開,59開洪,87,am,檻黤,
291,171,59,咸,3,去,去59鑑,鑑,鑑,開洪,2,開,59開洪,87,am,懺鑑鑒,
292,206,59,咸,4,入,入33狎,狎,狎,開洪,2,開,59開洪,87,ap,甲狎,
293,56,60,咸,1,平,下平28嚴,嚴,嚴,開細,3,開,60開細,88,iam,嚴𩏩,
294,111,60,咸,2,上,上54儼,儼,儼,開細,3,開,60開細,88,iam,掩广,
295,172,60,咸,3,去,去60釅,釅,釅,開細,3,開,60開細,88,iam,欠劍劔劒釅,
296,207,60,咸,4,入,入34業,業,業,開細,3,開,60開細,88,iap,怯業劫,
297,57,61,咸,1,平,下平29凡,凡,凡,合細,3,合,61合細,89,uan,凡䒦,
298,112,61,咸,2,上,上55范,范,范,合細,3,合,61合細,89,uan,梵泛,
299,173,61,咸,3,去,去61梵,梵,梵,合細,3,合,61合細,89,uan,犯范鋄錽,
300,208,61,咸,4,入,入35乏,乏,乏,合細,3,合,61合細,89,uat,去乏法,
