識別號,韻目標音識別號,韻母,韻母標音,切語下字集,備註
156,50,蕭,iau,彫聊堯么幺蕭,
157,50,篠,iau,鳥了皎皛,
158,50,嘯,iau,弔叫嘯,
159,51,宵,iau,邀宵遙嬌消招霄囂焦昭瀌喬嚻,
160,51,小,iau,兆小夭沼矯少表,
161,51,笑,iau,召肖照笑𥬇要廟妙邵,
162,52,肴,au,交嘲肴茅,
163,52,巧,au,絞巧飽爪,
164,52,效,au,教敎稍孝皃,
165,53,豪,o,刀勞牢遭曹袍褒毛襃,
166,53,晧,o,老晧道浩早抱,
167,53,号,o,到導耗報,
168,54,歌,o,俄何河歌,
169,54,哿,o,我可,
170,54,箇,o,賀佐箇邏个,
171,55,戈一,o,禾戈和靴波婆𦚢𩩆𩨷,
172,56,戈二,ia,迦伽,
173,57,戈三,ia,脞,
174,55,果一,o,火果,
175,56,果二,ia,,
176,57,果三,ia,,
177,55,過一,o,臥卧唾過貨,
178,56,過二,ia,,
179,57,過三,ia,,
180,58,麻一,a,霞加牙巴,
181,59,麻二,ua,花瓜華,
182,60,麻三,ia,遮嗟邪車奢賒,
183,58,馬一,a,下雅疋賈假舍,
184,59,馬二,ua,瓦寡,
185,60,馬三,ia,也者野冶姐,
186,58,禡一,a,駕亞訝嫁罵,
187,59,禡二,ua,化霸㕦,
188,60,禡三,ia,謝夜,
189,61,陽一,iong,章羊張良陽莊方,
190,62,陽二,ong,王,
191,61,養一,iong,奬㢡養掌丈杖尚,
192,62,養二,ong,往网昉兩,
193,61,漾一,iong,亮讓樣向,
194,62,漾二,ong,況放訪妄諒㨾,
195,61,藥一,iok,灼略若爵虐藥約雀勺削,
196,62,藥二,ok,钁縛籰,
197,63,唐一,ong,郎當剛岡,
198,64,唐二,ong,光黃旁,
199,63,蕩一,ong,朗黨,
200,64,蕩二,ong,廣晃,
201,63,宕一,ong,浪宕,
202,64,宕二,ong,曠謗,
203,63,鐸一,ok,落各,
204,64,鐸二,ok,穫郭博,
205,65,庚一,ing,行庚盲,
206,66,庚二,ong,觥橫,
207,67,庚三,ing,驚卿京,
208,68,庚四,ing,榮兵明,
209,65,梗一,ing,杏梗冷打猛丙,
210,66,梗二,ong,礦,
211,67,梗三,ing,景影,
212,68,梗四,ing,永憬䁝,
213,65,敬一,ing,更孟,
214,66,敬二,ong,蝗,
215,67,敬三,ing,慶敬詠,
216,68,敬四,ing,命病,
217,65,陌一,ik,格陌伯白百,
218,66,陌二,ok,虢,
219,67,陌三,ik,戟刻郤逆劇擭迹,
220,68,陌四,ik,,
221,69,耕一,ing,莖耕,
222,70,耕二,ong,宏轟萌,
223,69,耿一,ing,幸耿,
224,70,耿二,ong,,
225,69,諍一,ing,諍爭迸,
226,70,諍二,ong,,
227,69,麥一,ik,核革責摘厄戹,
228,70,麥二,ok,獲摑麥,
229,71,清一,ing,情盈貞成征井并,
230,72,清二,ing,營傾,
231,71,靜一,ing,靜郢井整,
232,72,靜二,ing,潁頃,
233,71,勁一,ing,政姓鄭正盛令,
234,72,勁二,ing,,
235,71,昔一,ik,積炙易石辟隻亦益昔,
236,72,昔二,ik,役,
237,73,青一,ing,經靈刑丁,
238,74,青二,ing,螢扃,
239,73,迥一,ing,挺鼎涬頂醒剄,
240,74,迥二,ing,迥熲,
241,73,徑一,ing,定佞徑,
242,74,徑二,ing,,
243,73,錫一,ik,歷擊淚狄激,
244,74,錫二,ik,闃鶪狊,
245,75,蒸,ing,仍陵蒸矜兢膺乘冰乗升,
246,75,拯,ing,拯庱,
247,75,證,ing,應證孕甑𩜁,
248,75,職,ik,翼力側職直即極逼,
249,76,登一,ing,滕增恆恒登棱崩朋,
250,77,登二,ong,弘肱,
251,76,等一,ing,肯等,
252,77,等二,ong,,
253,76,嶝一,ing,鄧贈亘亙隥,
254,77,嶝二,ong,,
255,76,德一,ik,則德得黑勒墨北,
256,77,德二,ok,或國,
257,78,尤,iu,求周秋流由尤鳩州謀浮羞,
258,78,有,iu,九久酉柳有婦否,
259,78,宥,iu,就僦咒呪又祐救溜富副,
260,79,侯,io,鉤婁侯溝遘候豆奏漏,
261,79,厚,io,口后斗垢苟厚,
262,80,幽,iu,虯烋幽彪,
263,80,黝,iu,糾黝,
264,80,幼,iu,幼謬,
265,81,侵,im,林深針淫金心今吟簪尋,
266,81,寢,im,稔甚荏錦朕飲枕凜㾕,
267,81,沁,im,鴆禁任蔭譖,
268,81,緝,ip,入立急汲執戢及汁,
269,82,覃,am,含南男,
270,82,感,am,感禫唵,
271,82,勘,am,紺暗,
272,82,合,ap,荅答合閤沓,
273,83,談,am,甘三酣談,
274,83,敢,am,敢覽,
275,83,闞,am,濫瞰𣊟蹔暫,
276,83,盍,ap,盍榼臘雜,
277,84,鹽,iam,廉鹽炎淹占,
278,84,琰,iam,冉染琰歛斂漸險儉檢奄,
279,84,豔,iam,贍豔驗窆,
280,84,葉,iap,涉攝葉接輒,
281,85,添,iam,兼甜,
282,85,忝,iam,點忝簟玷,
283,#N/A,,#N/A,念店,
284,85,怗,iap,協愜牒頰篋,怗 = 帖
285,86,咸,am,䜛讒咸,
286,86,豏,am,減斬豏,
287,86,陷,am,陷韽賺,
288,86,洽,ap,夾洽㘝,
289,87,銜,am,監銜,
290,87,檻,am,檻黤,
291,87,鑑,am,懺鑑鑒,
292,87,狎,ap,甲狎,
293,88,嚴,iam,嚴𩏩,
294,88,儼,iam,掩广,
295,88,釅,iam,欠劍劔劒釅,
296,88,業,iap,怯業劫,
297,89,凡,uan,凡䒦,
298,89,范,uan,梵泛,
299,89,梵,uan,犯范鋄錽,
300,89,乏,uat,去乏法,
