識別號,國際音標韻母,台語音標韻母,台羅韻母,白話字韻母,閩拼韻母,方音韻母,十五音韻母,十五音舒促聲,十五音序
85,uaŋ,uang,uang,oang,uang,ㄨㄤ,光,舒聲,43
86,uak̚,uak,uak,oak,uak,ㄨㄚㆻ,光,促聲,43
87,uãi,uainn,uainn,oaiⁿ,nuai,ㄨㆮ,閂,舒聲,44
88,uãi?,uainnh,uainnh,oaiⁿh,nuaih,ㄨㆮㆷ,閂,促聲,44
89,uẽi,uenn,uenn,oeⁿ,nue,ㄨㆥ,糜,舒聲,45
90,uẽi?,uennh,uennh,oehⁿ,nueh,ㄨㆥㆷ,糜,促聲,45
91,iãu,iaunn,iaunn,iauⁿ,niao,ㄧㆯ,嘄,舒聲,46
92,iãu?,iaunnh,iaunnh,iauⁿh,niaoh,ㄧㆯㆷ,嘄,促聲,46
93,ɔm,om,om,om,om,ㆱ,箴,舒聲,47
94,ɔp̚,op,op,op,op,ㆦㆴ,箴,促聲,47
95,ãu,aunn,aunn,auⁿ,nao,ㆯ,爻,舒聲,48
96,ãu?,aunnh,aunnh,auhⁿ,naoh,ㆯㆷ,爻,促聲,48
97,ɔ̃,onn,onn,oⁿ,no,ㆧ,扛,舒聲,49
98,ɔ̃h,onnh,onnh,ohⁿ,noh,ㆧㆷ,扛,促聲,49
99,iũ,iunn,iunn,iuⁿ,niu,ㄧㆫ,牛,舒聲,50
100,iũh,iunnh,iunnh,iuhⁿ,niuh,ㄧㆫㆷ,牛,促聲,50
,,,,,,,,,
,,,,,,,,,
