識別號,國際音標,台語音標,台羅音標,白話字,閩拼方案,方音符號,十五音
1,l,l,l,l,l,ㄌ,柳
2,p,p,p,p,b,ㄅ,邊
3,k,k,k,k,g,ㄍ,求
4,kʰ,kh,kh,kh,k,ㄎ,去
5,t,t,t,t,d,ㄉ,地
6,pʰ,ph,ph,ph,p,ㄆ,頗
7,tʰ,th,th,th,t,ㄊ,他
8,ʦ,z,ts,ch,z,ㄗ,曾
9,ʣ,j,j,j,zz,ㆡ,入
10,s,s,s,s,s,ㄙ,時
11,,Ø,,,,,英
12,b,b,b,b,bb,ㆠ,門
13,ɡ,g,g,g,gg,ㆣ,語
14,ʦʰ,c,tsh,chh,c,ㄘ,出
15,h,h,h,h,h,ㄏ,喜
16,m,m,m,m,bbn,ㄇ,毛
17,n,n,n,n,ln,ㄋ,耐
18,ŋ,ng,ng,ng,ggn,ㄫ,雅
,,,,,,,
,,,,,,,
