韻目識別號,韻目,韻目方陣識別號,韻目列號,韻攝,四聲調號,調,廣韻聲調,舒促聲,目次序號,目次
112,范,122,61,咸,2,上,上,舒,55,上55范
113,送,123,1,通,3,去,去,舒,1,去01送
114,宋,124,2,通,3,去,去,舒,2,去02宋
115,用,125,3,通,3,去,去,舒,3,去03用
116,絳,126,4,江,3,去,去,舒,4,去04絳
117,寘,127,5,止,3,去,去,舒,5,去05寘
118,至,128,6,止,3,去,去,舒,6,去06至
119,志,129,7,止,3,去,去,舒,7,去07志
120,未,130,8,止,3,去,去,舒,8,去08未
121,御,131,9,遇,3,去,去,舒,9,去09御
122,遇,132,10,遇,3,去,去,舒,10,去10遇
123,暮,133,11,遇,3,去,去,舒,11,去11暮
124,霽,134,12,蟹,3,去,去,舒,12,去12霽
125,祭,135,13,蟹,3,去,去,舒,13,去13祭
126,泰,136,14,蟹,3,去,去,舒,14,去14泰
127,卦,137,15,蟹,3,去,去,舒,15,去15卦
128,怪,138,16,蟹,3,去,去,舒,16,去16怪
129,夬,139,17,蟹,3,去,去,舒,17,去17夬
130,隊,140,18,蟹,3,去,去,舒,18,去18隊
131,代,141,19,蟹,3,去,去,舒,19,去19代
132,廢,142,20,蟹,3,去,去,舒,20,去20廢
133,震,143,21,臻,3,去,去,舒,21,去21震
134,稕,144,22,臻,3,去,去,舒,22,去22稕
135,齔,145,23,臻,3,去,去,舒,23,去23齔
136,問,146,24,臻,3,去,去,舒,24,去24問
137,焮,147,25,臻,3,去,去,舒,25,去25焮
138,願,148,26,臻,3,去,去,舒,26,去26願
139,慁,149,27,臻,3,去,去,舒,27,去27慁
140,恨,150,28,臻,3,去,去,舒,28,去28恨
141,翰,151,29,山,3,去,去,舒,29,去29翰
142,換,152,30,山,3,去,去,舒,30,去30換
143,諫,153,31,山,3,去,去,舒,31,去31諫
144,襇,154,32,山,3,去,去,舒,32,去32襇
145,霰,155,33,山,3,去,去,舒,33,去33霰
146,線,156,34,山,3,去,去,舒,34,去34線
147,嘯,157,35,效,3,去,去,舒,35,去35嘯
148,笑,158,36,效,3,去,去,舒,36,去36笑
149,效,159,37,效,3,去,去,舒,37,去37效
150,号,160,38,效,3,去,去,舒,38,去38号
151,箇,161,39,果,3,去,去,舒,39,去39箇
152,過,162,40,果,3,去,去,舒,40,去40過
153,禡,163,41,假,3,去,去,舒,41,去41禡
154,漾,164,42,宕,3,去,去,舒,42,去42漾
155,宕,165,43,宕,3,去,去,舒,43,去43宕
156,敬,166,44,梗,3,去,去,舒,44,去44敬
157,諍,167,45,梗,3,去,去,舒,45,去45諍
158,勁,168,46,梗,3,去,去,舒,46,去46勁
159,徑,169,47,梗,3,去,去,舒,47,去47徑
160,證,170,48,曾,3,去,去,舒,48,去48證
161,嶝,171,49,曾,3,去,去,舒,49,去49嶝
162,宥,172,50,流,3,去,去,舒,50,去50宥
163,猴,173,51,流,3,去,去,舒,51,去51猴
164,幼,174,52,流,3,去,去,舒,52,去52幼
165,沁,175,53,深,3,去,去,舒,53,去53沁
166,勘,176,54,咸,3,去,去,舒,54,去54勘
167,闞,177,55,咸,3,去,去,舒,55,去55闞
168,豔,178,56,咸,3,去,去,舒,56,去56豔
169,㮇,179,57,咸,3,去,去,舒,57,去57㮇
170,陷,180,58,咸,3,去,去,舒,58,去58陷
171,鑑,181,59,咸,3,去,去,舒,59,去59鑑
172,釅,182,60,咸,3,去,去,舒,60,去60釅
173,梵,183,61,咸,3,去,去,舒,61,去61梵
174,屋,184,1,通,4,入,入,舒,1,入01屋
175,沃,185,2,通,4,入,入,舒,2,入02沃
176,燭,186,3,通,4,入,入,舒,3,入03燭
177,覺,187,4,江,4,入,入,舒,4,入04覺
178,質,204,21,臻,4,入,入,舒,5,入05質
179,術,205,22,臻,4,入,入,舒,6,入06術
180,櫛,206,23,臻,4,入,入,舒,7,入07櫛
181,物,207,24,臻,4,入,入,舒,8,入08物
182,迄,208,25,臻,4,入,入,舒,9,入09迄
183,月,209,26,臻,4,入,入,舒,10,入10月
184,沒,210,27,臻,4,入,入,舒,11,入11沒
185,麧,211,28,臻,4,入,入,舒,12,入12麧
186,曷,212,29,山,4,入,入,舒,13,入13曷
187,末,213,30,山,4,入,入,舒,14,入14末
188,黠,214,31,山,4,入,入,舒,15,入15黠
189,鎋,215,32,山,4,入,入,舒,16,入16鎋
190,屑,216,33,山,4,入,入,舒,17,入17屑
191,薛,217,34,山,4,入,入,舒,18,入18薛
192,藥,225,42,宕,4,入,入,舒,19,入19藥
193,鐸,226,43,宕,4,入,入,舒,20,入20鐸
194,陌,227,44,梗,4,入,入,舒,21,入21陌
195,麥,228,45,梗,4,入,入,舒,22,入22麥
196,昔,229,46,梗,4,入,入,舒,23,入23昔
197,錫,230,47,梗,4,入,入,舒,24,入24錫
198,職,231,48,曾,4,入,入,舒,25,入25職
199,德,232,49,曾,4,入,入,舒,26,入26德
200,緝,236,53,深,4,入,入,舒,27,入27緝
201,合,237,54,咸,4,入,入,舒,28,入28合
202,盍,238,55,咸,4,入,入,舒,29,入29盍
203,葉,239,56,咸,4,入,入,舒,30,入30葉
204,怗,240,57,咸,4,入,入,舒,31,入31怗
205,洽,241,58,咸,4,入,入,舒,32,入32洽
206,狎,242,59,咸,4,入,入,舒,33,入33狎
207,業,243,60,咸,4,入,入,舒,34,入34業
208,乏,244,61,咸,4,入,入,舒,35,入35乏
