識別號,廣韻聲母識別號,七聲類,發音部位,聲母,清濁,發送收,聲母拼音碼,切語上字集,備註,廣韻聲母,聲母碼,聲母國際音標,白話字聲母,閩拼聲母,台羅聲母,方音聲母,十五音聲母
1,4,脣音,重脣音,幫,全清,發聲,p,邊布補伯百北博愽巴卑并鄙必彼兵筆陂畀晡,,幫,p,p,p,b,p,ㄅ,邊
2,13,脣音,重脣音,滂,次清,送氣,ph,滂普匹譬披丕,,滂,ph,pʰ,ph,p,ph,ㄆ,頗
3,5,脣音,重脣音,並,全濁,,p,蒲步裴薄白傍部平皮便毗弼婢簿捕,,並,p,p,p,b,p,ㄅ,邊
4,32,脣音,重脣音,明,次濁,收聲,b,莫慕模謨摸母明彌眉綿靡美矛,,明,b,b,b,bb,b,ㆠ,門
5,38,脣音,輕脣音,非,全清,發聲,h,方封分府甫,f,非,h,h,h,h,h,ㄏ,喜
6,39,脣音,輕脣音,敷,次清,送氣,h,敷孚妃撫芳峰峯拂,f,敷,h,h,h,h,h,ㄏ,喜
7,40,脣音,輕脣音,奉,全濁,,h,房防縛附符苻扶馮浮父,f,奉,h,h,h,h,h,ㄏ,喜
8,33,脣音,輕脣音,微,次濁,收聲,b,巫無亡武文望,,微,b,b,b,bb,b,ㆠ,門
9,9,舌音,舌頭音,端,全清,發聲,t,多德得丁都當冬,,端,t,t,t,d,t,ㄉ,地
10,14,舌音,舌頭音,透,次清,送氣,th,他託土吐通天台湯,,透,th,tʰ,th,t,th,ㄊ,他
11,10,舌音,舌頭音,定,全濁,,t,徒同特度杜唐堂田陀地,,定,t,t,t,d,t,ㄉ,地
12,1,舌音,舌頭音,泥,次濁,收聲,l,奴乃諾內内嬭妳那,孃,泥,l,l,l,l,l,ㄌ,柳
13,11,舌音,舌上音,知,全清,發聲,t,知張豬猪徵中追陟卓竹珍,,知,t,t,t,d,t,ㄉ,地
14,15,舌音,舌上音,徹,次清,送氣,th,抽癡楮褚禇丑恥敕,,徹,th,tʰ,th,t,th,ㄊ,他
15,12,舌音,舌上音,澄,全濁,,t,除場池治持遲遟佇柱丈直宅墜馳,,澄,t,t,t,d,t,ㄉ,地
16,2,舌音,舌上音,娘,次濁,收聲,l,尼拏女穠匿,,娘,l,l,l,l,l,ㄌ,柳
17,6,牙音,牙音,見,全清,發聲,k,居曁九俱舉規吉紀几古公過各格兼姑佳詭乖,,見,k,k,k,g,k,ㄍ,求
18,8,牙音,牙音,溪,次清,送氣,kh,康枯牽空謙口楷客恪苦去丘墟袪詰窺羌欽傾起綺豈區驅曲可乞棄卿弃,,溪,kh,kʰ,kh,k,kh,ㄎ,去
19,7,牙音,牙音,群,全濁,,k,渠強求巨具臼衢其奇暨跪近狂,,群,k,k,k,g,k,ㄍ,求
20,34,牙音,牙音,疑,次濁,收聲,g,疑魚牛語宜擬危五玉俄吾研遇虞愚,,疑,g,ɡ,g,gg,g,ㆣ,語
21,16,齒音,齒頭音,精,全清,發聲,c,將子資即則借茲兹𩛠醉姊遵祖臧作,,精,c,ʦ,ch,z,ts,ㄗ,曾
22,35,齒音,齒頭音,清,次清,送氣,ch,倉蒼親遷取七青采醋麁麤千此雌,,清,ch,ʦʰ,chh,c,tsh,ㄘ,出
23,17,齒音,齒頭音,從,全濁,,c,才徂在前藏昨酢疾秦匠慈自情漸,,從,c,ʦ,ch,z,ts,ㄗ,曾
24,23,齒音,齒頭音,心,全清,送氣,s,蘇素速桑相悉思司斯私雖辛息須胥先寫,,心,s,s,s,s,s,ㄙ,時
25,24,齒音,齒頭音,邪,全濁,送氣,s,徐祥詳辭辞辝似旬寺夕隨,,邪,s,s,s,s,s,ㄙ,時
26,18,齒音,正齒近齒頭,莊,全清,發聲,c,莊爭阻鄒簪側仄,,莊,c,ʦ,ch,z,ts,ㄗ,曾
27,19,齒音,正齒近舌上,章,全清,發聲,c,之止章征諸煮煑支職正旨占脂蒸,,章,c,ʦ,ch,z,ts,ㄗ,曾
