漢字識別號,字,字義,小韻識別號,小韻字,小韻切語,小韻標音,小韻目次,廣韻聲母,聲母碼,七聲類,發音部位,清濁,發送收,廣韻韻母,韻母碼,攝,韻系,韻目,調,呼,等,等呼
36,曈,曈曨日欲明也又他孔切,2,同,徒紅,tong5,1.01東,定,t,舌音,舌頭音,全濁,,東開1舒聲,ong,通,東,東,平,開,1,獨洪
37,洞,洪洞縣名在晉州北又徒弄切,2,同,徒紅,tong5,1.01東,定,t,舌音,舌頭音,全濁,,東開1舒聲,ong,通,東,東,平,開,1,獨洪
38,侗,楊子法言云倥侗顓蒙,2,同,徒紅,tong5,1.01東,定,t,舌音,舌頭音,全濁,,東開1舒聲,ong,通,東,東,平,開,1,獨洪
39,橦,木名花可爲布出字書又鍾幢二音,2,同,徒紅,tong5,1.01東,定,t,舌音,舌頭音,全濁,,東開1舒聲,ong,通,東,東,平,開,1,獨洪
40,烔,熱氣烔烔出字林,2,同,徒紅,tong5,1.01東,定,t,舌音,舌頭音,全濁,,東開1舒聲,ong,通,東,東,平,開,1,獨洪
41,䴀,鸏䴀水鳥黃喙喙長尺餘南人以爲酒器出劉欽期交州記,2,同,徒紅,tong5,1.01東,定,t,舌音,舌頭音,全濁,,東開1舒聲,ong,通,東,東,平,開,1,獨洪
42,挏,引也漢官名有挏馬又音動,2,同,徒紅,tong5,1.01東,定,t,舌音,舌頭音,全濁,,東開1舒聲,ong,通,東,東,平,開,1,獨洪
43,酮,馬酪又音動,2,同,徒紅,tong5,1.01東,定,t,舌音,舌頭音,全濁,,東開1舒聲,ong,通,東,東,平,開,1,獨洪
44,鮦,爾雅云鰹大鮦又直冡直栁二切,2,同,徒紅,tong5,1.01東,定,t,舌音,舌頭音,全濁,,東開1舒聲,ong,通,東,東,平,開,1,獨洪
45,㼿,井甓一云甃也,2,同,徒紅,tong5,1.01東,定,t,舌音,舌頭音,全濁,,東開1舒聲,ong,通,東,東,平,開,1,獨洪
46,𦏆,無角羊,2,同,徒紅,tong5,1.01東,定,t,舌音,舌頭音,全濁,,東開1舒聲,ong,通,東,東,平,開,1,獨洪
47,𦍻,上同,2,同,徒紅,tong5,1.01東,定,t,舌音,舌頭音,全濁,,東開1舒聲,ong,通,東,東,平,開,1,獨洪
48,眮,目眶又徒揔切,2,同,徒紅,tong5,1.01東,定,t,舌音,舌頭音,全濁,,東開1舒聲,ong,通,東,東,平,開,1,獨洪
