識別號,韻母識別號,廣韻韻母,雅俗通韻母,舒促聲,韻母拼音碼,韻母國際音標,林進三拚音碼
107,38,銜開2促聲,甘,促聲,ap,ap̚,ap
108,39,泰合1舒聲,瓜,舒聲,ua,ua,ua
109,39,佳合2舒聲,瓜,舒聲,ua,ua,ua
110,39,麻合2舒聲,瓜,舒聲,ua,ua,ua
111,41,江開2舒聲,江,舒聲,ang,aŋ,ang
112,42,江開2促聲,江,促聲,ak,ak̚,ak
113,43,鹽開4舒聲,兼,舒聲,iam,iam,iam
114,44,鹽開4促聲,兼,促聲,iap,iap̚,iap
115,43,添開3舒聲,兼,舒聲,iam,iam,iam
116,44,添開3促聲,兼,促聲,iap,iap̚,iap
117,43,嚴開3舒聲,兼,舒聲,iam,iam,iam
118,44,嚴開3促聲,兼,促聲,iap,iap̚,iap
119,45,肴開2舒聲,交,舒聲,au,au,au
120,47,戈開3舒聲,迦,舒聲,ia,ia,ia
121,47,戈合3舒聲,迦,舒聲,ia,ia,ia
122,47,麻開3舒聲,迦,舒聲,ia,ia,ia
123,49,齊合4舒聲,檜,舒聲,ue,ue,ue
124,49,祭合3舒聲,檜,舒聲,ue,ue,ue
125,49,灰合1舒聲,檜,舒聲,ue,ue,ue
126,49,咍開1舒聲,檜,舒聲,ue,ue,ue
127,49,廢合1舒聲,檜,舒聲,ue,ue,ue
128,53,虞開3舒聲,艍,舒聲,u,u,u
129,55,麻開2舒聲,膠,舒聲,a,a,a
130,57,支開3舒聲,居,舒聲,i,i,i
131,57,脂開3舒聲,居,舒聲,i,i,i
132,57,之開3舒聲,居,舒聲,i,i,i
133,57,微開3舒聲,居,舒聲,i,i,i
134,57,魚開3舒聲,居,舒聲,i,i,ir
135,59,尤開3舒聲,丩,舒聲,iu,iu,iu
136,59,幽開3舒聲,丩,舒聲,iu,iu,iu
137,59,幽開3舒聲,丩,舒聲,iu,iu,ierk
138,65,侯開3舒聲,茄,舒聲,io,io,io
139,77,齊開4舒聲,伽,舒聲,e,e,e
140,77,祭開3舒聲,伽,舒聲,e,e,e
