識別號,聲母碼,聲母國際音標,白話字聲母,閩拼聲母,台羅聲母,方音聲母,十五音聲母
1,l,l,l,l,l,ㄌ,柳
2,p,p,p,b,p,ㄅ,邊
3,k,k,k,g,k,ㄍ,求
4,kh,kʰ,kh,k,kh,ㄎ,去
5,t,t,t,d,t,ㄉ,地
6,ph,pʰ,ph,p,ph,ㄆ,頗
7,th,tʰ,th,t,th,ㄊ,他
8,c,ʦ,ch,z,ts,ㄗ,曾
9,j,ʣ,j,zz,j,ㆡ,入
10,s,s,s,s,s,ㄙ,時
11,Ø,,,,,,英
12,b,b,b,bb,b,ㆠ,門
13,g,ɡ,g,gg,g,ㆣ,語
14,ch,ʦʰ,chh,c,tsh,ㄘ,出
15,h,h,h,h,h,ㄏ,喜
16,m,m,m,bbn,m,ㄇ,毛
17,n,n,n,ln,n,ㄋ,耐
18,ng,ŋ,ng,ggn,ng,ㄫ,雅
