識別號,廣韻韻母,韻母碼,韻母國際音標,白話字韻母,閩拼韻母,台羅韻母,方音韻母,十五音韻母
83,鍾開3促聲,iok,iɔk̚,iok,iok,iok,ㄧㆦㆻ,恭
84,陽開3舒聲,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
85,陽開3促聲,iok,iɔk̚,iok,iok,iok,ㄧㆦㆻ,恭
86,豪開1舒聲,o,o,o,o,o,ㄜ,高
87,歌開1舒聲,o,o,o,o,o,ㄜ,高
88,戈合1舒聲,o,o,o,o,o,ㄜ,高
89,泰開1舒聲,ai,ai,ai,ai,ai,ㄞ,皆
90,佳開2舒聲,ai,ai,ai,ai,ai,ㄞ,皆
91,皆開2舒聲,ai,ai,ai,ai,ai,ㄞ,皆
92,夬開2舒聲,ai,ai,ai,ai,ai,ㄞ,皆
93,咍開1舒聲,ai,ai,ai,ai,ai,ㄞ,皆
94,眞開3舒聲,in,in,in,in,in,ㄧㄣ,巾
95,眞開3促聲,it,it̚,it,it,it,ㄧㆵ,巾
96,臻開2舒聲,in,in,in,in,in,ㄧㄣ,巾
97,臻開2促聲,it,it̚,it,it,it,ㄧㆵ,巾
98,欣開3舒聲,in,in,in,in,in,ㄧㄣ,巾
99,欣開3促聲,it,it̚,it,it,it,ㄧㆵ,巾
100,覃開1舒聲,am,am,am,am,am,ㆰ,甘
101,覃開1促聲,ap,ap̚,ap,ap,ap,ㄚㆴ,甘
102,談開1舒聲,am,am,am,am,am,ㆰ,甘
103,談開1促聲,ap,ap̚,ap,ap,ap,ㄚㆴ,甘
104,咸開2舒聲,am,am,am,am,am,ㆰ,甘
105,咸開2促聲,ap,ap̚,ap,ap,ap,ㄚㆴ,甘
106,銜開2舒聲,am,am,am,am,am,ㆰ,甘
107,銜開2促聲,ap,ap̚,ap,ap,ap,ㄚㆴ,甘
108,泰合1舒聲,ua,ua,oa,ua,ua,ㄨㄚ,瓜
109,佳合2舒聲,ua,ua,oa,ua,ua,ㄨㄚ,瓜
110,麻合2舒聲,ua,ua,oa,ua,ua,ㄨㄚ,瓜
111,江開2舒聲,ang,aŋ,ang,ang,ang,ㄤ,江
112,江開2促聲,ak,ak̚,ak,ak,ak,ㄚㆻ,江
113,鹽開4舒聲,iam,iam,iam,iam,iam,ㄧㆰ,兼
114,鹽開4促聲,iap,iap̚,iap,iap,iap,ㄧㄚㆴ,兼
115,添開3舒聲,iam,iam,iam,iam,iam,ㄧㆰ,兼
116,添開3促聲,iap,iap̚,iap,iap,iap,ㄧㄚㆴ,兼
117,嚴開3舒聲,iam,iam,iam,iam,iam,ㄧㆰ,兼
118,嚴開3促聲,iap,iap̚,iap,iap,iap,ㄧㄚㆴ,兼
119,肴開2舒聲,au,au,au,ao,au,ㄠ,交
120,戈開3舒聲,ia,ia,ia,ia,ia,ㄧㄚ,迦
121,戈合3舒聲,ia,ia,ia,ia,ia,ㄧㄚ,迦
122,麻開3舒聲,ia,ia,ia,ia,ia,ㄧㄚ,迦
123,齊合4舒聲,ue,ue,oe,ue,ue,ㄨㆤ,檜
124,祭合3舒聲,ue,ue,oe,ue,ue,ㄨㆤ,檜
125,灰合1舒聲,ue,ue,oe,ue,ue,ㄨㆤ,檜
126,咍開1舒聲,ue,ue,oe,ue,ue,ㄨㆤ,檜
127,廢合1舒聲,ue,ue,oe,ue,ue,ㄨㆤ,檜
128,虞開3舒聲,u,u,u,u,u,ㄨ,艍
129,麻開2舒聲,a,a,a,a,a,ㄚ,膠
130,支開3舒聲,i,i,i,i,i,ㄧ,居
131,脂開3舒聲,i,i,i,i,i,ㄧ,居
132,之開3舒聲,i,i,i,i,i,ㄧ,居
133,微開3舒聲,i,i,i,i,i,ㄧ,居
134,魚開3舒聲,i,i,i,i,i,ㄧ,居
135,尤開3舒聲,iu,iu,iu,iu,iu,ㄧㄨ,丩
136,幽開3舒聲,iu,iu,iu,iu,iu,ㄧㄨ,丩
137,幽開3舒聲,iu,iu,iu,iu,iu,ㄧㄨ,丩
138,侯開3舒聲,io,io,io,io,io,ㄧㄜ,茄
139,齊開4舒聲,e,e,e,e,e,ㆤ,伽
140,祭開3舒聲,e,e,e,e,e,ㆤ,伽
