小韻識別號,上字表識別號,下字表識別號,小韻字,小韻切語,小韻標音,小韻目次,小韻字序號,廣韻聲母,七聲類,發音部位,清濁,發送收,聲母碼,聲母國際音標,白話字聲母,閩拼聲母,台羅聲母,方音聲母,十五音聲母,廣韻韻母,目次,攝,韻系,韻目,調,呼,等,等呼,韻母碼,韻母國際音標,白話字韻母,閩拼韻母,台羅韻母,方音韻母,十五音韻母
2821,37,211,秏,呼到,ho3,4.37号,16,曉,喉音,喉音,次清,送氣,h,h,h,h,h,ㄏ,喜,豪開1舒聲,4.37号,效,豪,号,去,開,1,開洪,o,o,o,o,o,ㄜ,高
2822,12,211,腝,那到,lo7,4.37号,17,泥,舌音,舌頭音,次濁,收聲,l,l,l,l,l,ㄌ,柳,豪開1舒聲,4.37号,效,豪,号,去,開,1,開洪,o,o,o,o,o,ㄜ,高
2823,17,215,箇,古賀,ko3,4.38箇,1,見,牙音,牙音,全清,發聲,k,k,k,g,k,ㄍ,求,歌開1舒聲,4.38箇,果,歌,箇,去,開,1,開洪,o,o,o,o,o,ㄜ,高
2824,38,215,賀,胡箇,ho7,4.38箇,2,匣,喉音,喉音,全濁,送氣,h,h,h,h,h,ㄏ,喜,歌開1舒聲,4.38箇,果,歌,箇,去,開,1,開洪,o,o,o,o,o,ㄜ,高
2825,21,215,佐,則箇,co3,4.38箇,3,精,齒音,齒頭音,全清,發聲,c,ʦ,ch,z,ts,ㄗ,曾,歌開1舒聲,4.38箇,果,歌,箇,去,開,1,開洪,o,o,o,o,o,ㄜ,高
2826,9,215,跢,丁佐,to3,4.38箇,4,端,舌音,舌頭音,全清,發聲,t,t,t,d,t,ㄉ,地,歌開1舒聲,4.38箇,果,歌,箇,去,開,1,開洪,o,o,o,o,o,ㄜ,高
2827,41,215,邏,郎佐,lo7,4.38箇,5,來,半舌音,半舌,次濁,收聲,l,l,l,l,l,ㄌ,柳,歌開1舒聲,4.38箇,果,歌,箇,去,開,1,開洪,o,o,o,o,o,ㄜ,高
2828,18,215,坷,口箇,kho3,4.38箇,6,溪,牙音,牙音,次清,送氣,kh,kʰ,kh,k,kh,ㄎ,去,歌開1舒聲,4.38箇,果,歌,箇,去,開,1,開洪,o,o,o,o,o,ㄜ,高
2829,20,215,餓,五个,go7,4.38箇,7,疑,牙音,牙音,次濁,收聲,g,ɡ,g,gg,g,ㆣ,語,歌開1舒聲,4.38箇,果,歌,箇,去,開,1,開洪,o,o,o,o,o,ㄜ,高
2830,11,215,䭾,唐佐,to7,4.38箇,8,定,舌音,舌頭音,全濁,,t,t,t,d,t,ㄉ,地,歌開1舒聲,4.38箇,果,歌,箇,去,開,1,開洪,o,o,o,o,o,ㄜ,高
2831,12,215,奈,奴箇,lo7,4.38箇,9,泥,舌音,舌頭音,次濁,收聲,l,l,l,l,l,ㄌ,柳,歌開1舒聲,4.38箇,果,歌,箇,去,開,1,開洪,o,o,o,o,o,ㄜ,高
2832,24,215,些,蘇箇,so3,4.38箇,10,心,齒音,齒頭音,全清,送氣,s,s,s,s,s,ㄙ,時,歌開1舒聲,4.38箇,果,歌,箇,去,開,1,開洪,o,o,o,o,o,ㄜ,高
2833,37,215,呵,呼箇,ho3,4.38箇,11,曉,喉音,喉音,次清,送氣,h,h,h,h,h,ㄏ,喜,歌開1舒聲,4.38箇,果,歌,箇,去,開,1,開洪,o,o,o,o,o,ㄜ,高
2834,10,215,拖,吐邏,tho3,4.38箇,12,透,舌音,舌頭音,次清,送氣,th,tʰ,th,t,th,ㄊ,他,歌開1舒聲,4.38箇,果,歌,箇,去,開,1,開洪,o,o,o,o,o,ㄜ,高
2835,17,219,過,古卧,ko3,4.39過,1,見,牙音,牙音,全清,發聲,k,k,k,g,k,ㄍ,求,戈合1舒聲,4.39過,果,戈,過,去,合,1,合洪,o,o,o,o,o,ㄜ,高
2836,38,219,和,胡卧,ho7,4.39過,2,匣,喉音,喉音,全濁,送氣,h,h,h,h,h,ㄏ,喜,戈合1舒聲,4.39過,果,戈,過,去,合,1,合洪,o,o,o,o,o,ㄜ,高
2837,21,219,挫,則卧,co3,4.39過,3,精,齒音,齒頭音,全清,發聲,c,ʦ,ch,z,ts,ㄗ,曾,戈合1舒聲,4.39過,果,戈,過,去,合,1,合洪,o,o,o,o,o,ㄜ,高
2838,18,219,課,苦卧,kho3,4.39過,4,溪,牙音,牙音,次清,送氣,kh,kʰ,kh,k,kh,ㄎ,去,戈合1舒聲,4.39過,果,戈,過,去,合,1,合洪,o,o,o,o,o,ㄜ,高
2839,10,219,唾,湯卧,tho3,4.39過,5,透,舌音,舌頭音,次清,送氣,th,tʰ,th,t,th,ㄊ,他,戈合1舒聲,4.39過,果,戈,過,去,合,1,合洪,o,o,o,o,o,ㄜ,高
2840,1,219,播,補過,po3,4.39過,6,幫,脣音,重脣音,全清,發聲,p,p,p,b,p,ㄅ,邊,戈合1舒聲,4.39過,果,戈,過,去,合,1,合洪,o,o,o,o,o,ㄜ,高
2841,22,219,剉,麤卧,cho3,4.39過,7,清,齒音,齒頭音,次清,送氣,ch,ʦʰ,chh,c,tsh,ㄘ,出,戈合1舒聲,4.39過,果,戈,過,去,合,1,合洪,o,o,o,o,o,ㄜ,高
2842,4,219,磨,摸卧,bo7,4.39過,8,明,脣音,重脣音,次濁,收聲,b,b,b,bb,b,ㆠ,門,戈合1舒聲,4.39過,果,戈,過,去,合,1,合洪,o,o,o,o,o,ㄜ,高
2843,12,219,愞,乃卧,lo7,4.39過,9,泥,舌音,舌頭音,次濁,收聲,l,l,l,l,l,ㄌ,柳,戈合1舒聲,4.39過,果,戈,過,去,合,1,合洪,o,o,o,o,o,ㄜ,高
2844,2,219,破,普過,pho3,4.39過,10,滂,脣音,重脣音,次清,送氣,ph,pʰ,ph,p,ph,ㄆ,頗,戈合1舒聲,4.39過,果,戈,過,去,合,1,合洪,o,o,o,o,o,ㄜ,高
2845,23,219,座,徂卧,co7,4.39過,11,從,齒音,齒頭音,全濁,,c,ʦ,ch,z,ts,ㄗ,曾,戈合1舒聲,4.39過,果,戈,過,去,合,1,合洪,o,o,o,o,o,ㄜ,高
2846,20,219,臥,吾貨,go7,4.39過,12,疑,牙音,牙音,次濁,收聲,g,ɡ,g,gg,g,ㆣ,語,戈合1舒聲,4.39過,果,戈,過,去,合,1,合洪,o,o,o,o,o,ㄜ,高
2847,22,219,諎,千過,cho3,4.39過,13,清,齒音,齒頭音,次清,送氣,ch,ʦʰ,chh,c,tsh,ㄘ,出,戈合1舒聲,4.39過,果,戈,過,去,合,1,合洪,o,o,o,o,o,ㄜ,高
2848,37,219,貨,呼臥,ho3,4.39過,14,曉,喉音,喉音,次清,送氣,h,h,h,h,h,ㄏ,喜,戈合1舒聲,4.39過,果,戈,過,去,合,1,合洪,o,o,o,o,o,ㄜ,高
2849,11,219,惰,徒臥,to7,4.39過,15,定,舌音,舌頭音,全濁,,t,t,t,d,t,ㄉ,地,戈合1舒聲,4.39過,果,戈,過,去,合,1,合洪,o,o,o,o,o,ㄜ,高
2850,7,219,縛,符臥,ho7,4.39過,16,奉,脣音,輕脣音,全濁,,h,h,h,h,h,ㄏ,喜,戈合1舒聲,4.39過,果,戈,過,去,合,1,合洪,o,o,o,o,o,ㄜ,高
2851,41,219,䇔,魯過,lo7,4.39過,17,來,半舌音,半舌,次濁,收聲,l,l,l,l,l,ㄌ,柳,戈合1舒聲,4.39過,果,戈,過,去,合,1,合洪,o,o,o,o,o,ㄜ,高
2852,9,219,桗,都唾,to3,4.39過,18,端,舌音,舌頭音,全清,發聲,t,t,t,d,t,ㄉ,地,戈合1舒聲,4.39過,果,戈,過,去,合,1,合洪,o,o,o,o,o,ㄜ,高
2853,22,219,磋,七過,cho3,4.39過,19,清,齒音,齒頭音,次清,送氣,ch,ʦʰ,chh,c,tsh,ㄘ,出,戈合1舒聲,4.39過,果,戈,過,去,合,1,合洪,o,o,o,o,o,ㄜ,高
2854,24,219,䐝,先臥,so3,4.39過,20,心,齒音,齒頭音,全清,送氣,s,s,s,s,s,ㄙ,時,戈合1舒聲,4.39過,果,戈,過,去,合,1,合洪,o,o,o,o,o,ㄜ,高
2855,36,215,侉,安賀,Øo3,4.39過,21,影,喉音,喉音,全清,發聲,Ø,,,,,,英,歌開1舒聲,4.38箇,果,歌,箇,去,開,1,開洪,o,o,o,o,o,ㄜ,高
2856,36,219,涴,烏臥,Øo3,4.39過,22,影,喉音,喉音,全清,發聲,Ø,,,,,,英,戈合1舒聲,4.39過,果,戈,過,去,合,1,合洪,o,o,o,o,o,ㄜ,高
2857,4,231,禡,莫駕,ba7,4.40禡,1,明,脣音,重脣音,次濁,收聲,b,b,b,bb,b,ㆠ,門,麻開2舒聲,4.40禡,假,麻,禡,去,開,2,開洪,a,a,a,a,a,ㄚ,膠
2858,17,231,駕,古訝,ka3,4.40禡,2,見,牙音,牙音,全清,發聲,k,k,k,g,k,ㄍ,求,麻開2舒聲,4.40禡,假,麻,禡,去,開,2,開洪,a,a,a,a,a,ㄚ,膠
2859,36,231,亞,衣嫁,Øa3,4.40禡,3,影,喉音,喉音,全清,發聲,Ø,,,,,,英,麻開2舒聲,4.40禡,假,麻,禡,去,開,2,開洪,a,a,a,a,a,ㄚ,膠
2860,37,231,嚇,呼訝,ha3,4.40禡,4,曉,喉音,喉音,次清,送氣,h,h,h,h,h,ㄏ,喜,麻開2舒聲,4.40禡,假,麻,禡,去,開,2,開洪,a,a,a,a,a,ㄚ,膠
2861,20,231,迓,吾駕,ga7,4.40禡,5,疑,牙音,牙音,次濁,收聲,g,ɡ,g,gg,g,ㆣ,語,麻開2舒聲,4.40禡,假,麻,禡,去,開,2,開洪,a,a,a,a,a,ㄚ,膠
2862,14,231,詫,丑亞,tha3,4.40禡,6,徹,舌音,舌上音,次清,送氣,th,tʰ,th,t,th,ㄊ,他,麻開2舒聲,4.40禡,假,麻,禡,去,開,2,開洪,a,a,a,a,a,ㄚ,膠
2863,13,231,吒,陟駕,ta3,4.40禡,7,知,舌音,舌上音,全清,發聲,t,t,t,d,t,ㄉ,地,麻開2舒聲,4.40禡,假,麻,禡,去,開,2,開洪,a,a,a,a,a,ㄚ,膠
