小韻識別號,上字表識別號,下字表識別號,小韻字,小韻切語,小韻標音,小韻目次,小韻字序號,廣韻聲母,七聲類,發音部位,清濁,發送收,聲母碼,聲母國際音標,白話字聲母,閩拼聲母,台羅聲母,方音聲母,十五音聲母,廣韻韻母,目次,攝,韻系,韻目,調,呼,等,等呼,韻母碼,韻母國際音標,白話字韻母,閩拼韻母,台羅韻母,方音韻母,十五音韻母
1,9,1,東,德紅,tong1,1.01東,1,端,舌音,舌頭音,全清,發聲,t,t,t,d,t,ㄉ,地,東開1舒聲,1.01東,通,東,東,平,開,1,獨洪,ong,ɔŋ,ong,ong,ong,ㆲ,公
2,11,1,同,徒紅,tong5,1.01東,2,定,舌音,舌頭音,全濁,,t,t,t,d,t,ㄉ,地,東開1舒聲,1.01東,通,東,東,平,開,1,獨洪,ong,ɔŋ,ong,ong,ong,ㆲ,公
3,13,5,中,陟弓,tiong1,1.01東,3,知,舌音,舌上音,全清,發聲,t,t,t,d,t,ㄉ,地,東開3舒聲,1.01東,通,東,東,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
4,15,5,蟲,直弓,tiong5,1.01東,4,澄,舌音,舌上音,全濁,,t,t,t,d,t,ㄉ,地,東開3舒聲,1.01東,通,東,東,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
5,27,5,終,職戎,ciong1,1.01東,5,章,齒音,正齒近舌上,全清,發聲,c,ʦ,ch,z,ts,ㄗ,曾,東開3舒聲,1.01東,通,東,東,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
6,14,5,忡,敕中,thiong1,1.01東,6,徹,舌音,舌上音,次清,送氣,th,tʰ,th,t,th,ㄊ,他,東開3舒聲,1.01東,通,東,東,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
7,30,5,崇,鋤弓,ciong5,1.01東,7,崇,齒音,正齒近齒頭,全濁,,c,ʦ,ch,z,ts,ㄗ,曾,東開3舒聲,1.01東,通,東,東,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
8,24,5,嵩,息弓,siong1,1.01東,8,心,齒音,齒頭音,全清,送氣,s,s,s,s,s,ㄙ,時,東開3舒聲,1.01東,通,東,東,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
9,42,5,戎,如融,jiong5,1.01東,9,日,半齒音,半齒,次濁,收聲,j,ʣ,j,zz,j,ㆡ,入,東開3舒聲,1.01東,通,東,東,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
10,17,5,弓,居戎,kiong1,1.01東,10,見,牙音,牙音,全清,發聲,k,k,k,g,k,ㄍ,求,東開3舒聲,1.01東,通,東,東,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
11,39,5,融,以戎,Øiong5,1.01東,11,以,喉音,喉音,次濁,發聲,Ø,,,,,,英,東開3舒聲,1.01東,通,東,東,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
12,40,5,雄,羽弓,Øiong5,1.01東,12,云,喉音,喉音,次濁,發聲,Ø,,,,,,英,東開3舒聲,1.01東,通,東,東,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
13,4,5,瞢,莫中,biong5,1.01東,13,明,脣音,重脣音,次濁,收聲,b,b,b,bb,b,ㆠ,門,東開3舒聲,1.01東,通,東,東,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
14,18,5,穹,去宮,khiong1,1.01東,14,溪,牙音,牙音,次清,送氣,kh,kʰ,kh,k,kh,ㄎ,去,東開3舒聲,1.01東,通,東,東,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
15,19,5,窮,渠弓,kiong5,1.01東,15,群,牙音,牙音,全濁,,k,k,k,g,k,ㄍ,求,東開3舒聲,1.01東,通,東,東,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
16,7,5,馮,房戎,hiong5,1.01東,16,奉,脣音,輕脣音,全濁,,h,h,h,h,h,ㄏ,喜,東開3舒聲,1.01東,通,東,東,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
17,5,5,風,方戎,hiong1,1.01東,17,非,脣音,輕脣音,全清,發聲,h,h,h,h,h,ㄏ,喜,東開3舒聲,1.01東,通,東,東,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
18,6,1,豐,敷空,hong1,1.01東,18,敷,脣音,輕脣音,次清,送氣,h,h,h,h,h,ㄏ,喜,東開1舒聲,1.01東,通,東,東,平,開,1,獨洪,ong,ɔŋ,ong,ong,ong,ㆲ,公
19,29,5,充,昌終,chiong1,1.01東,19,昌,齒音,正齒近舌上,次清,送氣,ch,ʦʰ,chh,c,tsh,ㄘ,出,東開3舒聲,1.01東,通,東,東,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
20,41,5,隆,力中,liong5,1.01東,20,來,半舌音,半舌,次濁,收聲,l,l,l,l,l,ㄌ,柳,東開3舒聲,1.01東,通,東,東,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
21,18,1,空,苦紅,khong1,1.01東,21,溪,牙音,牙音,次清,送氣,kh,kʰ,kh,k,kh,ㄎ,去,東開1舒聲,1.01東,通,東,東,平,開,1,獨洪,ong,ɔŋ,ong,ong,ong,ㆲ,公
22,17,1,公,古紅,kong1,1.01東,22,見,牙音,牙音,全清,發聲,k,k,k,g,k,ㄍ,求,東開1舒聲,1.01東,通,東,東,平,開,1,獨洪,ong,ɔŋ,ong,ong,ong,ㆲ,公
23,4,1,蒙,莫紅,bong5,1.01東,23,明,脣音,重脣音,次濁,收聲,b,b,b,bb,b,ㆠ,門,東開1舒聲,1.01東,通,東,東,平,開,1,獨洪,ong,ɔŋ,ong,ong,ong,ㆲ,公
24,41,1,籠,盧紅,long5,1.01東,24,來,半舌音,半舌,次濁,收聲,l,l,l,l,l,ㄌ,柳,東開1舒聲,1.01東,通,東,東,平,開,1,獨洪,ong,ɔŋ,ong,ong,ong,ㆲ,公
25,38,1,洪,戸公,hong5,1.01東,25,匣,喉音,喉音,全濁,送氣,h,h,h,h,h,ㄏ,喜,東開1舒聲,1.01東,通,東,東,平,開,1,獨洪,ong,ɔŋ,ong,ong,ong,ㆲ,公
26,23,1,叢,徂紅,cong5,1.01東,26,從,齒音,齒頭音,全濁,,c,ʦ,ch,z,ts,ㄗ,曾,東開1舒聲,1.01東,通,東,東,平,開,1,獨洪,ong,ɔŋ,ong,ong,ong,ㆲ,公
27,36,1,翁,烏紅,Øong1,1.01東,27,影,喉音,喉音,全清,發聲,Ø,,,,,,英,東開1舒聲,1.01東,通,東,東,平,開,1,獨洪,ong,ɔŋ,ong,ong,ong,ㆲ,公
28,22,1,怱,倉紅,chong1,1.01東,28,清,齒音,齒頭音,次清,送氣,ch,ʦʰ,chh,c,tsh,ㄘ,出,東開1舒聲,1.01東,通,東,東,平,開,1,獨洪,ong,ɔŋ,ong,ong,ong,ㆲ,公
29,10,1,通,他紅,thong1,1.01東,29,透,舌音,舌頭音,次清,送氣,th,tʰ,th,t,th,ㄊ,他,東開1舒聲,1.01東,通,東,東,平,開,1,獨洪,ong,ɔŋ,ong,ong,ong,ㆲ,公
30,21,1,葼,子紅,cong1,1.01東,30,精,齒音,齒頭音,全清,發聲,c,ʦ,ch,z,ts,ㄗ,曾,東開1舒聲,1.01東,通,東,東,平,開,1,獨洪,ong,ɔŋ,ong,ong,ong,ㆲ,公
31,3,1,蓬,薄紅,pong5,1.01東,31,並,脣音,重脣音,全濁,,p,p,p,b,p,ㄅ,邊,東開1舒聲,1.01東,通,東,東,平,開,1,獨洪,ong,ɔŋ,ong,ong,ong,ㆲ,公
32,37,1,烘,呼東,hong1,1.01東,32,曉,喉音,喉音,次清,送氣,h,h,h,h,h,ㄏ,喜,東開1舒聲,1.01東,通,東,東,平,開,1,獨洪,ong,ɔŋ,ong,ong,ong,ㆲ,公
33,20,1,㟅,五東,gong5,1.01東,33,疑,牙音,牙音,次濁,收聲,g,ɡ,g,gg,g,ㆣ,語,東開1舒聲,1.01東,通,東,東,平,開,1,獨洪,ong,ɔŋ,ong,ong,ong,ㆲ,公
34,24,1,檧,蘇公,song1,1.01東,34,心,齒音,齒頭音,全清,送氣,s,s,s,s,s,ㄙ,時,東開1舒聲,1.01東,通,東,東,平,開,1,獨洪,ong,ɔŋ,ong,ong,ong,ㆲ,公
35,9,9,冬,都宗,tong1,1.02冬,1,端,舌音,舌頭音,全清,發聲,t,t,t,d,t,ㄉ,地,冬開1舒聲,1.02冬,通,冬,冬,平,開,1,獨洪,ong,ɔŋ,ong,ong,ong,ㆲ,公
36,11,9,彤,徒冬,tong5,1.02冬,2,定,舌音,舌頭音,全濁,,t,t,t,d,t,ㄉ,地,冬開1舒聲,1.02冬,通,冬,冬,平,開,1,獨洪,ong,ɔŋ,ong,ong,ong,ㆲ,公
37,23,9,賨,藏宗,cong5,1.02冬,3,從,齒音,齒頭音,全濁,,c,ʦ,ch,z,ts,ㄗ,曾,冬開1舒聲,1.02冬,通,冬,冬,平,開,1,獨洪,ong,ɔŋ,ong,ong,ong,ㆲ,公
38,12,9,農,奴冬,long5,1.02冬,4,泥,舌音,舌頭音,次濁,收聲,l,l,l,l,l,ㄌ,柳,冬開1舒聲,1.02冬,通,冬,冬,平,開,1,獨洪,ong,ɔŋ,ong,ong,ong,ㆲ,公
39,17,9,攻,古冬,kong1,1.02冬,5,見,牙音,牙音,全清,發聲,k,k,k,g,k,ㄍ,求,冬開1舒聲,1.02冬,通,冬,冬,平,開,1,獨洪,ong,ɔŋ,ong,ong,ong,ㆲ,公
40,38,9,䃔,戸冬,hong5,1.02冬,6,匣,喉音,喉音,全濁,送氣,h,h,h,h,h,ㄏ,喜,冬開1舒聲,1.02冬,通,冬,冬,平,開,1,獨洪,ong,ɔŋ,ong,ong,ong,ㆲ,公
41,41,9,䃧,力冬,long5,1.02冬,7,來,半舌音,半舌,次濁,收聲,l,l,l,l,l,ㄌ,柳,冬開1舒聲,1.02冬,通,冬,冬,平,開,1,獨洪,ong,ɔŋ,ong,ong,ong,ㆲ,公
42,21,9,宗,作冬,cong1,1.02冬,8,精,齒音,齒頭音,全清,發聲,c,ʦ,ch,z,ts,ㄗ,曾,冬開1舒聲,1.02冬,通,冬,冬,平,開,1,獨洪,ong,ɔŋ,ong,ong,ong,ㆲ,公
43,24,9,鬆,私宗,song1,1.02冬,9,心,齒音,齒頭音,全清,送氣,s,s,s,s,s,ㄙ,時,冬開1舒聲,1.02冬,通,冬,冬,平,開,1,獨洪,ong,ɔŋ,ong,ong,ong,ㆲ,公
44,10,9,炵,他冬,thong1,1.02冬,10,透,舌音,舌頭音,次清,送氣,th,tʰ,th,t,th,ㄊ,他,冬開1舒聲,1.02冬,通,冬,冬,平,開,1,獨洪,ong,ɔŋ,ong,ong,ong,ㆲ,公
45,27,13,鍾,職容,ciong1,1.03鍾,1,章,齒音,正齒近舌上,全清,發聲,c,ʦ,ch,z,ts,ㄗ,曾,鍾開3舒聲,1.03鍾,通,鍾,鍾,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
46,41,13,龍,力鍾,liong5,1.03鍾,2,來,半舌音,半舌,次濁,收聲,l,l,l,l,l,ㄌ,柳,鍾開3舒聲,1.03鍾,通,鍾,鍾,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
47,33,13,舂,書容,siong1,1.03鍾,3,書,齒音,正齒近舌上,全清,送氣,s,s,s,s,s,ㄙ,時,鍾開3舒聲,1.03鍾,通,鍾,鍾,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
48,25,13,松,祥容,siong5,1.03鍾,4,邪,齒音,齒頭音,全濁,送氣,s,s,s,s,s,ㄙ,時,鍾開3舒聲,1.03鍾,通,鍾,鍾,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
49,29,13,𧘂,尺容,chiong1,1.03鍾,5,昌,齒音,正齒近舌上,次清,送氣,ch,ʦʰ,chh,c,tsh,ㄘ,出,鍾開3舒聲,1.03鍾,通,鍾,鍾,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
50,39,13,容,餘封,Øiong5,1.03鍾,6,以,喉音,喉音,次濁,發聲,Ø,,,,,,英,鍾開3舒聲,1.03鍾,通,鍾,鍾,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
51,5,13,封,府容,hiong1,1.03鍾,7,非,脣音,輕脣音,全清,發聲,h,h,h,h,h,ㄏ,喜,鍾開3舒聲,1.03鍾,通,鍾,鍾,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
52,37,13,胷,許容,hiong1,1.03鍾,8,曉,喉音,喉音,次清,送氣,h,h,h,h,h,ㄏ,喜,鍾開3舒聲,1.03鍾,通,鍾,鍾,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
53,20,13,顒,魚容,giong5,1.03鍾,9,疑,牙音,牙音,次濁,收聲,g,ɡ,g,gg,g,ㆣ,語,鍾開3舒聲,1.03鍾,通,鍾,鍾,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
54,36,13,邕,於容,Øiong1,1.03鍾,10,影,喉音,喉音,全清,發聲,Ø,,,,,,英,鍾開3舒聲,1.03鍾,通,鍾,鍾,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
55,16,13,醲,女容,liong5,1.03鍾,11,娘,舌音,舌上音,次濁,收聲,l,l,l,l,l,ㄌ,柳,鍾開3舒聲,1.03鍾,通,鍾,鍾,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
56,15,13,重,直容,tiong5,1.03鍾,12,澄,舌音,舌上音,全濁,,t,t,t,d,t,ㄉ,地,鍾開3舒聲,1.03鍾,通,鍾,鍾,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
57,23,13,從,疾容,ciong5,1.03鍾,13,從,齒音,齒頭音,全濁,,c,ʦ,ch,z,ts,ㄗ,曾,鍾開3舒聲,1.03鍾,通,鍾,鍾,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
58,14,13,蹱,丑凶,thiong1,1.03鍾,14,徹,舌音,舌上音,次清,送氣,th,tʰ,th,t,th,ㄊ,他,鍾開3舒聲,1.03鍾,通,鍾,鍾,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
59,7,13,逢,符容,hiong5,1.03鍾,15,奉,脣音,輕脣音,全濁,,h,h,h,h,h,ㄏ,喜,鍾開3舒聲,1.03鍾,通,鍾,鍾,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
60,6,13,峯,敷容,hiong1,1.03鍾,16,敷,脣音,輕脣音,次清,送氣,h,h,h,h,h,ㄏ,喜,鍾開3舒聲,1.03鍾,通,鍾,鍾,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
61,21,13,縱,即容,ciong1,1.03鍾,17,精,齒音,齒頭音,全清,發聲,c,ʦ,ch,z,ts,ㄗ,曾,鍾開3舒聲,1.03鍾,通,鍾,鍾,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
62,42,13,茸,而容,jiong5,1.03鍾,18,日,半齒音,半齒,次濁,收聲,j,ʣ,j,zz,j,ㆡ,入,鍾開3舒聲,1.03鍾,通,鍾,鍾,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
63,19,13,蛩,渠容,kiong5,1.03鍾,19,群,牙音,牙音,全濁,,k,k,k,g,k,ㄍ,求,鍾開3舒聲,1.03鍾,通,鍾,鍾,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
64,34,13,鱅,蜀庸,siong5,1.03鍾,20,禪,齒音,正齒近齒頭,全濁,送氣,s,s,s,s,s,ㄙ,時,鍾開3舒聲,1.03鍾,通,鍾,鍾,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
65,17,13,恭,九容,kiong1,1.03鍾,21,見,牙音,牙音,全清,發聲,k,k,k,g,k,ㄍ,求,鍾開3舒聲,1.03鍾,通,鍾,鍾,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
66,24,13,蜙,息恭,siong1,1.03鍾,22,心,齒音,齒頭音,全清,送氣,s,s,s,s,s,ㄙ,時,鍾開3舒聲,1.03鍾,通,鍾,鍾,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
67,22,13,樅,七恭,chiong1,1.03鍾,23,清,齒音,齒頭音,次清,送氣,ch,ʦʰ,chh,c,tsh,ㄘ,出,鍾開3舒聲,1.03鍾,通,鍾,鍾,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
68,18,13,銎,曲恭,khiong1,1.03鍾,24,溪,牙音,牙音,次清,送氣,kh,kʰ,kh,k,kh,ㄎ,去,鍾開3舒聲,1.03鍾,通,鍾,鍾,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
69,17,17,江,古雙,kang1,1.04江,1,見,牙音,牙音,全清,發聲,k,k,k,g,k,ㄍ,求,江開2舒聲,1.04江,江,江,江,平,開,2,獨洪,ang,aŋ,ang,ang,ang,ㄤ,江
70,4,17,厖,莫江,bang5,1.04江,2,明,脣音,重脣音,次濁,收聲,b,b,b,bb,b,ㆠ,門,江開2舒聲,1.04江,江,江,江,平,開,2,獨洪,ang,aŋ,ang,ang,ang,ㄤ,江
71,16,17,𦗳,女江,lang5,1.04江,3,娘,舌音,舌上音,次濁,收聲,l,l,l,l,l,ㄌ,柳,江開2舒聲,1.04江,江,江,江,平,開,2,獨洪,ang,aŋ,ang,ang,ang,ㄤ,江
72,28,17,囪,楚江,chang1,1.04江,4,初,齒音,正齒近齒頭,次清,送氣,ch,ʦʰ,chh,c,tsh,ㄘ,出,江開2舒聲,1.04江,江,江,江,平,開,2,獨洪,ang,aŋ,ang,ang,ang,ㄤ,江
73,1,17,邦,博江,pang1,1.04江,5,幫,脣音,重脣音,全清,發聲,p,p,p,b,p,ㄅ,邊,江開2舒聲,1.04江,江,江,江,平,開,2,獨洪,ang,aŋ,ang,ang,ang,ㄤ,江
74,38,17,栙,下江,hang5,1.04江,6,匣,喉音,喉音,全濁,送氣,h,h,h,h,h,ㄏ,喜,江開2舒聲,1.04江,江,江,江,平,開,2,獨洪,ang,aŋ,ang,ang,ang,ㄤ,江
75,2,17,胮,匹江,phang1,1.04江,7,滂,脣音,重脣音,次清,送氣,ph,pʰ,ph,p,ph,ㄆ,頗,江開2舒聲,1.04江,江,江,江,平,開,2,獨洪,ang,aŋ,ang,ang,ang,ㄤ,江
76,41,17,瀧,呂江,lang5,1.04江,8,來,半舌音,半舌,次濁,收聲,l,l,l,l,l,ㄌ,柳,江開2舒聲,1.04江,江,江,江,平,開,2,獨洪,ang,aŋ,ang,ang,ang,ㄤ,江
77,32,17,雙,所江,sang1,1.04江,9,生,齒音,正齒近齒頭,全清,送氣,s,s,s,s,s,ㄙ,時,江開2舒聲,1.04江,江,江,江,平,開,2,獨洪,ang,aŋ,ang,ang,ang,ㄤ,江
78,3,17,龐,薄江,pang5,1.04江,10,並,脣音,重脣音,全濁,,p,p,p,b,p,ㄅ,邊,江開2舒聲,1.04江,江,江,江,平,開,2,獨洪,ang,aŋ,ang,ang,ang,ㄤ,江
79,37,17,肛,許江,hang1,1.04江,11,曉,喉音,喉音,次清,送氣,h,h,h,h,h,ㄏ,喜,江開2舒聲,1.04江,江,江,江,平,開,2,獨洪,ang,aŋ,ang,ang,ang,ㄤ,江
80,36,17,胦,握江,Øang1,1.04江,12,影,喉音,喉音,全清,發聲,Ø,,,,,,英,江開2舒聲,1.04江,江,江,江,平,開,2,獨洪,ang,aŋ,ang,ang,ang,ㄤ,江
81,18,17,腔,苦江,khang1,1.04江,13,溪,牙音,牙音,次清,送氣,kh,kʰ,kh,k,kh,ㄎ,去,江開2舒聲,1.04江,江,江,江,平,開,2,獨洪,ang,aŋ,ang,ang,ang,ㄤ,江
82,15,17,幢,宅江,tang5,1.04江,14,澄,舌音,舌上音,全濁,,t,t,t,d,t,ㄉ,地,江開2舒聲,1.04江,江,江,江,平,開,2,獨洪,ang,aŋ,ang,ang,ang,ㄤ,江
83,14,17,憃,丑江,thang1,1.04江,15,徹,舌音,舌上音,次清,送氣,th,tʰ,th,t,th,ㄊ,他,江開2舒聲,1.04江,江,江,江,平,開,2,獨洪,ang,aŋ,ang,ang,ang,ㄤ,江
84,9,17,樁,都江,tang1,1.04江,16,端,舌音,舌頭音,全清,發聲,t,t,t,d,t,ㄉ,地,江開2舒聲,1.04江,江,江,江,平,開,2,獨洪,ang,aŋ,ang,ang,ang,ㄤ,江
85,20,17,㟅,五江,gang5,1.04江,17,疑,牙音,牙音,次濁,收聲,g,ɡ,g,gg,g,ㆣ,語,江開2舒聲,1.04江,江,江,江,平,開,2,獨洪,ang,aŋ,ang,ang,ang,ㄤ,江
86,30,17,淙,士江,cang5,1.04江,18,崇,齒音,正齒近齒頭,全濁,,c,ʦ,ch,z,ts,ㄗ,曾,江開2舒聲,1.04江,江,江,江,平,開,2,獨洪,ang,aŋ,ang,ang,ang,ㄤ,江
87,27,21,支,章移,ci1,1.05支,1,章,齒音,正齒近舌上,全清,發聲,c,ʦ,ch,z,ts,ㄗ,曾,支開3舒聲,1.05支,止,支,支,平,開,3,開細,i,i,i,i,i,ㄧ,居
88,39,21,移,弋支,Øi5,1.05支,2,以,喉音,喉音,次濁,發聲,Ø,,,,,,英,支開3舒聲,1.05支,止,支,支,平,開,3,開細,i,i,i,i,i,ㄧ,居
89,40,21,爲,薳支,Øi5,1.05支,3,云,喉音,喉音,次濁,發聲,Ø,,,,,,英,支開3舒聲,1.05支,止,支,支,平,開,3,開細,i,i,i,i,i,ㄧ,居
90,17,25,嬀,居爲,kui1,1.05支,4,見,牙音,牙音,全清,發聲,k,k,k,g,k,ㄍ,求,支合3舒聲,1.05支,止,支,支,平,合,3,合細,ui,ui,ui,ui,ui,ㄨㄧ,規
91,37,25,𪎮,許爲,hui1,1.05支,5,曉,喉音,喉音,次清,送氣,h,h,h,h,h,ㄏ,喜,支合3舒聲,1.05支,止,支,支,平,合,3,合細,ui,ui,ui,ui,ui,ㄨㄧ,規
92,36,25,逶,於爲,Øui1,1.05支,6,影,喉音,喉音,全清,發聲,Ø,,,,,,英,支合3舒聲,1.05支,止,支,支,平,合,3,合細,ui,ui,ui,ui,ui,ㄨㄧ,規
93,4,25,糜,靡爲,bui5,1.05支,7,明,脣音,重脣音,次濁,收聲,b,b,b,bb,b,ㆠ,門,支合3舒聲,1.05支,止,支,支,平,合,3,合細,ui,ui,ui,ui,ui,ㄨㄧ,規
94,37,25,隓,許規,hui1,1.05支,8,曉,喉音,喉音,次清,送氣,h,h,h,h,h,ㄏ,喜,支合3舒聲,1.05支,止,支,支,平,合,3,合細,ui,ui,ui,ui,ui,ㄨㄧ,規
95,15,25,鬌,直垂,tui5,1.05支,9,澄,舌音,舌上音,全濁,,t,t,t,d,t,ㄉ,地,支合3舒聲,1.05支,止,支,支,平,合,3,合細,ui,ui,ui,ui,ui,ㄨㄧ,規
96,34,25,𡍮,是爲,sui5,1.05支,10,禪,齒音,正齒近齒頭,全濁,送氣,s,s,s,s,s,ㄙ,時,支合3舒聲,1.05支,止,支,支,平,合,3,合細,ui,ui,ui,ui,ui,ㄨㄧ,規
97,41,25,羸,力爲,lui5,1.05支,11,來,半舌音,半舌,次濁,收聲,l,l,l,l,l,ㄌ,柳,支合3舒聲,1.05支,止,支,支,平,合,3,合細,ui,ui,ui,ui,ui,ㄨㄧ,規
98,29,25,吹,昌垂,chui1,1.05支,12,昌,齒音,正齒近舌上,次清,送氣,ch,ʦʰ,chh,c,tsh,ㄘ,出,支合3舒聲,1.05支,止,支,支,平,合,3,合細,ui,ui,ui,ui,ui,ㄨㄧ,規
99,6,21,鈹,敷羈,hi1,1.05支,13,敷,脣音,輕脣音,次清,送氣,h,h,h,h,h,ㄏ,喜,支開3舒聲,1.05支,止,支,支,平,開,3,開細,i,i,i,i,i,ㄧ,居
100,1,25,陂,彼爲,pui1,1.05支,14,幫,脣音,重脣音,全清,發聲,p,p,p,b,p,ㄅ,邊,支合3舒聲,1.05支,止,支,支,平,合,3,合細,ui,ui,ui,ui,ui,ㄨㄧ,規
101,25,25,隨,旬爲,sui5,1.05支,15,邪,齒音,齒頭音,全濁,送氣,s,s,s,s,s,ㄙ,時,支合3舒聲,1.05支,止,支,支,平,合,3,合細,ui,ui,ui,ui,ui,ㄨㄧ,規
102,18,25,虧,去爲,khui1,1.05支,16,溪,牙音,牙音,次清,送氣,kh,kʰ,kh,k,kh,ㄎ,去,支合3舒聲,1.05支,止,支,支,平,合,3,合細,ui,ui,ui,ui,ui,ㄨㄧ,規
103,18,25,闚,去隨,khui1,1.05支,17,溪,牙音,牙音,次清,送氣,kh,kʰ,kh,k,kh,ㄎ,去,支合3舒聲,1.05支,止,支,支,平,合,3,合細,ui,ui,ui,ui,ui,ㄨㄧ,規
104,19,21,竒,渠羈,ki5,1.05支,18,群,牙音,牙音,全濁,,k,k,k,g,k,ㄍ,求,支開3舒聲,1.05支,止,支,支,平,開,3,開細,i,i,i,i,i,ㄧ,居
105,19,21,祇,巨支,ki5,1.05支,19,群,牙音,牙音,全濁,,k,k,k,g,k,ㄍ,求,支開3舒聲,1.05支,止,支,支,平,開,3,開細,i,i,i,i,i,ㄧ,居
106,37,21,犧,許羈,hi1,1.05支,20,曉,喉音,喉音,次清,送氣,h,h,h,h,h,ㄏ,喜,支開3舒聲,1.05支,止,支,支,平,開,3,開細,i,i,i,i,i,ㄧ,居
107,18,21,㩻,去奇,khi1,1.05支,21,溪,牙音,牙音,次清,送氣,kh,kʰ,kh,k,kh,ㄎ,去,支開3舒聲,1.05支,止,支,支,平,開,3,開細,i,i,i,i,i,ㄧ,居
108,20,21,宜,魚羈,gi5,1.05支,22,疑,牙音,牙音,次濁,收聲,g,ɡ,g,gg,g,ㆣ,語,支開3舒聲,1.05支,止,支,支,平,開,3,開細,i,i,i,i,i,ㄧ,居
109,7,21,皮,符羈,hi5,1.05支,23,奉,脣音,輕脣音,全濁,,h,h,h,h,h,ㄏ,喜,支開3舒聲,1.05支,止,支,支,平,開,3,開細,i,i,i,i,i,ㄧ,居
110,34,21,提,是支,si5,1.05支,24,禪,齒音,正齒近齒頭,全濁,送氣,s,s,s,s,s,ㄙ,時,支開3舒聲,1.05支,止,支,支,平,開,3,開細,i,i,i,i,i,ㄧ,居
111,42,21,兒,汝移,ji5,1.05支,25,日,半齒音,半齒,次濁,收聲,j,ʣ,j,zz,j,ㆡ,入,支開3舒聲,1.05支,止,支,支,平,開,3,開細,i,i,i,i,i,ㄧ,居
112,41,21,離,吕支,li5,1.05支,26,來,半舌音,半舌,次濁,收聲,l,l,l,l,l,ㄌ,柳,支開3舒聲,1.05支,止,支,支,平,開,3,開細,i,i,i,i,i,ㄧ,居
113,23,21,疵,疾移,ci5,1.05支,27,從,齒音,齒頭音,全濁,,c,ʦ,ch,z,ts,ㄗ,曾,支開3舒聲,1.05支,止,支,支,平,開,3,開細,i,i,i,i,i,ㄧ,居
