識別號,廣韻韻母識別號,韻系列號,韻系行號,韻目索引,目次識別號,目次,攝,韻系,韻目,調,呼,等,韻母,切語下字集,等呼,韻母拼音碼,備註
55,128,10,3,10-3,132,4.10遇,遇,虞,遇,去,開,3,虞開3舒聲,具遇句戌戍注,獨細,u,
57,77,11,1,11-1,11,1.11模,遇,模,模,平,開,1,模開1舒聲,胡都吳乎姑烏吾孤,獨洪,oo,
58,77,11,2,11-2,72,3.10姥,遇,模,姥,上,開,1,模開1舒聲,古戶戸杜魯補,獨洪,oo,
59,77,11,3,11-3,133,4.11暮,遇,模,暮,去,開,1,模開1舒聲,故誤暮祚路,獨洪,oo,
61,139,12,1,12-1,12,1.12齊,蟹,齊,齊,平,開,4,齊開4舒聲,奚雞稽低兮臡迷,開細,e,
62,139,12,2,12-2,73,3.11薺,蟹,齊,薺,上,開,4,齊開4舒聲,禮啟啓弟米,開細,e,
63,139,12,3,12-3,134,4.12霽,蟹,齊,霽,去,開,4,齊開4舒聲,詣計戾,開細,e,
65,123,12,1,12-1,12,1.12齊,蟹,齊,齊,平,合,4,齊合4舒聲,圭攜,合細,ue,攜：戶圭切
66,123,12,2,12-2,73,3.11薺,蟹,齊,薺,上,合,4,齊合4舒聲,,合細,ue,薺合4無字
67,123,12,3,12-3,134,4.12霽,蟹,齊,霽,去,合,4,齊合4舒聲,桂惠,合細,ue,
71,140,13,3,13-3,135,4.13祭,蟹,祭,祭,去,開,3,祭開3舒聲,例制罽祭憩袂蔽弊𡚁,開細,e,
75,124,13,3,13-3,135,4.13祭,蟹,祭,祭,去,合,3,祭合3舒聲,芮銳衛稅劌歲,合細,ue,
83,108,14,3,14-3,136,4.14泰,蟹,泰,泰,去,合,1,泰合1舒聲,外會最貝,合洪,ua,
85,90,15,1,15-1,15,1.13佳,蟹,佳,佳,平,開,2,佳開2舒聲,佳膎,開洪,ai,
86,90,15,2,15-2,76,3.12蟹,蟹,佳,蟹,上,開,2,佳開2舒聲,蟹買,開洪,ai,
87,90,15,3,15-3,137,4.15卦,蟹,佳,卦,去,開,2,佳開2舒聲,隘懈賣卦,開洪,ai,
89,42,15,1,15-1,15,1.13佳,蟹,佳,佳,平,合,2,佳合2舒聲,蛙媧緺,合洪,uai,
90,42,15,2,15-2,76,3.12蟹,蟹,佳,蟹,上,合,2,佳合2舒聲,夥𠁥,合洪,uai,
91,42,15,3,15-3,137,4.15卦,蟹,佳,卦,去,合,2,佳合2舒聲,,合洪,uai,
93,91,16,1,16-1,16,1.14皆,蟹,皆,皆,平,開,2,皆開2舒聲,諧皆,開洪,ai,
94,91,16,2,16-2,77,3.13駭,蟹,皆,駭,上,開,2,皆開2舒聲,駭楷,開洪,ai,
