識別號,漢字,切音,字韻,聲調,原資料拼音,舒促聲,聲,韻,調,拼音碼,雅俗通標音,十五音標音,常用度
2600,㗥,求,公,上入,kok4,促聲,k,ok,4,kok4,公上入聲求,公四求,
2601,𠯑,求,公,上入,kok4,促聲,k,ok,4,kok4,公上入聲求,公四求,
2602,牿,去,公,上入,khok4,促聲,kh,ok,4,khok4,公上入聲去,公四去,
2603,梏,去,公,上入,khok4,促聲,kh,ok,4,khok4,公上入聲去,公四去,
2604,告,去,公,上入,khok4,促聲,kh,ok,4,khok4,公上入聲去,公四去,
2605,酷,去,公,上入,khok4,促聲,kh,ok,4,khok4,公上入聲去,公四去,
2606,哭,去,公,上入,khok4,促聲,kh,ok,4,khok4,公上入聲去,公四去,
2607,廓,去,公,上入,khok4,促聲,kh,ok,4,khok4,公上入聲去,公四去,
2608,𡻙,去,公,上入,khok4,促聲,kh,ok,4,khok4,公上入聲去,公四去,
2609,擴,去,公,上入,khok4,促聲,kh,ok,4,khok4,公上入聲去,公四去,
2610,攫,去,公,上入,khok4,促聲,kh,ok,4,khok4,公上入聲去,公四去,
2611,钁,去,公,上入,khok4,促聲,kh,ok,4,khok4,公上入聲去,公四去,
2612,𥕏,去,公,上入,khok4,促聲,kh,ok,4,khok4,公上入聲去,公四去,
2613,𣔳,去,公,上入,khok4,促聲,kh,ok,4,khok4,公上入聲去,公四去,
2614,篤,地,公,上入,tok4,促聲,t,ok,4,tok4,公上入聲地,公四地,
2615,倬,地,公,上入,tok4,促聲,t,ok,4,tok4,公上入聲地,公四地,
2616,卓,地,公,上入,tok4,促聲,t,ok,4,tok4,公上入聲地,公四地,
2617,桌,地,公,上入,tok4,促聲,t,ok,4,tok4,公上入聲地,公四地,
2618,啄,地,公,上入,tok4,促聲,t,ok,4,tok4,公上入聲地,公四地,
2619,啅,地,公,上入,tok4,促聲,t,ok,4,tok4,公上入聲地,公四地,
2620,椓,地,公,上入,tok4,促聲,t,ok,4,tok4,公上入聲地,公四地,
2621,硺,地,公,上入,tok4,促聲,t,ok,4,tok4,公上入聲地,公四地,
2622,涿,地,公,上入,tok4,促聲,t,ok,4,tok4,公上入聲地,公四地,
2623,琢,地,公,上入,tok4,促聲,t,ok,4,tok4,公上入聲地,公四地,
2624,𢁁,地,公,上入,tok4,促聲,t,ok,4,tok4,公上入聲地,公四地,
2625,𧱧,地,公,上入,tok4,促聲,t,ok,4,tok4,公上入聲地,公四地,
2626,豛,地,公,上入,tok4,促聲,t,ok,4,tok4,公上入聲地,公四地,
2627,督,地,公,上入,tok4,促聲,t,ok,4,tok4,公上入聲地,公四地,0.01
2628,斲,地,公,上入,tok4,促聲,t,ok,4,tok4,公上入聲地,公四地,
2629,斵,地,公,上入,tok4,促聲,t,ok,4,tok4,公上入聲地,公四地,
2630,朴,頗,公,上入,phok4,促聲,ph,ok,4,phok4,公上入聲頗,公四頗,
2631,樸,頗,公,上入,phok4,促聲,ph,ok,4,phok4,公上入聲頗,公四頗,
2632,搏,頗,公,上入,phok4,促聲,ph,ok,4,phok4,公上入聲頗,公四頗,
2633,撲,頗,公,上入,phok4,促聲,ph,ok,4,phok4,公上入聲頗,公四頗,
2634,墣,頗,公,上入,phok4,促聲,ph,ok,4,phok4,公上入聲頗,公四頗,
2635,璞,頗,公,上入,phok4,促聲,ph,ok,4,phok4,公上入聲頗,公四頗,
2636,濮,頗,公,上入,phok4,促聲,ph,ok,4,phok4,公上入聲頗,公四頗,
2637,粕,頗,公,上入,phok4,促聲,ph,ok,4,phok4,公上入聲頗,公四頗,
2638,𥼜,頗,公,上入,phok4,促聲,ph,ok,4,phok4,公上入聲頗,公四頗,
2639,博,頗,公,上入,phok4,促聲,ph,ok,4,phok4,公上入聲頗,公四頗,
2640,鏷,頗,公,上入,phok4,促聲,ph,ok,4,phok4,公上入聲頗,公四頗,
2641,膊,頗,公,上入,phok4,促聲,ph,ok,4,phok4,公上入聲頗,公四頗,
2642,髆,頗,公,上入,phok4,促聲,ph,ok,4,phok4,公上入聲頗,公四頗,
2643,鎛,頗,公,上入,phok4,促聲,ph,ok,4,phok4,公上入聲頗,公四頗,
2644,攴,頗,公,上入,phok4,促聲,ph,ok,4,phok4,公上入聲頗,公四頗,
2645,𥐚,頗,公,上入,phok4,促聲,ph,ok,4,phok4,公上入聲頗,公四頗,
2646,扑,頗,公,上入,phok4,促聲,ph,ok,4,phok4,公上入聲頗,公四頗,
2647,𧴤,頗,公,上入,phok4,促聲,ph,ok,4,phok4,公上入聲頗,公四頗,
2648,䑈,頗,公,上入,phok4,促聲,ph,ok,4,phok4,公上入聲頗,公四頗,
2649,託,他,公,上入,thok4,促聲,th,ok,4,thok4,公上入聲他,公四他,
2650,托,他,公,上入,thok4,促聲,th,ok,4,thok4,公上入聲他,公四他,
2651,乇,他,公,上入,thok4,促聲,th,ok,4,thok4,公上入聲他,公四他,
2652,仛,他,公,上入,thok4,促聲,th,ok,4,thok4,公上入聲他,公四他,
2653,侂,他,公,上入,thok4,促聲,th,ok,4,thok4,公上入聲他,公四他,
2654,𠊴,他,公,上入,thok4,促聲,th,ok,4,thok4,公上入聲他,公四他,
2655,杔,他,公,上入,thok4,促聲,th,ok,4,thok4,公上入聲他,公四他,
2656,籜,他,公,上入,thok4,促聲,th,ok,4,thok4,公上入聲他,公四他,
2657,拓,他,公,上入,thok4,促聲,th,ok,4,thok4,公上入聲他,公四他,
2658,塊,他,公,上入,thok4,促聲,th,ok,4,thok4,公上入聲他,公四他,
2659,魄,他,公,上入,thok4,促聲,th,ok,4,thok4,公上入聲他,公四他,
2660,柝,他,公,上入,thok4,促聲,th,ok,4,thok4,公上入聲他,公四他,
2661,𣔳,他,公,上入,thok4,促聲,th,ok,4,thok4,公上入聲他,公四他,
2662,蘀,他,公,上入,thok4,促聲,th,ok,4,thok4,公上入聲他,公四他,
2663,橐,他,公,上入,thok4,促聲,th,ok,4,thok4,公上入聲他,公四他,
2664,作,曾,公,上入,tsok4,促聲,z,ok,4,zok4,公上入聲曾,公四曾,
2665,束,時,公,上入,sok4,促聲,s,ok,4,sok4,公上入聲時,公四時,
2666,速,時,公,上入,sok4,促聲,s,ok,4,sok4,公上入聲時,公四時,
2667,遬,時,公,上入,sok4,促聲,s,ok,4,sok4,公上入聲時,公四時,
2668,樕,時,公,上入,sok4,促聲,s,ok,4,sok4,公上入聲時,公四時,
2669,蔌,時,公,上入,sok4,促聲,s,ok,4,sok4,公上入聲時,公四時,
2670,𧐒,時,公,上入,sok4,促聲,s,ok,4,sok4,公上入聲時,公四時,
2671,㑉,時,公,上入,sok4,促聲,s,ok,4,sok4,公上入聲時,公四時,
2672,嗽,時,公,上入,sok4,促聲,s,ok,4,sok4,公上入聲時,公四時,
2673,觫,時,公,上入,sok4,促聲,s,ok,4,sok4,公上入聲時,公四時,
2674,鋉,時,公,上入,sok4,促聲,s,ok,4,sok4,公上入聲時,公四時,
2675,餗,時,公,上入,sok4,促聲,s,ok,4,sok4,公上入聲時,公四時,
2676,槊,時,公,上入,sok4,促聲,s,ok,4,sok4,公上入聲時,公四時,
2677,矟,時,公,上入,sok4,促聲,s,ok,4,sok4,公上入聲時,公四時,
2678,㔄,時,公,上入,sok4,促聲,s,ok,4,sok4,公上入聲時,公四時,
2679,數,時,公,上入,sok4,促聲,s,ok,4,sok4,公上入聲時,公四時,
2680,朔,時,公,上入,sok4,促聲,s,ok,4,sok4,公上入聲時,公四時,
2681,惡,英,公,上入,ok4,促聲,q,ok,4,qok4,公上入聲英,公四英,
2682,僫,英,公,上入,ok4,促聲,q,ok,4,qok4,公上入聲英,公四英,
2683,亞,英,公,上入,ok4,促聲,q,ok,4,qok4,公上入聲英,公四英,
2684,堊,英,公,上入,ok4,促聲,q,ok,4,qok4,公上入聲英,公四英,
2685,屋,英,公,上入,ok4,促聲,q,ok,4,qok4,公上入聲英,公四英,
2686,錯,出,公,上入,tshok4,促聲,c,ok,4,cok4,公上入聲出,公四出,
2687,簇,出,公,上入,tshok4,促聲,c,ok,4,cok4,公上入聲出,公四出,
2688,齪,出,公,上入,tshok4,促聲,c,ok,4,cok4,公上入聲出,公四出,
2689,剒,出,公,上入,tshok4,促聲,c,ok,4,cok4,公上入聲出,公四出,
2690,傶,出,公,上入,tshok4,促聲,c,ok,4,cok4,公上入聲出,公四出,
2691,福,喜,公,上入,hok4,促聲,h,ok,4,hok4,公上入聲喜,公四喜,
2692,侐,喜,公,上入,hok4,促聲,h,ok,4,hok4,公上入聲喜,公四喜,
2693,洫,喜,公,上入,hok4,促聲,h,ok,4,hok4,公上入聲喜,公四喜,
2694,畗,喜,公,上入,hok4,促聲,h,ok,4,hok4,公上入聲喜,公四喜,
2695,幅,喜,公,上入,hok4,促聲,h,ok,4,hok4,公上入聲喜,公四喜,
2696,輻,喜,公,上入,hok4,促聲,h,ok,4,hok4,公上入聲喜,公四喜,
2697,蝠,喜,公,上入,hok4,促聲,h,ok,4,hok4,公上入聲喜,公四喜,
2698,腹,喜,公,上入,hok4,促聲,h,ok,4,hok4,公上入聲喜,公四喜,
2699,復,喜,公,上入,hok4,促聲,h,ok,4,hok4,公上入聲喜,公四喜,
2700,複,喜,公,上入,hok4,促聲,h,ok,4,hok4,公上入聲喜,公四喜,
2701,覆,喜,公,上入,hok4,促聲,h,ok,4,hok4,公上入聲喜,公四喜,
2702,霍,喜,公,上入,hok4,促聲,h,ok,4,hok4,公上入聲喜,公四喜,
2703,籗,喜,公,上入,hok4,促聲,h,ok,4,hok4,公上入聲喜,公四喜,
2704,癨,喜,公,上入,hok4,促聲,h,ok,4,hok4,公上入聲喜,公四喜,
2705,壑,喜,公,上入,hok4,促聲,h,ok,4,hok4,公上入聲喜,公四喜,
2706,嗃,喜,公,上入,hok4,促聲,h,ok,4,hok4,公上入聲喜,公四喜,
2707,豞,喜,公,上入,hok4,促聲,h,ok,4,hok4,公上入聲喜,公四喜,
2708,熇,喜,公,上入,hok4,促聲,h,ok,4,hok4,公上入聲喜,公四喜,
2709,涸,喜,公,上入,hok4,促聲,h,ok,4,hok4,公上入聲喜,公四喜,
2710,佫,喜,公,上入,hok4,促聲,h,ok,4,hok4,公上入聲喜,公四喜,
2711,郎,柳,公,下平,long5,舒聲,l,ong,5,long5,公下平聲柳,公五柳,
2712,農,柳,公,下平,long5,舒聲,l,ong,5,long5,公下平聲柳,公五柳,
2713,儂,柳,公,下平,long5,舒聲,l,ong,5,long5,公下平聲柳,公五柳,
2714,濃,柳,公,下平,long5,舒聲,l,ong,5,long5,公下平聲柳,公五柳,
2715,穠,柳,公,下平,long5,舒聲,l,ong,5,long5,公下平聲柳,公五柳,
2716,籠,柳,公,下平,long5,舒聲,l,ong,5,long5,公下平聲柳,公五柳,
2717,膿,柳,公,下平,long5,舒聲,l,ong,5,long5,公下平聲柳,公五柳,
2718,㟍,柳,公,下平,long5,舒聲,l,ong,5,long5,公下平聲柳,公五柳,
2719,稂,柳,公,下平,long5,舒聲,l,ong,5,long5,公下平聲柳,公五柳,
2720,酿,柳,公,下平,long5,舒聲,l,ong,5,long5,公下平聲柳,公五柳,
2721,㡾,柳,公,下平,long5,舒聲,l,ong,5,long5,公下平聲柳,公五柳,
2722,榔,柳,公,下平,long5,舒聲,l,ong,5,long5,公下平聲柳,公五柳,
2723,狼,柳,公,下平,long5,舒聲,l,ong,5,long5,公下平聲柳,公五柳,
2724,螂,柳,公,下平,long5,舒聲,l,ong,5,long5,公下平聲柳,公五柳,
2725,琅,柳,公,下平,long5,舒聲,l,ong,5,long5,公下平聲柳,公五柳,
2726,瑯,柳,公,下平,long5,舒聲,l,ong,5,long5,公下平聲柳,公五柳,
2727,廊,柳,公,下平,long5,舒聲,l,ong,5,long5,公下平聲柳,公五柳,
2728,鋃,柳,公,下平,long5,舒聲,l,ong,5,long5,公下平聲柳,公五柳,
2729,閬,柳,公,下平,long5,舒聲,l,ong,5,long5,公下平聲柳,公五柳,
2730,瓏,柳,公,下平,long5,舒聲,l,ong,5,long5,公下平聲柳,公五柳,
2731,聾,柳,公,下平,long5,舒聲,l,ong,5,long5,公下平聲柳,公五柳,
2732,囊,柳,公,下平,long5,舒聲,l,ong,5,long5,公下平聲柳,公五柳,
2733,𧅺,柳,公,下平,long5,舒聲,l,ong,5,long5,公下平聲柳,公五柳,
2734,㝗,柳,公,下平,long5,舒聲,l,ong,5,long5,公下平聲柳,公五柳,
2735,筤,柳,公,下平,long5,舒聲,l,ong,5,long5,公下平聲柳,公五柳,
2736,勆,柳,公,下平,long5,舒聲,l,ong,5,long5,公下平聲柳,公五柳,
2737,浪,柳,公,下平,long5,舒聲,l,ong,5,long5,公下平聲柳,公五柳,
2738,旁,邊,公,下平,pong5,舒聲,p,ong,5,pong5,公下平聲邊,公五邊,
2739,傍,邊,公,下平,pong5,舒聲,p,ong,5,pong5,公下平聲邊,公五邊,
2740,㫄,邊,公,下平,pong5,舒聲,p,ong,5,pong5,公下平聲邊,公五邊,
2741,徬,邊,公,下平,pong5,舒聲,p,ong,5,pong5,公下平聲邊,公五邊,
2742,膀,邊,公,下平,pong5,舒聲,p,ong,5,pong5,公下平聲邊,公五邊,0.01
2743,螃,邊,公,下平,pong5,舒聲,p,ong,5,pong5,公下平聲邊,公五邊,
2744,房,邊,公,下平,pong5,舒聲,p,ong,5,pong5,公下平聲邊,公五邊,
2745,馮,邊,公,下平,pong5,舒聲,p,ong,5,pong5,公下平聲邊,公五邊,
2746,滂,邊,公,下平,pong5,舒聲,p,ong,5,pong5,公下平聲邊,公五邊,
2747,狂,求,公,下平,kong5,舒聲,k,ong,5,kong5,公下平聲求,公五求,
2748,㾠,求,公,下平,kong5,舒聲,k,ong,5,kong5,公下平聲求,公五求,
2749,俇,求,公,下平,kong5,舒聲,k,ong,5,kong5,公下平聲求,公五求,
2750,仝,地,公,下平,tong5,舒聲,t,ong,5,tong5,公下平聲地,公五地,
2751,同,地,公,下平,tong5,舒聲,t,ong,5,tong5,公下平聲地,公五地,
2752,侗,地,公,下平,tong5,舒聲,t,ong,5,tong5,公下平聲地,公五地,0.01
2753,傏,地,公,下平,tong5,舒聲,t,ong,5,tong5,公下平聲地,公五地,
2754,㑽,地,公,下平,tong5,舒聲,t,ong,5,tong5,公下平聲地,公五地,
2755,唐,地,公,下平,tong5,舒聲,t,ong,5,tong5,公下平聲地,公五地,
2756,堂,地,公,下平,tong5,舒聲,t,ong,5,tong5,公下平聲地,公五地,0.01
2757,坣,地,公,下平,tong5,舒聲,t,ong,5,tong5,公下平聲地,公五地,
2758,瞳,地,公,下平,tong5,舒聲,t,ong,5,tong5,公下平聲地,公五地,
2759,潼,地,公,下平,tong5,舒聲,t,ong,5,tong5,公下平聲地,公五地,0.01
2760,犝,地,公,下平,tong5,舒聲,t,ong,5,tong5,公下平聲地,公五地,
2761,𦏆,地,公,下平,tong5,舒聲,t,ong,5,tong5,公下平聲地,公五地,
2762,艟,地,公,下平,tong5,舒聲,t,ong,5,tong5,公下平聲地,公五地,
2763,曈,地,公,下平,tong5,舒聲,t,ong,5,tong5,公下平聲地,公五地,
2764,朣,地,公,下平,tong5,舒聲,t,ong,5,tong5,公下平聲地,公五地,
2765,峒,地,公,下平,tong5,舒聲,t,ong,5,tong5,公下平聲地,公五地,
2766,桐,地,公,下平,tong5,舒聲,t,ong,5,tong5,公下平聲地,公五地,
2767,𦨴,地,公,下平,tong5,舒聲,t,ong,5,tong5,公下平聲地,公五地,
2768,童,地,公,下平,tong5,舒聲,t,ong,5,tong5,公下平聲地,公五地,
2769,僮,地,公,下平,tong5,舒聲,t,ong,5,tong5,公下平聲地,公五地,
2770,𢈉,地,公,下平,tong5,舒聲,t,ong,5,tong5,公下平聲地,公五地,
2771,疼,地,公,下平,tong5,舒聲,t,ong,5,tong5,公下平聲地,公五地,
2772,𦙭,地,公,下平,tong5,舒聲,t,ong,5,tong5,公下平聲地,公五地,
2773,筒,地,公,下平,tong5,舒聲,t,ong,5,tong5,公下平聲地,公五地,
2774,衕,地,公,下平,tong5,舒聲,t,ong,5,tong5,公下平聲地,公五地,
2775,銅,地,公,下平,tong5,舒聲,t,ong,5,tong5,公下平聲地,公五地,
2776,穜,地,公,下平,tong5,舒聲,t,ong,5,tong5,公下平聲地,公五地,
2777,鮦,地,公,下平,tong5,舒聲,t,ong,5,tong5,公下平聲地,公五地,
2778,㼧,地,公,下平,tong5,舒聲,t,ong,5,tong5,公下平聲地,公五地,
2779,𤭁,地,公,下平,tong5,舒聲,t,ong,5,tong5,公下平聲地,公五地,
2780,筩,地,公,下平,tong5,舒聲,t,ong,5,tong5,公下平聲地,公五地,
2781,庝,地,公,下平,tong5,舒聲,t,ong,5,tong5,公下平聲地,公五地,
2782,彤,地,公,下平,tong5,舒聲,t,ong,5,tong5,公下平聲地,公五地,
2783,罿,地,公,下平,tong5,舒聲,t,ong,5,tong5,公下平聲地,公五地,
2784,塘,地,公,下平,tong5,舒聲,t,ong,5,tong5,公下平聲地,公五地,
2785,螗,地,公,下平,tong5,舒聲,t,ong,5,tong5,公下平聲地,公五地,
2786,棠,地,公,下平,tong5,舒聲,t,ong,5,tong5,公下平聲地,公五地,
2787,螳,地,公,下平,tong5,舒聲,t,ong,5,tong5,公下平聲地,公五地,
2788,鼕,地,公,下平,tong5,舒聲,t,ong,5,tong5,公下平聲地,公五地,
2789,㠉,地,公,下平,tong5,舒聲,t,ong,5,tong5,公下平聲地,公五地,
2790,磄,地,公,下平,tong5,舒聲,t,ong,5,tong5,公下平聲地,公五地,
2791,篷,頗,公,下平,phong5,舒聲,ph,ong,5,phong5,公下平聲頗,公五頗,
2792,糖,他,公,下平,thong5,舒聲,th,ong,5,thong5,公下平聲他,公五他,
2793,餹,他,公,下平,thong5,舒聲,th,ong,5,thong5,公下平聲他,公五他,
2794,崇,曾,公,下平,tsong5,舒聲,z,ong,5,zong5,公下平聲曾,公五曾,
2795,賩,曾,公,下平,tsong5,舒聲,z,ong,5,zong5,公下平聲曾,公五曾,
2796,賨,曾,公,下平,tsong5,舒聲,z,ong,5,zong5,公下平聲曾,公五曾,
2797,藏,曾,公,下平,tsong5,舒聲,z,ong,5,zong5,公下平聲曾,公五曾,
2798,叢,曾,公,下平,tsong5,舒聲,z,ong,5,zong5,公下平聲曾,公五曾,
2799,䕺,曾,公,下平,tsong5,舒聲,z,ong,5,zong5,公下平聲曾,公五曾,
2800,藂,曾,公,下平,tsong5,舒聲,z,ong,5,zong5,公下平聲曾,公五曾,
2801,𡾻,曾,公,下平,tsong5,舒聲,z,ong,5,zong5,公下平聲曾,公五曾,
2802,㶓,曾,公,下平,tsong5,舒聲,z,ong,5,zong5,公下平聲曾,公五曾,
2803,𤄓,曾,公,下平,tsong5,舒聲,z,ong,5,zong5,公下平聲曾,公五曾,
2804,崈,曾,公,下平,tsong5,舒聲,z,ong,5,zong5,公下平聲曾,公五曾,
2805,傖,時,公,下平,song5,舒聲,s,ong,5,song5,公下平聲時,公五時,
2806,仼,英,公,下平,ong5,舒聲,q,ong,5,qong5,公下平聲英,公五英,
2807,王,英,公,下平,ong5,舒聲,q,ong,5,qong5,公下平聲英,公五英,
2808,亡,門,公,下平,bong5,舒聲,b,ong,5,bong5,公下平聲門,公五門,
2809,亾,門,公,下平,bong5,舒聲,b,ong,5,bong5,公下平聲門,公五門,
2810,忘,門,公,下平,bong5,舒聲,b,ong,5,bong5,公下平聲門,公五門,
2811,芒,門,公,下平,bong5,舒聲,b,ong,5,bong5,公下平聲門,公五門,0.01
2812,茫,門,公,下平,bong5,舒聲,b,ong,5,bong5,公下平聲門,公五門,
2813,邙,門,公,下平,bong5,舒聲,b,ong,5,bong5,公下平聲門,公五門,
2814,𡷢,門,公,下平,bong5,舒聲,b,ong,5,bong5,公下平聲門,公五門,
2815,鋩,門,公,下平,bong5,舒聲,b,ong,5,bong5,公下平聲門,公五門,
2816,忙,門,公,下平,bong5,舒聲,b,ong,5,bong5,公下平聲門,公五門,
2817,肓,門,公,下平,bong5,舒聲,b,ong,5,bong5,公下平聲門,公五門,
2818,㡛,門,公,下平,bong5,舒聲,b,ong,5,bong5,公下平聲門,公五門,
2819,蒙,門,公,下平,bong5,舒聲,b,ong,5,bong5,公下平聲門,公五門,
2820,㠓,門,公,下平,bong5,舒聲,b,ong,5,bong5,公下平聲門,公五門,
2821,望,門,公,下平,bong5,舒聲,b,ong,5,bong5,公下平聲門,公五門,
2822,幪,門,公,下平,bong5,舒聲,b,ong,5,bong5,公下平聲門,公五門,
2823,濛,門,公,下平,bong5,舒聲,b,ong,5,bong5,公下平聲門,公五門,
2824,曚,門,公,下平,bong5,舒聲,b,ong,5,bong5,公下平聲門,公五門,
2825,朦,門,公,下平,bong5,舒聲,b,ong,5,bong5,公下平聲門,公五門,
2826,矇,門,公,下平,bong5,舒聲,b,ong,5,bong5,公下平聲門,公五門,
2827,蠓,門,公,下平,bong5,舒聲,b,ong,5,bong5,公下平聲門,公五門,
2828,艨,門,公,下平,bong5,舒聲,b,ong,5,bong5,公下平聲門,公五門,
2829,罞,門,公,下平,bong5,舒聲,b,ong,5,bong5,公下平聲門,公五門,
2830,𦊽,門,公,下平,bong5,舒聲,b,ong,5,bong5,公下平聲門,公五門,
2831,雺,門,公,下平,bong5,舒聲,b,ong,5,bong5,公下平聲門,公五門,
2832,硭,門,公,下平,bong5,舒聲,b,ong,5,bong5,公下平聲門,公五門,
2833,𢄐,門,公,下平,bong5,舒聲,b,ong,5,bong5,公下平聲門,公五門,
2834,卬,語,公,下平,gong5,舒聲,g,ong,5,gong5,公下平聲語,公五語,
2835,昂,語,公,下平,gong5,舒聲,g,ong,5,gong5,公下平聲語,公五語,
2836,䭹,語,公,下平,gong5,舒聲,g,ong,5,gong5,公下平聲語,公五語,
2837,䒢,語,公,下平,gong5,舒聲,g,ong,5,gong5,公下平聲語,公五語,
2838,牀,出,公,下平,tshong5,舒聲,c,ong,5,cong5,公下平聲出,公五出,
2839,床,出,公,下平,tshong5,舒聲,c,ong,5,cong5,公下平聲出,公五出,
2840,𩞆,出,公,下平,tshong5,舒聲,c,ong,5,cong5,公下平聲出,公五出,
2841,皇,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2842,仜,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2843,偟,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2844,𦤃,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2845,凰,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2846,徨,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,0.01
2847,媓,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2848,喤,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2849,湟,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2850,瑝,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2851,蝗,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2852,潢,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2853,惶,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2854,煌,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2855,篁,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2856,遑,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2857,崲,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2858,艎,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2859,隍,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2860,鍠,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2861,黃,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2862,簧,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2863,鐄,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2864,航,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2865,䲳,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2866,鴻,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2867,黌,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2868,癀,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2869,妨,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2870,魴,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2871,防,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2872,縫,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2873,逢,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2874,浲,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2875,蓬,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2876,髼,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2877,弘,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2878,芃,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2879,宏,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2880,綋,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2881,泓,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2882,閎,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2883,葒,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2884,葓,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2885,洪,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2886,𢂔,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,0.01
2887,紅,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2888,虹,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2889,璜,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2890,紘,喜,公,下平,hong5,舒聲,h,ong,5,hong5,公下平聲喜,公五喜,
2891,弄,柳,公,下去,long7,舒聲,l,ong,7,long7,公下去聲柳,公七柳,
2892,㑝,柳,公,下去,long7,舒聲,l,ong,7,long7,公下去聲柳,公七柳,
2893,哢,柳,公,下去,long7,舒聲,l,ong,7,long7,公下去聲柳,公七柳,
2894,𡷟,柳,公,下去,long7,舒聲,l,ong,7,long7,公下去聲柳,公七柳,
2895,儾,柳,公,下去,long7,舒聲,l,ong,7,long7,公下去聲柳,公七柳,
2896,𡿝,柳,公,下去,long7,舒聲,l,ong,7,long7,公下去聲柳,公七柳,
2897,浪,柳,公,下去,long7,舒聲,l,ong,7,long7,公下去聲柳,公七柳,
2898,㫰,柳,公,下去,long7,舒聲,l,ong,7,long7,公下去聲柳,公七柳,
2899,閬,柳,公,下去,long7,舒聲,l,ong,7,long7,公下去聲柳,公七柳,
