識別號,漢字,切音,字韻,聲調,原資料拼音,舒促聲,聲,韻,調,拼音碼,雅俗通標音,十五音標音,常用度
70,溫,英,君,上平,un1,舒聲,q,un,1,qun1,君上平聲英,君一英,
71,氳,英,君,上平,un1,舒聲,q,un,1,qun1,君上平聲英,君一英,
72,熅,英,君,上平,un1,舒聲,q,un,1,qun1,君上平聲英,君一英,
73,瘟,英,君,上平,un1,舒聲,q,un,1,qun1,君上平聲英,君一英,
74,薀,英,君,上平,un1,舒聲,q,un,1,qun1,君上平聲英,君一英,
75,馧,英,君,上平,un1,舒聲,q,un,1,qun1,君上平聲英,君一英,
76,豱,英,君,上平,un1,舒聲,q,un,1,qun1,君上平聲英,君一英,
77,鰮,英,君,上平,un1,舒聲,q,un,1,qun1,君上平聲英,君一英,
78,蒕,英,君,上平,un1,舒聲,q,un,1,qun1,君上平聲英,君一英,
79,㬈,英,君,上平,un1,舒聲,q,un,1,qun1,君上平聲英,君一英,
80,春,出,君,上平,tshun1,舒聲,c,un,1,cun1,君上平聲出,君一出,
81,村,出,君,上平,tshun1,舒聲,c,un,1,cun1,君上平聲出,君一出,0.01
82,邨,出,君,上平,tshun1,舒聲,c,un,1,cun1,君上平聲出,君一出,0.01
83,萅,出,君,上平,tshun1,舒聲,c,un,1,cun1,君上平聲出,君一出,0.01
84,𣈤,出,君,上平,tshun1,舒聲,c,un,1,cun1,君上平聲出,君一出,
85,分,喜,君,上平,hun1,舒聲,h,un,1,hun1,君上平聲喜,君一喜,
86,昏,喜,君,上平,hun1,舒聲,h,un,1,hun1,君上平聲喜,君一喜,0.01
87,昬,喜,君,上平,hun1,舒聲,h,un,1,hun1,君上平聲喜,君一喜,
88,婚,喜,君,上平,hun1,舒聲,h,un,1,hun1,君上平聲喜,君一喜,
89,惛,喜,君,上平,hun1,舒聲,h,un,1,hun1,君上平聲喜,君一喜,
90,惽,喜,君,上平,hun1,舒聲,h,un,1,hun1,君上平聲喜,君一喜,
91,閽,喜,君,上平,hun1,舒聲,h,un,1,hun1,君上平聲喜,君一喜,
92,熏,喜,君,上平,hun1,舒聲,h,un,1,hun1,君上平聲喜,君一喜,
93,薰,喜,君,上平,hun1,舒聲,h,un,1,hun1,君上平聲喜,君一喜,
94,燻,喜,君,上平,hun1,舒聲,h,un,1,hun1,君上平聲喜,君一喜,
95,曛,喜,君,上平,hun1,舒聲,h,un,1,hun1,君上平聲喜,君一喜,
96,矄,喜,君,上平,hun1,舒聲,h,un,1,hun1,君上平聲喜,君一喜,
97,醺,喜,君,上平,hun1,舒聲,h,un,1,hun1,君上平聲喜,君一喜,
98,獯,喜,君,上平,hun1,舒聲,h,un,1,hun1,君上平聲喜,君一喜,
99,臐,喜,君,上平,hun1,舒聲,h,un,1,hun1,君上平聲喜,君一喜,
100,塤,喜,君,上平,hun1,舒聲,h,un,1,hun1,君上平聲喜,君一喜,0.01
101,壎,喜,君,上平,hun1,舒聲,h,un,1,hun1,君上平聲喜,君一喜,
