識別號,韻母碼,韻母國際音標,白話字韻母,閩拼韻母,台羅韻母,方音韻母,十五音韻母,舒促聲,十五音序
85,uang,uaŋ,oang,uang,uang,ㄨㄤ,光,舒聲,43
86,uak,uak̚,oak,uak,uak,ㄨㄚㆻ,光,促聲,43
87,uainn,uãi,oaiⁿ,nuai,uainn,ㄨㆮ,閂,舒聲,44
88,uainnh,uãi?,oaiⁿh,nuaih,uainnh,ㄨㆮㆷ,閂,促聲,44
89,uenn,uẽi,oeⁿ,nue,uenn,ㄨㆥ,糜,舒聲,45
90,uennh,uẽi?,oehⁿ,nueh,uennh,ㄨㆥㆷ,糜,促聲,45
91,iaunn,iãu,iauⁿ,niao,iaunn,ㄧㆯ,嘄,舒聲,46
92,iaunnh,iãu?,iauⁿh,niaoh,iaunnh,ㄧㆯㆷ,嘄,促聲,46
93,om,ɔm,om,om,om,ㆱ,箴,舒聲,47
94,op,ɔp̚,op,op,op,ㆦㆴ,箴,促聲,47
95,aunn,ãu,auⁿ,nao,aunn,ㆯ,爻,舒聲,48
96,aunnh,ãu?,auhⁿ,naoh,aunnh,ㆯㆷ,爻,促聲,48
97,onn,ɔ̃,oⁿ,no,onn,ㆧ,扛,舒聲,49
98,onnh,ɔ̃h,ohⁿ,noh,onnh,ㆧㆷ,扛,促聲,49
99,iunn,iũ,iuⁿ,niu,iunn,ㄧㆫ,牛,舒聲,50
100,iunnh,iũh,iuhⁿ,niuh,iunnh,ㄧㆫㆷ,牛,促聲,50
