識別號,韻碼,韻母,擬音,等呼,韻目行列碼,目次編碼,列號,行號,韻目,舒促聲,攝,調,韻,等,呼
100,仙A三合舒聲,仙合,uan,合細,A38,2.02仙A ,38,1,仙,舒聲,山,平,仙A,三,合
101,薛A三開促聲,薛三開,iat,合細,D38,5.17薛A ,38,4,仙,促聲,山,入,薛A,三,開
102,薛三開促聲,薛三開,iat,合細,D38,5.17薛A ,38,4,仙,促聲,山,入,薛,三,開
103,仙A三開促聲,薛開,iat,開細,D38,5.17薛A ,38,4,仙,促聲,山,入,仙A,三,開
104,仙A三合促聲,薛合,uat,合細,D38,5.17薛A ,38,4,仙,促聲,山,入,仙A,三,合
105,仙B三合舒聲,仙三合,uan,開細,A39,2.02仙B ,39,1,仙,舒聲,山,平,仙B,三,合
106,仙三合舒聲,仙三合,uan,開細,A39,2.02仙B ,39,1,仙,舒聲,山,平,仙,三,合
107,仙B三開舒聲,仙開,ian,開細,A39,2.02仙B ,39,1,仙,舒聲,山,平,仙B,三,開
108,仙B三合舒聲,仙合,uan,合細,A39,2.02仙B ,39,1,仙,舒聲,山,平,仙B,三,合
109,薛B三合促聲,薛三合,uat,合細,D39,5.17薛B ,39,4,仙,促聲,山,入,薛B,三,合
110,薛三合促聲,薛三合,uat,合細,D39,5.17薛B ,39,4,仙,促聲,山,入,薛,三,合
111,仙B三開促聲,薛開,iat,開細,D39,5.17薛B ,39,4,仙,促聲,山,入,仙B,三,開
112,仙B三合促聲,薛合,uat,合細,D39,5.17薛B ,39,4,仙,促聲,山,入,仙B,三,合
113,蕭四開舒聲,蕭,iau,開細,A40,2.03蕭 ,40,1,蕭,舒聲,效,平,蕭,四,開
114,宵三開舒聲,宵,iau,開細,A41,2.04宵,41,1,宵,舒聲,效,平,宵,三,開
115,宵A三開舒聲,宵,iau,開細,A41,2.04宵A ,41,1,宵,舒聲,效,平,宵A,三,開
116,宵B三開舒聲,宵,iau,開細,A42,2.04宵B ,42,1,宵,舒聲,效,平,宵B,三,開
117,肴二開舒聲,肴,au,開洪,A43,2.05肴 ,43,1,肴,舒聲,效,平,肴,二,開
118,豪一開舒聲,豪,o,開洪,A44,2.06豪 ,44,1,豪,舒聲,效,平,豪,一,開
119,歌一開舒聲,歌,o,開洪,A45,2.07歌 ,45,1,歌,舒聲,果,平,歌,一,開
120,戈一合舒聲,戈一合,o,合洪,A46,2.08戈 ,46,1,戈,舒聲,果,平,戈,一,合
121,戈三開舒聲,戈三開,ia,開細,A46,2.08戈 ,46,1,戈,舒聲,果,平,戈,三,開
122,戈三合舒聲,戈三合,ia,合細,A46,2.08戈 ,46,1,戈,舒聲,果,平,戈,三,合
123,麻二開舒聲,麻二開,a,開洪,A47,2.09麻 ,47,1,麻,舒聲,假,平,麻,二,開
124,麻二合舒聲,麻二合,ua,合洪,A47,2.09麻 ,47,1,麻,舒聲,假,平,麻,二,合
125,麻三開舒聲,麻三開,ia,開細,A47,2.09麻 ,47,1,麻,舒聲,假,平,麻,三,開
126,陽三開舒聲,陽開,iong,開細,A48,2.10陽 ,48,1,陽,舒聲,宕,平,陽,三,開
127,陽三合舒聲,陽合,ong,合細,A48,2.10陽 ,48,1,陽,舒聲,宕,平,陽,三,合
128,陽三開促聲,藥開,iok,開細,D48,5.18藥 ,48,4,陽,促聲,宕,入,陽,三,開
129,陽三合促聲,藥合,iok,合細,D48,5.18藥 ,48,4,陽,促聲,宕,入,陽,三,合
130,唐一開舒聲,唐開,ong,開洪,A49,2.11唐 ,49,1,唐,舒聲,宕,平,唐,一,開
131,唐一合舒聲,唐合,ong,合洪,A49,2.11唐 ,49,1,唐,舒聲,宕,平,唐,一,合
132,唐一開促聲,鐸開,ok,開洪,D49,5.19鐸 ,49,4,唐,促聲,宕,入,唐,一,開
133,唐一合促聲,鐸合,ok,合洪,D49,5.19鐸 ,49,4,唐,促聲,宕,入,唐,一,合
134,庚二開舒聲,庚二開,ing,開洪,A50,2.12庚 ,50,1,庚,舒聲,梗,平,庚,二,開
135,庚二開促聲,陌二開,ik,開洪,D50,5.20陌 ,50,4,庚,促聲,梗,入,庚,二,開
136,耕二開舒聲,耕開,ing,開洪,A51,2.13耕 ,51,1,耕,舒聲,梗,平,耕,二,開
137,耕二合舒聲,耕合,ong,合洪,A51,2.13耕 ,51,1,耕,舒聲,梗,平,耕,二,合
138,耕二開促聲,麥開,ik,開洪,D51,5.21麥 ,51,4,耕,促聲,梗,入,耕,二,開
139,耕二合促聲,麥合,ok,合洪,D51,5.21麥 ,51,4,耕,促聲,梗,入,耕,二,合
140,清三開舒聲,清開,ing,開細,A52,2.14清 ,52,1,清,舒聲,梗,平,清,三,開
141,清A三開舒聲,清開,ing,開細,A52,2.14清 ,52,1,清,舒聲,梗,平,清A,三,開
142,清三開舒聲,清開,ing,開細,A52,2.14清 ,52,1,清,舒聲,梗,平,清,三,開
143,清三合舒聲,清合,ing,合細,A52,2.14清 ,52,1,清,舒聲,梗,平,清,三,合
144,普三開促聲,昔開,ik,開細,D52,5.22昔 ,52,4,清,促聲,梗,入,普,三,開
145,昔A三開促聲,昔開,ik,開細,D52,5.22昔 ,52,4,清,促聲,梗,入,昔A,三,開
146,清三開促聲,昔開,ik,開細,D52,5.22昔 ,52,4,清,促聲,梗,入,清,三,開
147,清三合促聲,昔合,ik,合細,D52,5.22昔 ,52,4,清,促聲,梗,入,清,三,合
148,青四開舒聲,青開,ing,開細,A53,2.15青 ,53,1,青,舒聲,梗,平,青,四,開
149,青四合舒聲,青合,ing,合細,A53,2.15青 ,53,1,青,舒聲,梗,平,青,四,合
150,青四開促聲,錫開,ik,開細,D53,5.23錫 ,53,4,青,促聲,梗,入,青,四,開
151,青四合促聲,錫合,ik,合細,D53,5.23錫 ,53,4,青,促聲,梗,入,青,四,合
152,蒸三開舒聲,蒸開,ing,開細,A54,2.16蒸 ,54,1,蒸,舒聲,曾,平,蒸,三,開
153,蒸三開促聲,職開,ik,開細,D54,5.24職 ,54,4,蒸,促聲,曾,入,蒸,三,開
154,登一開舒聲,登開,ing,開洪,A55,2.17登 ,55,1,登,舒聲,曾,平,登,一,開
155,登一合舒聲,登合,ong,合洪,A55,2.17登 ,55,1,登,舒聲,曾,平,登,一,合
156,登一開促聲,德開,ik,開洪,D55,5.25德 ,55,4,登,促聲,曾,入,登,一,開
157,登一合促聲,德合,ok,合洪,D55,5.25德 ,55,4,登,促聲,曾,入,登,一,合
158,尤三開舒聲,尤,iu,開細,A56,2.18尤 ,56,1,尤,舒聲,流,平,尤,三,開
159,侯一開舒聲,侯,io,開洪,A57,2.19侯 ,57,1,侯,舒聲,流,平,侯,一,開
160,幽三開舒聲,幽,iu,開細,A58,2.20幽 ,58,1,幽,舒聲,流,平,幽,三,開
161,侵三開舒聲,侵,im,開細,A59,2.21侵,59,1,侵,舒聲,深,平,侵,三,開
162,侵三開促聲,緝,ip,開細,D59,5.26緝,59,4,侵,促聲,深,入,侵,三,開
163,侵A三開舒聲,侵,im,開細,A59,2.21侵A ,59,1,侵,舒聲,深,平,侵A,三,開
164,侵A三開促聲,緝,ip,開細,D59,5.26緝A ,59,4,侵,促聲,深,入,侵A,三,開
165,侵B三開舒聲,侵,im,開細,A60,2.21侵B ,60,1,侵,舒聲,深,平,侵B,三,開
166,侵B三開促聲,緝,ip,開細,D60,5.26緝B ,60,4,侵,促聲,深,入,侵B,三,開
167,覃一開舒聲,覃,am,開洪,A61,2.22覃 ,61,1,覃,舒聲,咸,平,覃,一,開
168,覃一開促聲,合,ap,開洪,D61,5.27合 ,61,4,覃,促聲,咸,入,覃,一,開
169,談一開舒聲,談,am,開洪,A62,2.23談 ,62,1,談,舒聲,咸,平,談,一,開
170,談一開促聲,盍,ap,開洪,D62,5.28盍 ,62,4,談,促聲,咸,入,談,一,開
171,鹽三開舒聲,鹽,iam,開細,A63,2.24鹽,63,1,鹽,舒聲,咸,平,鹽,三,開
172,鹽三開促聲,葉,iap,開細,D63,5.29葉,63,4,鹽,促聲,咸,入,鹽,三,開
173,鹽A三開舒聲,鹽,iam,開細,A63,2.24鹽A ,63,1,鹽,舒聲,咸,平,鹽A,三,開
174,鹽A三開促聲,葉,iap,開細,D63,5.29葉A ,63,4,鹽,促聲,咸,入,鹽A,三,開
