識別號,廣韻韻母,雅俗通韻母,舒促聲,拚音碼,國際音標,十五音序號,林進三拚音碼
121,戈合3,迦,舒聲,ia,ia,47,ia
122,麻開3,迦,舒聲,ia,ia,47,ia
123,齊合4,檜,舒聲,ue,ue,49,ue
124,祭合3,檜,舒聲,ue,ue,49,ue
125,灰合1,檜,舒聲,ue,ue,49,ue
126,咍開1,檜,舒聲,ue,ue,49,ue
127,廢合1,檜,舒聲,ue,ue,49,ue
128,虞開3,艍,舒聲,u,u,53,u
129,麻開2,膠,舒聲,a,a,55,a
130,支開3,居,舒聲,i,i,57,i
131,脂開3,居,舒聲,i,i,57,i
132,之開3,居,舒聲,i,i,57,i
133,微開3,居,舒聲,i,i,57,i
134,魚開3,居,舒聲,i,i,57,ir
135,尤開3,丩,舒聲,iu,iu,59,iu
136,幽開3,丩,舒聲,iu,iu,59,iu
137,幽開3,丩,舒聲,iu,iu,59,ierk
138,侯開3,茄,舒聲,io,io,65,io
139,齊開4,伽,舒聲,e,e,77,e
140,祭開3,伽,舒聲,e,e,77,e
